,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-12,0.983,0.987,0.992,0.976,363646,35818417.0,0.0,0.0,0.0,27.34
1,2021-05-13,0.981,0.968,0.981,0.965,196606,19068244.0,1.62,-1.93,-0.019,14.78
2,2021-05-14,0.965,0.994,0.999,0.962,282485,27869661.0,3.82,2.69,0.026,21.24
3,2021-05-17,0.995,1.034,1.041,0.994,1347085,138396820.0,4.73,4.02,0.04,101.27
4,2021-05-18,1.038,1.034,1.048,1.03,277691,28767058.0,1.74,0.0,0.0,20.88
5,2021-05-19,1.035,1.068,1.076,1.027,495652,52704442.0,4.74,3.29,0.034,37.26
6,2021-05-20,1.067,1.075,1.081,1.064,264566,28452127.0,1.59,0.66,0.007,19.89
7,2021-05-21,1.07,1.069,1.09,1.058,243193,26043489.0,2.98,-0.56,-0.006,18.28
8,2021-05-24,1.066,1.079,1.081,1.066,192512,20699617.0,1.4,0.94,0.01,14.47
9,2021-05-25,1.078,1.097,1.1,1.077,322800,35209687.0,2.13,1.67,0.018,24.27
10,2021-05-26,1.108,1.088,1.11,1.085,195094,21314240.0,2.28,-0.82,-0.009,14.67
11,2021-05-27,1.082,1.09,1.091,1.079,164052,17835438.0,1.1,0.18,0.002,12.33
12,2021-05-28,1.09,1.131,1.151,1.088,376782,42679982.0,5.78,3.76,0.041,28.33
13,2021-05-31,1.131,1.18,1.18,1.131,212763,24784175.0,4.33,4.33,0.049,16.0
14,2021-06-01,1.18,1.171,1.184,1.144,234680,27287334.0,3.39,-0.76,-0.009,17.64
15,2021-06-02,1.171,1.159,1.184,1.151,200322,23374807.0,2.82,-1.02,-0.012,15.06
16,2021-06-03,1.16,1.149,1.172,1.14,211265,24407099.0,2.76,-0.86,-0.01,15.88
17,2021-06-04,1.15,1.179,1.193,1.143,310827,36521323.0,4.35,2.61,0.03,23.37
18,2021-06-07,1.179,1.156,1.179,1.145,215351,24877864.0,2.88,-1.95,-0.023,16.19
19,2021-06-08,1.156,1.159,1.189,1.144,235934,27620088.0,3.89,0.26,0.003,17.74
20,2021-06-09,1.15,1.157,1.165,1.15,157555,18221545.0,1.29,-0.17,-0.002,11.84
21,2021-06-10,1.156,1.2,1.208,1.155,351537,42025130.0,4.58,3.72,0.043,26.43
22,2021-06-11,1.2,1.223,1.23,1.197,276137,33529473.0,2.75,1.92,0.023,20.76
23,2021-06-15,1.228,1.224,1.236,1.203,204351,25021452.0,2.7,0.08,0.001,15.36
24,2021-06-16,1.224,1.156,1.224,1.152,324049,38262612.0,5.88,-5.56,-0.068,24.36
25,2021-06-17,1.155,1.2,1.2,1.153,213581,25290770.0,4.07,3.81,0.044,16.06
26,2021-06-18,1.202,1.235,1.243,1.2,247627,30376599.0,3.58,2.92,0.035,18.62
27,2021-06-21,1.234,1.234,1.252,1.21,272606,33711797.0,3.4,-0.08,-0.001,20.49
28,2021-06-22,1.236,1.237,1.24,1.217,180329,22208681.0,1.86,0.24,0.003,13.56
29,2021-06-23,1.237,1.266,1.279,1.237,175940,22174648.0,3.4,2.34,0.029,13.23
30,2021-06-24,1.265,1.252,1.271,1.245,200159,25087656.0,2.05,-1.11,-0.014,15.05
31,2021-06-25,1.252,1.262,1.269,1.243,215925,27151521.0,2.08,0.8,0.01,16.23
32,2021-06-28,1.263,1.295,1.304,1.262,221446,28660422.0,3.33,2.61,0.033,16.65
33,2021-06-29,1.299,1.295,1.316,1.282,223461,28937309.0,2.63,0.0,0.0,16.8
34,2021-06-30,1.298,1.335,1.338,1.284,236658,31197067.0,4.17,3.09,0.04,17.79
35,2021-07-01,1.352,1.318,1.353,1.309,249795,33058741.0,3.3,-1.27,-0.017,18.78
36,2021-07-02,1.317,1.296,1.321,1.285,228148,29690631.0,2.73,-1.67,-0.022,17.15
37,2021-07-05,1.295,1.325,1.33,1.29,200776,26387474.0,3.09,2.24,0.029,15.09
38,2021-07-06,1.34,1.328,1.364,1.292,265005,35290682.0,5.43,0.23,0.003,19.92
39,2021-07-07,1.315,1.375,1.378,1.296,235697,31931175.0,6.17,3.54,0.047,17.72
