,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-26,0.929,0.919,0.933,0.9,346611,31925892.0,0.0,0.0,0.0,20.71
1,2021-03-01,0.92,0.934,0.935,0.92,236033,21929165.0,1.63,1.63,0.015,14.11
2,2021-03-02,0.941,0.916,0.941,0.904,138513,12716981.0,3.96,-1.93,-0.018,8.28
3,2021-03-03,0.915,0.932,0.933,0.912,99474,9230235.0,2.29,1.75,0.016,5.94
4,2021-03-04,0.931,0.899,0.931,0.894,284095,25637528.0,3.97,-3.54,-0.033,16.98
5,2021-03-05,0.898,0.897,0.905,0.88,97395,8686707.0,2.78,-0.22,-0.002,5.82
6,2021-03-08,0.895,0.854,0.906,0.854,118015,10346660.0,5.8,-4.79,-0.043,7.05
7,2021-03-09,0.85,0.838,0.863,0.827,159796,13505075.0,4.22,-1.87,-0.016,9.55
8,2021-03-10,0.845,0.856,0.866,0.845,135711,11622700.0,2.51,2.15,0.018,8.11
9,2021-03-11,0.861,0.874,0.883,0.859,65743,5738010.0,2.8,2.1,0.018,3.93
10,2021-03-12,0.88,0.875,0.88,0.861,80824,7021855.0,2.17,0.11,0.001,4.83
11,2021-03-15,0.875,0.851,0.875,0.84,109709,9285875.0,4.0,-2.74,-0.024,6.56
12,2021-03-16,0.86,0.859,0.861,0.85,32627,2797565.0,1.29,0.94,0.008,1.95
13,2021-03-17,0.853,0.865,0.87,0.845,40183,3445892.0,2.91,0.7,0.006,2.4
14,2021-03-18,0.865,0.875,0.879,0.865,56293,4919274.0,1.62,1.16,0.01,3.36
15,2021-03-19,0.872,0.851,0.872,0.846,70305,5996086.0,2.97,-2.74,-0.024,4.2
16,2021-03-22,0.865,0.86,0.866,0.849,119775,10255603.0,2.0,1.06,0.009,7.16
17,2021-03-23,0.861,0.854,0.864,0.848,73107,6263207.0,1.86,-0.7,-0.006,4.37
18,2021-03-24,0.854,0.846,0.86,0.845,54013,4602040.0,1.76,-0.94,-0.008,3.23
19,2021-03-25,0.845,0.849,0.853,0.837,21550,1818394.0,1.89,0.35,0.003,1.29
20,2021-03-26,0.856,0.873,0.876,0.856,87118,7592851.0,2.36,2.83,0.024,5.21
21,2021-03-29,0.88,0.873,0.88,0.864,147011,12903904.0,1.83,0.0,0.0,8.79
22,2021-03-30,0.871,0.881,0.886,0.871,77863,6871665.0,1.72,0.92,0.008,4.65
23,2021-03-31,0.876,0.875,0.876,0.866,73461,6392864.0,1.14,-0.68,-0.006,4.39
24,2021-04-01,0.88,0.889,0.89,0.877,27470,2434328.0,1.49,1.6,0.014,1.64
25,2021-04-02,0.892,0.898,0.902,0.891,45676,4086736.0,1.24,1.01,0.009,2.73
26,2021-04-06,0.898,0.89,0.898,0.886,119988,10677750.0,1.34,-0.89,-0.008,7.17
27,2021-04-07,0.888,0.879,0.888,0.872,62303,5477969.0,1.8,-1.24,-0.011,3.72
28,2021-04-08,0.879,0.887,0.89,0.873,51695,4569006.0,1.93,0.91,0.008,3.09
29,2021-04-09,0.878,0.87,0.88,0.868,27180,2371401.0,1.35,-1.92,-0.017,1.62
30,2021-04-12,0.87,0.853,0.872,0.85,55649,4773068.0,2.53,-1.95,-0.017,3.33
31,2021-04-13,0.853,0.85,0.865,0.847,25208,2154974.0,2.11,-0.35,-0.003,1.51
32,2021-04-14,0.851,0.859,0.86,0.848,26846,2300078.0,1.41,1.06,0.009,1.6
33,2021-04-15,0.858,0.849,0.858,0.84,84094,7111338.0,2.1,-1.16,-0.01,5.03
34,2021-04-16,0.849,0.849,0.854,0.842,24453,2079060.0,1.41,0.0,0.0,1.46
35,2021-04-19,0.849,0.871,0.872,0.842,92617,7990230.0,3.53,2.59,0.022,5.53
36,2021-04-20,0.87,0.873,0.881,0.869,58398,5113593.0,1.38,0.23,0.002,3.49
37,2021-04-21,0.872,0.884,0.885,0.871,88335,7739741.0,1.6,1.26,0.011,5.28
38,2021-04-22,0.883,0.882,0.887,0.871,48448,4271145.0,1.81,-0.23,-0.002,2.9
39,2021-04-23,0.873,0.896,0.9,0.873,83527,7472038.0,3.06,1.59,0.014,4.99
40,2021-04-26,0.905,0.888,0.908,0.886,69039,6178289.0,2.46,-0.89,-0.008,4.13
41,2021-04-27,0.887,0.898,0.899,0.886,35406,3156027.0,1.46,1.13,0.01,2.12
42,2021-04-28,0.899,0.909,0.909,0.894,158698,14336715.0,1.67,1.22,0.011,9.48
43,2021-04-29,0.91,0.912,0.917,0.903,55113,5024053.0,1.54,0.33,0.003,3.29
44,2021-04-30,0.911,0.911,0.919,0.908,41198,3766809.0,1.21,-0.11,-0.001,2.46
45,2021-05-06,0.911,0.888,0.911,0.881,44931,4027786.0,3.29,-2.52,-0.023,2.69
46,2021-05-07,0.886,0.87,0.894,0.87,28309,2493586.0,2.7,-2.03,-0.018,1.69
47,2021-05-10,0.87,0.875,0.883,0.865,60822,5309524.0,2.07,0.57,0.005,3.63
48,2021-05-11,0.873,0.887,0.889,0.868,60059,5281795.0,2.4,1.37,0.012,3.59
49,2021-05-12,0.884,0.897,0.898,0.884,32801,2920958.0,1.58,1.13,0.01,1.96
50,2021-05-13,0.89,0.893,0.898,0.886,17082,1525587.0,1.34,-0.45,-0.004,1.02
51,2021-05-14,0.893,0.915,0.918,0.893,72380,6606141.0,2.8,2.46,0.022,4.33
52,2021-05-17,0.916,0.932,0.939,0.916,107402,10034543.0,2.51,1.86,0.017,6.42
53,2021-05-18,0.932,0.93,0.934,0.923,65182,6046273.0,1.18,-0.21,-0.002,3.9
54,2021-05-19,0.929,0.927,0.931,0.925,63657,5905500.0,0.65,-0.32,-0.003,3.8
55,2021-05-20,0.931,0.931,0.935,0.927,79901,7439748.0,0.86,0.43,0.004,4.77
56,2021-05-21,0.931,0.92,0.938,0.917,120850,11138592.0,2.26,-1.18,-0.011,7.22
57,2021-05-24,0.919,0.926,0.927,0.91,13208,1216875.0,1.85,0.65,0.006,0.79
58,2021-05-25,0.926,0.962,0.964,0.926,85350,8151309.0,4.1,3.89,0.036,5.1
59,2021-05-26,0.962,0.958,0.964,0.955,123336,11822702.0,0.94,-0.42,-0.004,7.37
60,2021-05-27,0.957,0.962,0.965,0.948,53409,5114454.0,1.77,0.42,0.004,3.19
61,2021-05-28,0.962,0.952,0.962,0.945,32526,3094814.0,1.77,-1.04,-0.01,1.94
62,2021-05-31,0.952,0.954,0.955,0.945,130346,12360918.0,1.05,0.21,0.002,7.79
63,2021-06-01,0.956,0.959,0.961,0.944,71376,6789215.0,1.78,0.52,0.005,4.27
64,2021-06-02,0.948,0.946,0.963,0.941,46003,4368421.0,2.29,-1.36,-0.013,2.75
65,2021-06-03,0.947,0.942,0.953,0.94,28588,2695240.0,1.37,-0.42,-0.004,1.71
66,2021-06-04,0.942,0.945,0.955,0.934,66815,6312516.0,2.23,0.32,0.003,3.99
67,2021-06-07,0.946,0.946,0.947,0.936,12265,1157381.0,1.16,0.11,0.001,0.73
68,2021-06-08,0.941,0.933,0.953,0.927,110524,10318587.0,2.75,-1.37,-0.013,6.61
69,2021-06-09,0.93,0.936,0.94,0.928,34995,3265605.0,1.29,0.32,0.003,2.09
70,2021-06-10,0.931,0.947,0.951,0.931,62774,5953009.0,2.14,1.18,0.011,3.75
71,2021-06-11,0.945,0.934,0.952,0.931,27131,2540642.0,2.22,-1.37,-0.013,1.62
72,2021-06-15,0.935,0.921,0.935,0.916,35983,3314386.0,2.03,-1.39,-0.013,2.15
73,2021-06-16,0.92,0.903,0.92,0.901,20621,1869222.0,2.06,-1.95,-0.018,1.23
74,2021-06-17,0.903,0.905,0.913,0.903,32118,2907745.0,1.11,0.22,0.002,1.92
75,2021-06-18,0.907,0.903,0.912,0.895,58676,5301288.0,1.88,-0.22,-0.002,3.51
76,2021-06-21,0.903,0.902,0.907,0.895,24782,2227477.0,1.33,-0.11,-0.001,1.48
77,2021-06-22,0.906,0.911,0.912,0.899,27859,2525851.0,1.44,1.0,0.009,1.66
78,2021-06-23,0.902,0.911,0.916,0.902,71709,6548976.0,1.54,0.0,0.0,4.29
79,2021-06-24,0.911,0.908,0.912,0.9,36872,3332835.0,1.32,-0.33,-0.003,2.2
80,2021-06-25,0.908,0.92,0.923,0.906,38519,3534117.0,1.87,1.32,0.012,2.3
81,2021-06-28,0.917,0.926,0.927,0.917,33930,3132360.0,1.09,0.65,0.006,2.03
82,2021-06-29,0.926,0.918,0.926,0.915,10752,988772.0,1.19,-0.86,-0.008,0.64
83,2021-06-30,0.918,0.921,0.923,0.916,31784,2922277.0,0.76,0.33,0.003,1.9
84,2021-07-01,0.922,0.93,0.932,0.918,52904,4911877.0,1.52,0.98,0.009,3.16
85,2021-07-02,0.926,0.898,0.926,0.896,52976,4794459.0,3.23,-3.44,-0.032,3.17
86,2021-07-05,0.898,0.89,0.899,0.884,24429,2175247.0,1.67,-0.89,-0.008,1.46
87,2021-07-06,0.89,0.88,0.89,0.866,83657,7309415.0,2.7,-1.12,-0.01,5.0
88,2021-07-07,0.881,0.89,0.893,0.879,20084,1785199.0,1.59,1.14,0.01,1.2
89,2021-07-08,0.886,0.873,0.886,0.871,44181,3877636.0,1.69,-1.91,-0.017,2.64
90,2021-07-09,0.878,0.867,0.878,0.855,26735,2301051.0,2.63,-0.69,-0.006,1.6
91,2021-07-12,0.867,0.885,0.886,0.863,63710,5606069.0,2.65,2.08,0.018,3.81
92,2021-07-13,0.88,0.892,0.895,0.88,28876,2570451.0,1.69,0.79,0.007,1.73
93,2021-07-14,0.887,0.887,0.892,0.883,8254,732199.0,1.01,-0.56,-0.005,0.49
94,2021-07-15,0.892,0.898,0.898,0.885,25151,2246529.0,1.47,1.24,0.011,1.5
95,2021-07-16,0.898,0.887,0.898,0.885,32904,2927732.0,1.45,-1.22,-0.011,1.97
96,2021-07-19,0.887,0.896,0.897,0.881,19116,1704806.0,1.8,1.01,0.009,1.14
97,2021-07-20,0.896,0.896,0.9,0.891,27130,2429484.0,1.0,0.0,0.0,1.62
98,2021-07-21,0.896,0.9,0.903,0.895,41896,3770496.0,0.89,0.45,0.004,2.5
99,2021-07-22,0.899,0.891,0.9,0.887,39434,3530645.0,1.44,-1.0,-0.009,2.36
100,2021-07-23,0.891,0.871,0.891,0.869,39087,3411669.0,2.47,-2.24,-0.02,2.34
101,2021-07-26,0.876,0.833,0.876,0.822,68741,5763547.0,6.2,-4.36,-0.038,4.11
102,2021-07-27,0.835,0.801,0.835,0.799,68999,5662267.0,4.32,-3.84,-0.032,4.12
103,2021-07-28,0.799,0.813,0.813,0.792,59840,4811472.0,2.62,1.5,0.012,3.58
104,2021-07-29,0.829,0.822,0.829,0.819,68546,5635919.0,1.23,1.11,0.009,4.1
105,2021-07-30,0.811,0.807,0.815,0.797,71310,5745963.0,2.19,-1.82,-0.015,4.26
106,2021-08-02,0.802,0.829,0.83,0.79,43362,3551967.0,4.96,2.73,0.022,2.59
107,2021-08-03,0.829,0.844,0.845,0.821,60120,5003828.0,2.9,1.81,0.015,3.59
108,2021-08-04,0.841,0.839,0.842,0.833,15784,1323319.0,1.07,-0.59,-0.005,0.94
109,2021-08-05,0.835,0.831,0.844,0.83,12112,1015299.0,1.67,-0.95,-0.008,0.72
110,2021-08-06,0.821,0.817,0.824,0.813,26606,2174142.0,1.32,-1.68,-0.014,1.59
111,2021-08-09,0.813,0.833,0.835,0.813,78168,6486944.0,2.69,1.96,0.016,4.67
112,2021-08-10,0.828,0.848,0.849,0.824,18548,1559844.0,3.0,1.8,0.015,1.11
113,2021-08-11,0.847,0.836,0.847,0.834,29216,2455233.0,1.53,-1.42,-0.012,1.75
114,2021-08-12,0.831,0.826,0.837,0.823,38034,3143613.0,1.67,-1.2,-0.01,2.27
115,2021-08-13,0.827,0.823,0.829,0.819,57161,4705695.0,1.21,-0.36,-0.003,3.42
116,2021-08-16,0.823,0.823,0.827,0.82,30122,2480085.0,0.85,0.0,0.0,1.8
117,2021-08-17,0.823,0.798,0.825,0.797,94183,7619781.0,3.4,-3.04,-0.025,5.63
118,2021-08-18,0.791,0.806,0.811,0.791,50847,4081807.0,2.51,1.0,0.008,3.04
119,2021-08-19,0.806,0.804,0.812,0.802,12891,1036485.0,1.24,-0.25,-0.002,0.77
