,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-13,1.008,1.029,1.035,1.002,2414678,245763866.0,0.0,0.0,0.0,187.22
1,2021-05-14,1.029,1.038,1.047,1.021,764440,79182031.0,2.53,0.87,0.009,59.27
2,2021-05-17,1.031,1.058,1.068,1.031,524591,55365783.0,3.56,1.93,0.02,40.67
3,2021-05-18,1.055,1.052,1.06,1.04,240382,25214021.0,1.89,-0.57,-0.006,18.64
4,2021-05-19,1.051,1.044,1.056,1.04,197786,20690924.0,1.52,-0.76,-0.008,15.34
5,2021-05-20,1.046,1.057,1.062,1.046,242567,25617743.0,1.53,1.25,0.013,18.81
6,2021-05-21,1.064,1.062,1.068,1.046,178374,18898493.0,2.08,0.47,0.005,13.83
7,2021-05-24,1.062,1.056,1.062,1.031,104811,10937275.0,2.92,-0.56,-0.006,8.13
8,2021-05-25,1.057,1.083,1.086,1.056,114325,12309119.0,2.84,2.56,0.027,8.86
9,2021-05-26,1.085,1.079,1.09,1.07,76431,8235791.0,1.85,-0.37,-0.004,5.93
10,2021-05-27,1.079,1.098,1.1,1.072,87675,9532349.0,2.59,1.76,0.019,6.8
11,2021-05-28,1.099,1.082,1.105,1.074,90600,9898644.0,2.82,-1.46,-0.016,7.02
12,2021-05-31,1.082,1.091,1.095,1.078,57771,6283301.0,1.57,0.83,0.009,4.48
13,2021-06-01,1.099,1.115,1.116,1.085,98535,10812042.0,2.84,2.2,0.024,7.64
14,2021-06-02,1.119,1.085,1.12,1.08,72692,7954908.0,3.59,-2.69,-0.03,5.64
15,2021-06-03,1.086,1.079,1.094,1.066,65598,7094584.0,2.58,-0.55,-0.006,5.09
16,2021-06-04,1.079,1.088,1.096,1.077,51361,5576680.0,1.76,0.83,0.009,3.98
17,2021-06-07,1.088,1.09,1.09,1.071,62906,6803838.0,1.75,0.18,0.002,4.88
18,2021-06-08,1.091,1.076,1.103,1.061,75101,8098385.0,3.85,-1.28,-0.014,5.82
19,2021-06-09,1.076,1.08,1.086,1.068,72767,7845849.0,1.67,0.37,0.004,5.64
20,2021-06-10,1.08,1.083,1.09,1.079,60191,6519449.0,1.02,0.28,0.003,4.67
21,2021-06-11,1.083,1.075,1.084,1.07,75473,8138718.0,1.29,-0.74,-0.008,5.85
22,2021-06-15,1.078,1.066,1.078,1.062,57152,6095741.0,1.49,-0.84,-0.009,4.43
23,2021-06-16,1.064,1.032,1.065,1.031,75171,7898473.0,3.19,-3.19,-0.034,5.83
24,2021-06-17,1.037,1.047,1.053,1.034,64143,6707946.0,1.84,1.45,0.015,4.97
25,2021-06-18,1.051,1.064,1.065,1.048,63256,6698816.0,1.62,1.62,0.017,4.9
26,2021-06-21,1.062,1.072,1.078,1.042,52468,5614298.0,3.38,0.75,0.008,4.07
27,2021-06-22,1.071,1.094,1.094,1.065,87612,9471170.0,2.71,2.05,0.022,6.79
28,2021-06-23,1.096,1.088,1.096,1.085,62333,6793918.0,1.01,-0.55,-0.006,4.83
29,2021-06-24,1.083,1.075,1.085,1.064,65798,7064408.0,1.93,-1.19,-0.013,5.1
30,2021-06-25,1.076,1.103,1.106,1.07,62856,6904742.0,3.35,2.6,0.028,4.87
31,2021-06-28,1.103,1.117,1.121,1.103,93116,10395854.0,1.63,1.27,0.014,7.22
32,2021-06-29,1.118,1.114,1.12,1.107,59670,6656293.0,1.16,-0.27,-0.003,4.63
33,2021-06-30,1.118,1.121,1.124,1.112,61626,6900198.0,1.08,0.63,0.007,4.78
34,2021-07-01,1.129,1.125,1.138,1.121,69829,7891939.0,1.52,0.36,0.004,5.41
35,2021-07-02,1.125,1.084,1.125,1.084,86871,9491883.0,3.64,-3.64,-0.041,6.74
36,2021-07-05,1.084,1.094,1.105,1.08,68747,7506454.0,2.31,0.92,0.01,5.33
37,2021-07-06,1.097,1.056,1.097,1.04,72224,7715587.0,5.21,-3.47,-0.038,5.6
38,2021-07-07,1.051,1.083,1.088,1.049,59938,6463550.0,3.69,2.56,0.027,4.65
39,2021-07-08,1.083,1.062,1.091,1.06,61335,6560977.0,2.86,-1.94,-0.021,4.76
40,2021-07-09,1.062,1.054,1.062,1.027,61286,6403766.0,3.3,-0.75,-0.008,4.75
41,2021-07-12,1.054,1.07,1.075,1.044,65331,6916377.0,2.94,1.52,0.016,5.07
42,2021-07-13,1.07,1.066,1.079,1.059,59211,6317271.0,1.87,-0.37,-0.004,4.59
43,2021-07-14,1.071,1.074,1.081,1.056,64788,6948258.0,2.35,0.75,0.008,5.02
44,2021-07-15,1.071,1.073,1.073,1.06,42735,4565069.0,1.21,-0.09,-0.001,3.31
45,2021-07-16,1.073,1.054,1.073,1.049,86117,9096714.0,2.24,-1.77,-0.019,6.68
46,2021-07-19,1.059,1.062,1.065,1.046,57499,6068420.0,1.8,0.76,0.008,4.46
