,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-21,0.963,0.965,0.971,0.956,437785,42122275.0,0.0,0.0,0.0,58.97
1,2021-12-22,0.969,0.978,0.98,0.969,183096,17819557.0,1.14,1.35,0.013,24.66
2,2021-12-23,0.975,0.969,0.976,0.967,33792,3280310.0,0.92,-0.92,-0.009,4.55
3,2021-12-24,0.969,0.95,0.969,0.945,526378,49970197.0,2.48,-1.96,-0.019,70.9
4,2021-12-27,0.948,0.954,0.957,0.946,79326,7558066.0,1.16,0.42,0.004,10.68
5,2021-12-28,0.956,0.972,0.972,0.956,150535,14520981.0,1.68,1.89,0.018,20.28
6,2021-12-29,0.971,0.97,0.979,0.969,206092,20052489.0,1.03,-0.21,-0.002,27.76
7,2021-12-30,0.966,0.97,0.974,0.966,145035,14077570.0,0.82,0.0,0.0,19.54
8,2021-12-31,0.974,0.973,0.974,0.969,32651,3174340.0,0.52,0.31,0.003,4.4
9,2022-01-04,0.978,0.962,0.978,0.957,27405,2645232.0,2.16,-1.13,-0.011,3.69
10,2022-01-05,0.957,0.946,0.964,0.945,16606,1583775.0,1.98,-1.66,-0.016,2.24
11,2022-01-06,0.946,0.954,0.956,0.942,19611,1858247.0,1.48,0.85,0.008,2.64
12,2022-01-07,0.943,0.946,0.955,0.943,83492,7944600.0,1.26,-0.84,-0.008,11.25
13,2022-01-10,0.95,0.952,0.957,0.948,42787,4069302.0,0.95,0.63,0.006,5.76
14,2022-01-11,0.958,0.946,0.961,0.944,27856,2654491.0,1.79,-0.63,-0.006,3.75
15,2022-01-12,0.955,0.967,0.968,0.955,11051,1064687.0,1.37,2.22,0.021,1.49
16,2022-01-13,0.968,0.951,0.968,0.95,16283,1561862.0,1.86,-1.65,-0.016,2.19
17,2022-01-14,0.951,0.945,0.954,0.94,22849,2160833.0,1.47,-0.63,-0.006,3.08
18,2022-01-17,0.938,0.956,0.956,0.938,24864,2368055.0,1.9,1.16,0.011,3.35
19,2022-01-18,0.949,0.956,0.959,0.949,9812,937326.0,1.05,0.0,0.0,1.32
20,2022-01-19,0.956,0.938,0.956,0.934,14388,1355023.0,2.3,-1.88,-0.018,1.94
21,2022-01-20,0.945,0.931,0.947,0.931,29024,2714447.0,1.71,-0.75,-0.007,3.91
22,2022-01-21,0.926,0.92,0.931,0.919,5559,514411.0,1.29,-1.18,-0.011,0.75
23,2022-01-24,0.92,0.932,0.935,0.909,22484,2075482.0,2.83,1.3,0.012,3.03
24,2022-01-25,0.93,0.908,0.937,0.908,17369,1608364.0,3.11,-2.58,-0.024,2.34
25,2022-01-26,0.917,0.915,0.919,0.905,45117,4120974.0,1.54,0.77,0.007,6.08
26,2022-01-27,0.914,0.897,0.915,0.897,23218,2103680.0,1.97,-1.97,-0.018,3.13
27,2022-01-28,0.897,0.89,0.905,0.88,8537,758669.0,2.79,-0.78,-0.007,1.15
28,2022-02-07,0.889,0.913,0.92,0.889,13494,1233005.0,3.48,2.58,0.023,1.82
29,2022-02-08,0.904,0.909,0.909,0.888,46041,4141504.0,2.3,-0.44,-0.004,6.2
30,2022-02-09,0.909,0.919,0.92,0.903,18129,1653585.0,1.87,1.1,0.01,2.44
31,2022-02-10,0.917,0.921,0.927,0.916,14863,1367605.0,1.2,0.22,0.002,2.0
32,2022-02-11,0.926,0.915,0.933,0.915,6611,610196.0,1.95,-0.65,-0.006,0.89
33,2022-02-14,0.889,0.912,0.929,0.889,13928,1283620.0,4.37,-0.33,-0.003,1.88
34,2022-02-15,0.914,0.923,0.923,0.914,4889,448752.0,0.99,1.21,0.011,0.66
35,2022-02-16,0.926,0.924,0.932,0.921,11223,1040363.0,1.19,0.11,0.001,1.51
36,2022-02-17,0.924,0.94,0.942,0.923,18591,1741513.0,2.06,1.73,0.016,2.5
37,2022-02-18,0.942,0.942,0.942,0.931,801,75180.0,1.17,0.21,0.002,0.11
38,2022-02-21,0.933,0.942,0.942,0.933,63211,5947436.0,0.96,0.0,0.0,8.51
39,2022-02-22,0.94,0.938,0.943,0.931,16259,1525758.0,1.27,-0.42,-0.004,2.19
40,2022-02-23,0.938,0.964,0.964,0.938,34989,3355913.0,2.77,2.77,0.026,4.71
41,2022-02-24,0.955,0.945,0.967,0.933,32785,3129204.0,3.53,-1.97,-0.019,4.42
42,2022-02-25,0.954,0.954,0.966,0.951,12879,1231374.0,1.59,0.95,0.009,1.73
43,2022-02-28,0.952,0.96,0.96,0.951,9390,898632.0,0.94,0.63,0.006,1.26
44,2022-03-01,0.959,0.949,0.961,0.943,48439,4588422.0,1.88,-1.15,-0.011,6.52
45,2022-03-02,0.959,0.93,0.959,0.928,6719,626017.0,3.27,-2.0,-0.019,0.91
46,2022-03-03,0.931,0.924,0.931,0.923,10294,952367.0,0.86,-0.65,-0.006,1.39
47,2022-03-04,0.92,0.906,0.92,0.902,24776,2263928.0,1.95,-1.95,-0.018,3.34
48,2022-03-07,0.897,0.874,0.897,0.869,40092,3542768.0,3.09,-3.53,-0.032,5.4
49,2022-03-08,0.875,0.844,0.876,0.837,16988,1448754.0,4.46,-3.43,-0.03,2.29
50,2022-03-09,0.846,0.831,0.849,0.797,21488,1759869.0,6.16,-1.54,-0.013,2.89
51,2022-03-10,0.84,0.865,0.872,0.84,8610,744844.0,3.85,4.09,0.034,1.16
52,2022-03-11,0.863,0.866,0.868,0.841,10126,870111.0,3.12,0.12,0.001,1.36
53,2022-03-14,0.87,0.85,0.872,0.85,10686,921601.0,2.54,-1.85,-0.016,1.44
54,2022-03-15,0.842,0.817,0.85,0.817,12688,1061957.0,3.88,-3.88,-0.033,1.71
55,2022-03-16,0.825,0.848,0.85,0.802,12511,1048150.0,5.88,3.79,0.031,1.69
56,2022-03-17,0.856,0.86,0.874,0.856,11512,993736.0,2.12,1.42,0.012,1.55
57,2022-03-18,0.86,0.858,0.86,0.847,9226,783697.0,1.51,-0.23,-0.002,1.24
58,2022-03-21,0.856,0.858,0.866,0.85,7321,626464.0,1.86,0.0,0.0,0.99
59,2022-03-22,0.852,0.853,0.861,0.849,10287,875918.0,1.4,-0.58,-0.005,1.39
60,2022-03-23,0.856,0.855,0.862,0.853,2882,247023.0,1.06,0.23,0.002,0.39
61,2022-03-24,0.847,0.853,0.856,0.841,5336,453852.0,1.75,-0.23,-0.002,0.72
62,2022-03-25,0.852,0.836,0.858,0.836,18059,1534593.0,2.58,-1.99,-0.017,2.43
63,2022-03-28,0.83,0.825,0.835,0.819,4982,412261.0,1.91,-1.32,-0.011,0.67
64,2022-03-29,0.833,0.834,0.839,0.829,10401,866204.0,1.21,1.09,0.009,1.4
65,2022-03-30,0.842,0.854,0.854,0.842,2427,206403.0,1.44,2.4,0.02,0.33
66,2022-03-31,0.85,0.839,0.85,0.838,18014,1516910.0,1.41,-1.76,-0.015,2.43
67,2022-04-01,0.834,0.852,0.856,0.834,20475,1735645.0,2.62,1.55,0.013,2.76
68,2022-04-06,0.846,0.84,0.846,0.835,13024,1095429.0,1.29,-1.41,-0.012,1.75
69,2022-04-07,0.845,0.844,0.852,0.842,18839,1595979.0,1.19,0.48,0.004,2.54
70,2022-04-08,0.848,0.856,0.857,0.84,17053,1449540.0,2.01,1.42,0.012,2.3
71,2022-04-11,0.856,0.83,0.856,0.826,3829,321197.0,3.5,-3.04,-0.026,0.52
72,2022-04-12,0.826,0.829,0.831,0.819,1023,84187.0,1.45,-0.12,-0.001,0.14
73,2022-04-13,0.822,0.816,0.828,0.816,7217,592746.0,1.45,-1.57,-0.013,0.97
74,2022-04-14,0.819,0.822,0.826,0.811,10530,861188.0,1.84,0.74,0.006,1.42
75,2022-04-15,0.818,0.809,0.818,0.805,7682,622545.0,1.58,-1.58,-0.013,1.03
76,2022-04-18,0.801,0.806,0.81,0.794,3085,248537.0,1.98,-0.37,-0.003,0.42
77,2022-04-19,0.798,0.808,0.814,0.798,20781,1681859.0,1.99,0.25,0.002,2.8
78,2022-04-20,0.805,0.785,0.805,0.782,8194,650576.0,2.85,-2.85,-0.023,1.1
79,2022-04-21,0.777,0.755,0.784,0.755,13774,1052168.0,3.69,-3.82,-0.03,1.86
80,2022-04-22,0.75,0.751,0.758,0.746,140862,10582817.0,1.59,-0.53,-0.004,18.97
81,2022-04-25,0.744,0.703,0.744,0.703,4780,347277.0,5.46,-6.39,-0.048,0.64
82,2022-04-26,0.704,0.681,0.704,0.68,35683,2466346.0,3.41,-3.13,-0.022,4.81
83,2022-04-27,0.68,0.721,0.721,0.675,14850,1030625.0,6.75,5.87,0.04,2.0
84,2022-04-28,0.721,0.726,0.733,0.716,52366,3785891.0,2.36,0.69,0.005,7.05
85,2022-04-29,0.722,0.751,0.751,0.722,5465,403745.0,3.99,3.44,0.025,0.74
86,2022-05-05,0.758,0.768,0.775,0.753,33662,2599423.0,2.93,2.26,0.017,4.53
87,2022-05-06,0.761,0.76,0.766,0.751,644,48863.0,1.95,-1.04,-0.008,0.09
88,2022-05-09,0.76,0.759,0.762,0.753,2578,195410.0,1.18,-0.13,-0.001,0.35
89,2022-05-10,0.752,0.761,0.761,0.744,12079,917367.0,2.24,0.26,0.002,1.63
90,2022-05-11,0.768,0.782,0.796,0.768,7889,613788.0,3.68,2.76,0.021,1.06
91,2022-05-12,0.781,0.778,0.783,0.772,11613,906410.0,1.41,-0.51,-0.004,1.56
92,2022-05-13,0.78,0.783,0.791,0.778,4759,370941.0,1.67,0.64,0.005,0.64
93,2022-05-16,0.79,0.79,0.796,0.786,21454,1693332.0,1.28,0.89,0.007,2.89
94,2022-05-17,0.79,0.797,0.8,0.789,3531,279797.0,1.39,0.89,0.007,0.48
95,2022-05-18,0.796,0.804,0.804,0.795,24505,1957216.0,1.13,0.88,0.007,3.3
96,2022-05-19,0.796,0.803,0.803,0.785,1498,118764.0,2.24,-0.12,-0.001,0.2
97,2022-05-20,0.809,0.817,0.817,0.805,47527,3874335.0,1.49,1.74,0.014,6.4
98,2022-05-23,0.816,0.824,0.825,0.816,11990,982582.0,1.1,0.86,0.007,1.61
99,2022-05-24,0.82,0.794,0.825,0.794,9894,800763.0,3.76,-3.64,-0.03,1.33
100,2022-05-25,0.801,0.799,0.802,0.795,6627,527603.0,0.88,0.63,0.005,0.89
101,2022-05-26,0.799,0.807,0.812,0.788,20132,1615251.0,3.0,1.0,0.008,2.71
102,2022-05-27,0.813,0.81,0.819,0.808,4169,339509.0,1.36,0.37,0.003,0.56
103,2022-05-30,0.818,0.823,0.823,0.816,4261,349778.0,0.86,1.6,0.013,0.57
104,2022-05-31,0.821,0.828,0.829,0.819,17860,1469374.0,1.22,0.61,0.005,2.41
105,2022-06-01,0.823,0.827,0.83,0.818,10853,893701.0,1.45,-0.12,-0.001,1.46
106,2022-06-02,0.828,0.831,0.832,0.827,14363,1191038.0,0.6,0.48,0.004,1.93
107,2022-06-06,0.838,0.863,0.863,0.838,16896,1436861.0,3.01,3.85,0.032,2.28
108,2022-06-07,0.863,0.859,0.864,0.856,23634,2031938.0,0.93,-0.46,-0.004,3.18
109,2022-06-08,0.862,0.865,0.87,0.847,4948,426149.0,2.68,0.7,0.006,0.67
110,2022-06-09,0.865,0.864,0.87,0.858,68527,5905071.0,1.39,-0.12,-0.001,9.23
111,2022-06-10,0.857,0.884,0.884,0.856,26821,2350404.0,3.24,2.31,0.02,3.61
112,2022-06-13,0.884,0.892,0.894,0.881,34718,3087994.0,1.47,0.9,0.008,4.68
113,2022-06-14,0.894,0.904,0.904,0.878,19355,1722366.0,2.91,1.35,0.012,2.61
114,2022-06-15,0.905,0.891,0.916,0.891,28776,2610216.0,2.77,-1.44,-0.013,3.88
115,2022-06-16,0.891,0.883,0.901,0.88,72366,6450515.0,2.36,-0.9,-0.008,9.75
116,2022-06-17,0.885,0.91,0.91,0.885,16693,1497267.0,2.83,3.06,0.027,2.25
117,2022-06-20,0.9,0.898,0.913,0.895,75456,6816305.0,1.98,-1.32,-0.012,10.16
118,2022-06-21,0.906,0.885,0.91,0.877,71601,6343960.0,3.67,-1.45,-0.013,9.64
119,2022-06-22,0.885,0.88,0.895,0.878,85129,7548141.0,1.92,-0.56,-0.005,11.47
120,2022-06-23,0.883,0.89,0.891,0.866,46845,4118193.0,2.84,1.14,0.01,6.31
121,2022-06-24,0.89,0.903,0.903,0.889,76410,6864279.0,1.57,1.46,0.013,10.29
122,2022-06-27,0.9,0.911,0.918,0.9,38991,3554575.0,1.99,0.89,0.008,5.25
123,2022-06-28,0.906,0.923,0.925,0.906,18186,1671031.0,2.09,1.32,0.012,2.45
124,2022-06-29,0.92,0.899,0.923,0.899,60788,5547669.0,2.6,-2.6,-0.024,8.19
125,2022-06-30,0.904,0.909,0.914,0.904,33094,3010637.0,1.11,1.11,0.01,4.46
126,2022-07-01,0.909,0.917,0.921,0.904,58663,5354731.0,1.87,0.88,0.008,7.9
127,2022-07-04,0.918,0.934,0.935,0.914,16102,1494130.0,2.29,1.85,0.017,2.17
128,2022-07-05,0.928,0.946,0.948,0.928,17307,1628398.0,2.14,1.28,0.012,2.33
129,2022-07-06,0.932,0.922,0.932,0.914,38738,3594972.0,1.9,-2.54,-0.024,5.22
130,2022-07-07,0.921,0.932,0.937,0.92,80951,7537807.0,1.84,1.08,0.01,10.9
131,2022-07-08,0.935,0.912,0.935,0.912,23889,2200673.0,2.47,-2.15,-0.02,3.22
132,2022-07-11,0.91,0.887,0.91,0.879,52349,4618655.0,3.4,-2.74,-0.025,7.05
133,2022-07-12,0.892,0.879,0.892,0.874,30313,2682477.0,2.03,-0.9,-0.008,4.08
134,2022-07-13,0.877,0.885,0.887,0.866,49778,4366834.0,2.39,0.68,0.006,6.7
135,2022-07-14,0.88,0.891,0.896,0.88,66931,5958120.0,1.81,0.68,0.006,9.02
136,2022-07-15,0.89,0.876,0.895,0.876,73259,6500203.0,2.13,-1.68,-0.015,9.87
137,2022-07-18,0.873,0.885,0.885,0.868,68218,5996621.0,1.94,1.03,0.009,9.19
138,2022-07-19,0.885,0.884,0.89,0.879,29500,2605786.0,1.24,-0.11,-0.001,3.97
139,2022-07-20,0.886,0.887,0.892,0.883,53017,4694913.0,1.02,0.34,0.003,7.14
140,2022-07-21,0.882,0.868,0.882,0.868,35350,3096762.0,1.58,-2.14,-0.019,4.76
141,2022-07-22,0.871,0.861,0.871,0.854,67830,5829345.0,1.96,-0.81,-0.007,9.14
142,2022-07-25,0.861,0.857,0.865,0.854,65311,5620424.0,1.28,-0.46,-0.004,8.8
143,2022-07-26,0.861,0.865,0.869,0.861,58874,5099563.0,0.93,0.93,0.008,7.93
144,2022-07-27,0.86,0.864,0.865,0.857,102848,8853975.0,0.92,-0.12,-0.001,13.85
145,2022-07-28,0.867,0.866,0.871,0.862,46781,4059210.0,1.04,0.23,0.002,6.3
146,2022-07-29,0.869,0.856,0.869,0.853,35930,3110080.0,1.85,-1.15,-0.01,4.84
147,2022-08-01,0.85,0.865,0.866,0.846,89778,7729839.0,2.34,1.05,0.009,12.09
148,2022-08-02,0.857,0.842,0.857,0.835,89107,7522817.0,2.54,-2.66,-0.023,12.0
149,2022-08-03,0.85,0.834,0.853,0.834,44798,3787558.0,2.26,-0.95,-0.008,6.03
150,2022-08-04,0.842,0.837,0.844,0.831,40547,3394886.0,1.56,0.36,0.003,5.46
151,2022-08-05,0.843,0.851,0.853,0.837,89771,7543511.0,1.91,1.67,0.014,12.09
152,2022-08-08,0.852,0.861,0.861,0.852,43843,3763794.0,1.06,1.18,0.01,5.91
153,2022-08-09,0.859,0.869,0.873,0.859,65731,5701181.0,1.63,0.93,0.008,8.85
154,2022-08-10,0.872,0.87,0.876,0.866,91589,7961501.0,1.15,0.12,0.001,12.34
155,2022-08-11,0.871,0.884,0.884,0.868,74538,6511450.0,1.84,1.61,0.014,10.04
156,2022-08-12,0.886,0.888,0.893,0.885,56098,4984192.0,0.9,0.45,0.004,7.56
157,2022-08-15,0.89,0.896,0.903,0.89,86319,7741975.0,1.46,0.9,0.008,11.63
158,2022-08-16,0.896,0.891,0.899,0.891,75542,6763677.0,0.89,-0.56,-0.005,10.17
159,2022-08-17,0.886,0.879,0.886,0.874,74050,6491334.0,1.35,-1.35,-0.012,9.97
160,2022-08-18,0.878,0.867,0.878,0.865,62477,5420846.0,1.48,-1.37,-0.012,8.42
161,2022-08-19,0.875,0.851,0.875,0.851,75954,6517784.0,2.77,-1.85,-0.016,10.23
162,2022-08-22,0.851,0.875,0.876,0.85,68266,5884240.0,3.06,2.82,0.024,9.19
163,2022-08-23,0.875,0.878,0.878,0.87,85160,7443630.0,0.91,0.34,0.003,11.47
164,2022-08-24,0.878,0.851,0.878,0.85,94397,8173847.0,3.19,-3.08,-0.027,12.71
165,2022-08-25,0.851,0.848,0.851,0.833,38490,3242520.0,2.12,-0.35,-0.003,5.18
166,2022-08-26,0.85,0.846,0.859,0.845,99743,8519861.0,1.65,-0.24,-0.002,13.43
167,2022-08-29,0.838,0.843,0.844,0.835,66571,5602917.0,1.06,-0.35,-0.003,8.97
168,2022-08-30,0.841,0.835,0.841,0.832,86763,7256601.0,1.07,-0.95,-0.008,11.69
169,2022-08-31,0.835,0.819,0.835,0.817,85166,7026350.0,2.16,-1.92,-0.016,11.47
170,2022-09-01,0.818,0.813,0.824,0.811,83809,6874044.0,1.59,-0.73,-0.006,11.29
171,2022-09-02,0.814,0.812,0.815,0.809,67714,5495068.0,0.74,-0.12,-0.001,9.12
172,2022-09-05,0.813,0.816,0.817,0.812,133815,10889121.0,0.62,0.49,0.004,18.02
173,2022-09-06,0.822,0.84,0.84,0.822,47269,3941527.0,2.21,2.94,0.024,6.37
174,2022-09-07,0.848,0.841,0.848,0.832,65838,5544174.0,1.9,0.12,0.001,8.87
175,2022-09-08,0.839,0.833,0.841,0.832,28362,2374587.0,1.07,-0.95,-0.008,3.82
176,2022-09-09,0.839,0.843,0.844,0.833,11466,964768.0,1.32,1.2,0.01,1.54
177,2022-09-13,0.843,0.834,0.844,0.834,47608,4000293.0,1.19,-1.07,-0.009,6.41
178,2022-09-14,0.826,0.823,0.829,0.818,40456,3332767.0,1.32,-1.32,-0.011,5.45
179,2022-09-15,0.823,0.801,0.828,0.796,54013,4381407.0,3.89,-2.67,-0.022,7.28
