,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-11,1.008,0.992,1.008,0.989,1230878,123297070.0,0.0,0.0,0.0,62.02
1,2022-01-12,0.992,0.999,1.001,0.983,243972,24248247.0,1.81,0.71,0.007,12.29
2,2022-01-13,0.996,0.973,1.005,0.972,68680,6821905.0,3.3,-2.6,-0.026,3.46
3,2022-01-14,0.975,0.974,0.981,0.964,43425,4218243.0,1.75,0.1,0.001,2.19
4,2022-01-17,0.975,0.971,0.978,0.956,47947,4631127.0,2.26,-0.31,-0.003,2.42
5,2022-01-18,0.971,0.97,0.98,0.96,25415,2452381.0,2.06,-0.1,-0.001,1.28
6,2022-01-19,0.97,0.962,0.97,0.955,50854,4881939.0,1.55,-0.82,-0.008,2.56
7,2022-01-20,0.962,0.968,0.978,0.961,58846,5704392.0,1.77,0.62,0.006,2.96
8,2022-01-21,0.979,0.946,0.979,0.944,67052,6358522.0,3.62,-2.27,-0.022,3.38
9,2022-01-24,0.945,0.945,0.952,0.939,30072,2847499.0,1.37,-0.11,-0.001,1.52
10,2022-01-25,0.942,0.914,0.945,0.912,32771,3038047.0,3.49,-3.28,-0.031,1.65
11,2022-01-26,0.927,0.925,0.927,0.91,14621,1339813.0,1.86,1.2,0.011,0.74
12,2022-01-27,0.922,0.905,0.932,0.904,37508,3453771.0,3.03,-2.16,-0.02,1.89
13,2022-01-28,0.909,0.921,0.927,0.901,60781,5558396.0,2.87,1.77,0.016,3.06
14,2022-02-07,0.937,0.933,0.937,0.91,63242,5835226.0,2.93,1.3,0.012,3.19
15,2022-02-08,0.913,0.936,0.937,0.913,26869,2495819.0,2.57,0.32,0.003,1.35
16,2022-02-09,0.935,0.953,0.958,0.935,55501,5263421.0,2.46,1.82,0.017,2.8
17,2022-02-10,0.952,0.971,0.977,0.952,76766,7421306.0,2.62,1.89,0.018,3.87
