,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-19,0.989,0.978,0.989,0.957,883558,85946137.0,0.0,0.0,0.0,77.34
1,2021-03-22,0.974,0.982,0.991,0.96,270599,26549333.0,3.17,0.41,0.004,23.69
2,2021-03-23,0.984,0.955,0.986,0.944,122789,11671996.0,4.28,-2.75,-0.027,10.75
3,2021-03-24,0.955,0.935,0.959,0.926,90644,8475821.0,3.46,-2.09,-0.02,7.93
4,2021-03-25,0.932,0.932,0.94,0.915,99791,9249119.0,2.67,-0.32,-0.003,8.74
5,2021-03-26,0.936,0.978,0.981,0.936,119166,11545858.0,4.83,4.94,0.046,10.43
6,2021-03-29,0.978,0.967,0.981,0.963,86099,8365346.0,1.84,-1.12,-0.011,7.54
7,2021-03-30,0.966,0.988,0.99,0.959,102483,10020394.0,3.21,2.17,0.021,8.97
8,2021-03-31,0.989,0.984,0.992,0.973,53100,5227860.0,1.92,-0.4,-0.004,4.65
9,2021-04-01,0.984,0.999,1.008,0.984,299314,30026852.0,2.44,1.52,0.015,26.2
10,2021-04-02,0.999,0.996,1.007,0.987,224223,22385695.0,2.0,-0.3,-0.003,19.63
11,2021-04-06,1.0,1.013,1.022,1.0,224428,22734907.0,2.21,1.71,0.017,19.65
12,2021-04-07,1.014,0.998,1.03,0.987,94045,9352009.0,4.24,-1.48,-0.015,8.23
13,2021-04-08,0.998,0.987,0.998,0.98,104319,10281083.0,1.8,-1.1,-0.011,9.13
14,2021-04-09,0.988,0.975,0.988,0.971,28738,2808877.0,1.72,-1.22,-0.012,2.52
15,2021-04-12,0.979,0.949,0.982,0.941,46460,4427508.0,4.21,-2.67,-0.026,4.07
16,2021-04-13,0.943,0.95,0.962,0.943,20473,1947080.0,2.0,0.11,0.001,1.79
17,2021-04-14,0.953,0.976,0.977,0.953,23857,2314161.0,2.53,2.74,0.026,2.09
18,2021-04-15,0.975,0.981,0.984,0.966,33417,3253418.0,1.84,0.51,0.005,2.93
19,2021-04-16,0.982,0.972,0.982,0.959,38813,3757018.0,2.34,-0.92,-0.009,3.4
20,2021-04-19,0.972,1.02,1.021,0.966,147921,14908903.0,5.66,4.94,0.048,12.95
21,2021-04-20,1.019,1.022,1.038,1.008,112759,11557335.0,2.94,0.2,0.002,9.87
22,2021-04-21,1.018,1.016,1.024,1.004,42261,4301008.0,1.96,-0.59,-0.006,3.7
23,2021-04-22,1.021,1.023,1.034,1.01,39482,4036074.0,2.36,0.69,0.007,3.46
24,2021-04-23,1.021,1.035,1.043,1.016,65839,6815746.0,2.64,1.17,0.012,5.76
25,2021-04-26,1.035,1.025,1.055,1.02,57191,5985985.0,3.38,-0.97,-0.01,5.01
26,2021-04-27,1.025,1.021,1.026,1.007,33336,3392785.0,1.85,-0.39,-0.004,2.92
27,2021-04-28,1.021,1.041,1.048,1.021,44071,4569905.0,2.64,1.96,0.02,3.86
28,2021-04-29,1.04,1.046,1.05,1.031,44120,4600538.0,1.83,0.48,0.005,3.86
29,2021-04-30,1.046,1.07,1.077,1.045,53272,5679487.0,3.06,2.29,0.024,4.66
30,2021-05-06,1.072,1.068,1.084,1.05,30676,3280092.0,3.18,-0.19,-0.002,2.69
31,2021-05-07,1.068,1.044,1.079,1.041,46329,4870005.0,3.56,-2.25,-0.024,4.06
32,2021-05-10,1.044,1.053,1.06,1.036,24172,2535766.0,2.3,0.86,0.009,2.12
33,2021-05-11,1.038,1.038,1.041,1.017,17990,1856300.0,2.28,-1.42,-0.015,1.57
34,2021-05-12,1.038,1.04,1.047,1.032,13194,1370543.0,1.45,0.19,0.002,1.15
35,2021-05-13,1.04,1.02,1.04,1.018,16570,1693466.0,2.12,-1.92,-0.02,1.45
36,2021-05-14,1.028,1.038,1.047,1.012,33532,3441101.0,3.43,1.76,0.018,2.94
37,2021-05-17,1.038,1.071,1.076,1.038,55815,5950480.0,3.66,3.18,0.033,4.89
38,2021-05-18,1.073,1.071,1.081,1.065,56546,6050101.0,1.49,0.0,0.0,4.95
39,2021-05-19,1.072,1.093,1.097,1.062,58344,6362966.0,3.27,2.05,0.022,5.11
40,2021-05-20,1.1,1.091,1.104,1.085,28808,3149086.0,1.74,-0.18,-0.002,2.52
41,2021-05-21,1.094,1.096,1.117,1.084,40928,4485785.0,3.02,0.46,0.005,3.58
42,2021-05-24,1.097,1.102,1.103,1.087,16445,1800425.0,1.46,0.55,0.006,1.44
43,2021-05-25,1.102,1.113,1.114,1.093,30024,3317151.0,1.91,1.0,0.011,2.63
44,2021-05-26,1.11,1.1,1.112,1.096,50539,5559869.0,1.44,-1.17,-0.013,4.42
45,2021-05-27,1.095,1.099,1.105,1.095,39678,4362862.0,0.91,-0.09,-0.001,3.47
46,2021-05-28,1.1,1.134,1.15,1.1,56896,6488935.0,4.55,3.18,0.035,4.98
47,2021-05-31,1.15,1.189,1.189,1.135,60409,7076093.0,4.76,4.85,0.055,5.29
48,2021-06-01,1.186,1.182,1.186,1.156,44400,5200092.0,2.52,-0.59,-0.007,3.89
49,2021-06-02,1.18,1.172,1.194,1.162,29954,3520530.0,2.71,-0.85,-0.01,2.62
50,2021-06-03,1.18,1.149,1.18,1.146,52170,6038681.0,2.9,-1.96,-0.023,4.57
51,2021-06-04,1.149,1.165,1.182,1.138,44978,5238294.0,3.83,1.39,0.016,3.94
52,2021-06-07,1.167,1.15,1.17,1.138,32012,3683761.0,2.75,-1.29,-0.015,2.8
53,2021-06-08,1.154,1.14,1.171,1.131,34951,4005606.0,3.48,-0.87,-0.01,3.06
54,2021-06-09,1.14,1.143,1.145,1.133,13661,1558624.0,1.05,0.26,0.003,1.2
55,2021-06-10,1.133,1.191,1.2,1.133,46837,5546144.0,5.86,4.2,0.048,4.1
56,2021-06-11,1.191,1.212,1.225,1.187,35519,4292441.0,3.19,1.76,0.021,3.11
57,2021-06-15,1.201,1.199,1.226,1.187,16867,2024662.0,3.22,-1.07,-0.013,1.48
58,2021-06-16,1.199,1.136,1.199,1.132,57422,6603898.0,5.59,-5.25,-0.063,5.03
59,2021-06-17,1.135,1.157,1.161,1.134,47904,5531512.0,2.38,1.85,0.021,4.19
60,2021-06-18,1.157,1.205,1.214,1.157,44681,5318704.0,4.93,4.15,0.048,3.91
61,2021-06-21,1.211,1.219,1.231,1.188,37668,4573009.0,3.57,1.16,0.014,3.3
62,2021-06-22,1.219,1.224,1.226,1.201,38449,4683880.0,2.05,0.41,0.005,3.37
63,2021-06-23,1.228,1.247,1.259,1.225,31066,3869460.0,2.78,1.88,0.023,2.72
64,2021-06-24,1.249,1.258,1.27,1.236,33942,4265717.0,2.73,0.88,0.011,2.97
65,2021-06-25,1.26,1.276,1.28,1.256,39695,5044071.0,1.91,1.43,0.018,3.47
66,2021-06-28,1.282,1.295,1.305,1.281,49084,6361648.0,1.88,1.49,0.019,4.3
67,2021-06-29,1.299,1.313,1.325,1.299,34991,4596612.0,2.01,1.39,0.018,3.06
68,2021-06-30,1.316,1.341,1.341,1.295,65560,8697571.0,3.5,2.13,0.028,5.74
69,2021-07-01,1.341,1.306,1.4,1.3,44489,5861663.0,7.46,-2.61,-0.035,3.89
70,2021-07-02,1.306,1.295,1.323,1.283,43988,5724119.0,3.06,-0.84,-0.011,3.85
71,2021-07-05,1.299,1.322,1.329,1.296,51684,6768183.0,2.55,2.08,0.027,4.52
72,2021-07-06,1.323,1.32,1.349,1.292,48600,6416259.0,4.31,-0.15,-0.002,4.25
73,2021-07-07,1.32,1.386,1.39,1.293,62550,8529311.0,7.35,5.0,0.066,5.48
74,2021-07-08,1.39,1.42,1.436,1.39,60230,8554156.0,3.32,2.45,0.034,5.27
75,2021-07-09,1.42,1.439,1.45,1.385,48387,6858611.0,4.58,1.34,0.019,4.24
76,2021-07-12,1.445,1.503,1.512,1.445,75625,11262786.0,4.66,4.45,0.064,6.62
77,2021-07-13,1.504,1.496,1.51,1.472,71478,10643125.0,2.53,-0.47,-0.007,6.26
78,2021-07-14,1.481,1.45,1.491,1.441,60737,8876094.0,3.34,-3.07,-0.046,5.32
79,2021-07-15,1.45,1.495,1.5,1.434,81669,12051227.0,4.55,3.1,0.045,7.15
80,2021-07-16,1.495,1.46,1.508,1.451,81095,11963629.0,3.81,-2.34,-0.035,7.1
81,2021-07-19,1.467,1.43,1.48,1.417,54858,7914994.0,4.32,-2.05,-0.03,4.8
82,2021-07-20,1.424,1.443,1.452,1.416,43583,6248490.0,2.52,0.91,0.013,3.82
83,2021-07-21,1.443,1.538,1.538,1.443,91416,13744020.0,6.58,6.58,0.095,8.0
84,2021-07-22,1.545,1.547,1.567,1.51,132904,20286371.0,3.71,0.59,0.009,11.63
85,2021-07-23,1.544,1.532,1.575,1.52,104765,16164687.0,3.56,-0.97,-0.015,9.17
86,2021-07-26,1.53,1.519,1.555,1.462,66231,10000120.0,6.07,-0.85,-0.013,5.8
87,2021-07-27,1.519,1.457,1.551,1.436,100435,15106833.0,7.57,-4.08,-0.062,8.79
88,2021-07-28,1.394,1.422,1.47,1.367,71788,10143505.0,7.07,-2.4,-0.035,6.28
89,2021-07-29,1.451,1.519,1.522,1.432,107857,16066066.0,6.33,6.82,0.097,9.44
