,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-10-11,1.011,1.01,1.019,1.007,1753180,177505565.0,0.0,0.0,0.0,143.09
1,2021-10-12,1.01,0.986,1.01,0.978,93766,9293248.0,3.17,-2.38,-0.024,7.65
2,2021-10-13,0.986,0.994,0.994,0.978,66769,6591363.0,1.62,0.81,0.008,5.45
3,2021-10-14,0.99,0.988,0.992,0.98,41966,4134510.0,1.21,-0.6,-0.006,3.43
4,2021-10-15,0.983,0.99,0.999,0.983,45962,4561404.0,1.62,0.2,0.002,3.75
5,2021-10-18,0.991,0.983,0.991,0.977,41860,4108425.0,1.41,-0.71,-0.007,3.42
6,2021-10-19,0.984,0.998,1.001,0.984,66513,6633958.0,1.73,1.53,0.015,5.43
7,2021-10-20,0.998,1.005,1.021,0.998,52711,5342886.0,2.3,0.7,0.007,4.3
8,2021-10-21,1.005,0.994,1.016,0.991,48050,4783538.0,2.49,-1.09,-0.011,3.92
9,2021-10-22,0.998,0.988,1.001,0.987,18614,1849996.0,1.41,-0.6,-0.006,1.52
10,2021-10-25,0.984,0.994,0.994,0.975,33628,3305415.0,1.92,0.61,0.006,2.74
11,2021-10-26,0.994,0.983,0.994,0.981,19926,1960103.0,1.31,-1.11,-0.011,1.63
12,2021-10-27,0.983,0.959,0.983,0.955,41519,3997671.0,2.85,-2.44,-0.024,3.39
13,2021-10-28,0.964,0.946,0.982,0.944,37366,3572229.0,3.96,-1.36,-0.013,3.05
14,2021-10-29,0.95,0.963,0.965,0.947,49405,4736811.0,1.9,1.8,0.017,4.03
15,2021-11-01,0.963,0.967,0.971,0.944,29468,2850130.0,2.8,0.42,0.004,2.41
16,2021-11-02,0.968,0.954,0.973,0.945,45970,4373593.0,2.9,-1.34,-0.013,3.75
17,2021-11-03,0.954,0.962,0.963,0.954,48703,4678150.0,0.94,0.84,0.008,3.98
18,2021-11-04,0.971,0.968,0.971,0.966,51747,5010789.0,0.52,0.62,0.006,4.22
19,2021-11-05,0.968,0.981,0.987,0.968,68004,6670482.0,1.96,1.34,0.013,5.55
20,2021-11-08,0.97,0.967,0.971,0.96,53205,5138883.0,1.12,-1.43,-0.014,4.34
21,2021-11-09,0.97,0.98,0.983,0.97,51241,5017496.0,1.34,1.34,0.013,4.18
22,2021-11-10,0.991,0.984,0.991,0.977,48499,4757592.0,1.43,0.41,0.004,3.96
23,2021-11-11,0.981,0.996,0.999,0.981,56155,5570217.0,1.83,1.22,0.012,4.58
24,2021-11-12,0.999,1.0,1.001,0.994,9058,903773.0,0.7,0.4,0.004,0.74
25,2021-11-15,1.005,1.004,1.009,1.001,56773,5698629.0,0.8,0.4,0.004,4.63
26,2021-11-16,1.003,0.994,1.004,0.993,54762,5444330.0,1.1,-1.0,-0.01,4.47
27,2021-11-17,0.989,1.001,1.003,0.989,46493,4645921.0,1.41,0.7,0.007,3.79
28,2021-11-18,0.998,0.98,0.998,0.979,51604,5077575.0,1.9,-2.1,-0.021,4.21
29,2021-11-19,0.975,0.991,0.996,0.975,21387,2107664.0,2.14,1.12,0.011,1.75
30,2021-11-22,0.989,0.998,1.001,0.989,20059,1998315.0,1.21,0.71,0.007,1.64
31,2021-11-23,0.997,1.008,1.008,0.993,46800,4686796.0,1.5,1.0,0.01,3.82
32,2021-11-24,1.005,1.003,1.009,0.999,13068,1309378.0,0.99,-0.5,-0.005,1.07
33,2021-11-25,1.007,1.008,1.017,1.002,25344,2562561.0,1.5,0.5,0.005,2.07
34,2021-11-26,1.004,1.043,1.055,0.997,106813,11095563.0,5.75,3.47,0.035,8.72
35,2021-11-29,1.033,1.025,1.033,1.015,56790,5818398.0,1.73,-1.73,-0.018,4.64
36,2021-11-30,1.024,1.052,1.062,1.02,189581,19944611.0,4.1,2.63,0.027,15.47
37,2021-12-01,1.042,1.055,1.065,1.042,187399,19804485.0,2.19,0.29,0.003,15.3
38,2021-12-02,1.083,1.038,1.083,1.037,119313,12451685.0,4.36,-1.61,-0.017,9.74
39,2021-12-03,1.054,1.039,1.06,1.038,88612,9238487.0,2.12,0.1,0.001,7.23
40,2021-12-06,1.038,1.034,1.049,1.01,86030,8942675.0,3.75,-0.48,-0.005,7.02
41,2021-12-07,1.035,1.036,1.044,1.028,59801,6178527.0,1.55,0.19,0.002,4.88
42,2021-12-08,1.035,1.052,1.085,1.0,56388,5897408.0,8.2,1.54,0.016,4.6
43,2021-12-09,1.047,1.057,1.069,1.047,72844,7695286.0,2.09,0.48,0.005,5.95
44,2021-12-10,1.052,1.046,1.057,1.045,69722,7306467.0,1.14,-1.04,-0.011,5.69
45,2021-12-13,1.049,1.065,1.072,1.049,105703,11298195.0,2.2,1.82,0.019,8.63
46,2021-12-14,1.066,1.09,1.15,1.02,127317,13708316.0,12.21,2.35,0.025,10.39
47,2021-12-15,1.094,1.083,1.111,1.081,64252,7022342.0,2.75,-0.64,-0.007,5.24
48,2021-12-16,1.083,1.085,1.093,1.081,76143,8277132.0,1.11,0.18,0.002,6.21
49,2021-12-17,1.085,1.077,1.099,1.073,89943,9758260.0,2.4,-0.74,-0.008,7.34
50,2021-12-20,1.072,1.068,1.08,1.064,31366,3364394.0,1.49,-0.84,-0.009,2.56
51,2021-12-21,1.068,1.087,1.088,1.063,61269,6639357.0,2.34,1.78,0.019,5.0
