,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-14,0.991,1.004,1.005,0.991,1287549,128535039.0,0.0,0.0,0.0,15.06
1,2021-05-17,1.004,1.006,1.014,1.003,720453,72673576.0,1.1,0.2,0.002,8.43
2,2021-05-18,1.001,1.005,1.007,1.0,181610,18199839.0,0.7,-0.1,-0.001,2.12
3,2021-05-19,1.004,0.999,1.006,0.997,110699,11076457.0,0.9,-0.6,-0.006,1.29
4,2021-05-20,0.999,0.997,1.003,0.992,70670,7042870.0,1.1,-0.2,-0.002,0.83
5,2021-05-21,0.997,0.991,0.997,0.989,284451,28207372.0,0.8,-0.6,-0.006,3.33
6,2021-05-24,0.991,0.995,0.995,0.987,102075,10125916.0,0.81,0.4,0.004,1.19
7,2021-05-25,0.994,1.003,1.004,0.986,115833,11550456.0,1.81,0.8,0.008,1.36
8,2021-05-26,1.0,1.006,1.012,1.0,148867,15000267.0,1.2,0.3,0.003,1.74
9,2021-05-27,1.006,1.01,1.011,1.001,130735,13175873.0,0.99,0.4,0.004,1.53
10,2021-05-28,1.01,1.002,1.01,0.999,60921,6124436.0,1.09,-0.79,-0.008,0.71
11,2021-05-31,1.002,0.999,1.002,0.995,58064,5788687.0,0.7,-0.3,-0.003,0.68
12,2021-06-01,0.999,1.005,1.006,0.996,99809,9998386.0,1.0,0.6,0.006,1.17
13,2021-06-02,1.005,0.999,1.007,0.998,34338,3437907.0,0.9,-0.6,-0.006,0.4
14,2021-06-03,0.994,0.996,1.003,0.994,52441,5237544.0,0.9,-0.3,-0.003,0.61
15,2021-06-04,0.997,0.993,0.998,0.989,88111,8746355.0,0.9,-0.3,-0.003,1.03
16,2021-06-07,0.993,0.994,0.996,0.991,38382,3814135.0,0.5,0.1,0.001,0.45
17,2021-06-08,0.994,0.992,0.995,0.99,56131,5566812.0,0.5,-0.2,-0.002,0.66
18,2021-06-09,0.993,0.991,0.993,0.988,60315,5971906.0,0.5,-0.1,-0.001,0.71
19,2021-06-10,0.99,0.991,0.996,0.99,75593,7506690.0,0.61,0.0,0.0,0.88
20,2021-06-11,0.992,0.984,0.992,0.983,92756,9137262.0,0.91,-0.71,-0.007,1.09
21,2021-06-15,0.984,0.972,0.984,0.969,93997,9142528.0,1.52,-1.22,-0.012,1.1
22,2021-06-16,0.971,0.974,0.984,0.967,78460,7658717.0,1.75,0.21,0.002,0.92
23,2021-06-17,0.974,0.968,0.974,0.966,48962,4745648.0,0.82,-0.62,-0.006,0.57
24,2021-06-18,0.968,0.971,0.971,0.962,109429,10573104.0,0.93,0.31,0.003,1.28
