,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-08,0.987,0.995,1.003,0.98,585273,58199449.0,0.0,0.0,0.0,6.92
1,2021-02-09,0.999,1.005,1.008,0.997,790070,79327425.0,1.11,1.01,0.01,9.34
2,2021-02-10,1.008,1.037,1.038,1.008,1342315,137589444.0,2.99,3.18,0.032,15.87
3,2021-02-18,1.071,1.046,1.079,1.038,1992546,211003404.0,3.95,0.87,0.009,23.56
4,2021-02-19,1.046,1.046,1.046,1.023,875144,90617934.0,2.2,0.0,0.0,10.35
5,2021-02-22,1.047,1.013,1.057,1.011,803178,82937149.0,4.4,-3.15,-0.033,9.5
6,2021-02-23,1.0,1.002,1.014,0.991,390664,39229209.0,2.27,-1.09,-0.011,4.62
7,2021-02-24,1.001,0.965,1.01,0.952,697454,68335490.0,5.79,-3.69,-0.037,8.25
8,2021-02-25,0.977,0.962,0.98,0.96,275107,26630768.0,2.07,-0.31,-0.003,3.25
9,2021-02-26,0.937,0.925,0.946,0.921,434071,40419617.0,2.6,-3.85,-0.037,5.13
10,2021-03-01,0.939,0.956,0.957,0.933,234126,22222052.0,2.59,3.35,0.031,2.77
11,2021-03-02,0.96,0.954,0.972,0.944,274369,26372198.0,2.93,-0.21,-0.002,3.24
12,2021-03-03,0.945,0.96,0.961,0.941,183474,17463084.0,2.1,0.63,0.006,2.17
13,2021-03-04,0.949,0.925,0.949,0.92,353659,32893821.0,3.02,-3.65,-0.035,4.18
14,2021-03-05,0.915,0.923,0.928,0.897,257368,23559755.0,3.35,-0.22,-0.002,3.04
15,2021-03-08,0.932,0.877,0.933,0.876,411770,36896488.0,6.18,-4.98,-0.046,4.87
16,2021-03-09,0.867,0.857,0.888,0.841,410287,35371930.0,5.36,-2.28,-0.02,4.85
17,2021-03-10,0.882,0.866,0.89,0.865,279173,24486888.0,2.92,1.05,0.009,3.3
18,2021-03-11,0.86,0.887,0.894,0.86,190254,16856239.0,3.93,2.42,0.021,2.25
19,2021-03-12,0.899,0.89,0.905,0.883,174720,15593026.0,2.48,0.34,0.003,2.07
20,2021-03-15,0.89,0.866,0.89,0.859,168114,14659122.0,3.48,-2.7,-0.024,1.99
21,2021-03-16,0.868,0.879,0.884,0.867,113972,9990178.0,1.96,1.5,0.013,1.35
22,2021-03-17,0.872,0.881,0.89,0.869,143042,12584984.0,2.39,0.23,0.002,1.69
23,2021-03-18,0.88,0.894,0.898,0.88,177825,15864470.0,2.04,1.48,0.013,2.1
24,2021-03-19,0.886,0.872,0.886,0.866,131890,11503649.0,2.24,-2.46,-0.022,1.56
25,2021-03-22,0.873,0.88,0.889,0.873,105095,9264785.0,1.83,0.92,0.008,1.24
26,2021-03-23,0.88,0.866,0.885,0.86,149775,13015248.0,2.84,-1.59,-0.014,1.77
27,2021-03-24,0.862,0.854,0.872,0.851,123648,10599053.0,2.42,-1.39,-0.012,1.46
