,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-04-20,0.991,1.0,1.002,0.991,946263,94453131.0,0.0,0.0,0.0,205.12
1,2021-04-21,1.0,0.996,1.0,0.988,71089,7067059.0,1.2,-0.4,-0.004,15.41
2,2021-04-22,0.996,0.997,0.999,0.991,69341,6903898.0,0.8,0.1,0.001,15.03
3,2021-04-23,0.999,1.006,1.009,0.999,420827,42274378.0,1.0,0.9,0.009,91.22
4,2021-04-26,1.006,1.001,1.011,0.999,204215,20547730.0,1.19,-0.5,-0.005,44.27
5,2021-04-27,1.0,0.999,1.0,0.992,23524,2340531.0,0.8,-0.2,-0.002,5.1
6,2021-04-28,0.995,1.003,1.005,0.993,72837,7277199.0,1.2,0.4,0.004,15.79
7,2021-04-29,1.005,1.011,1.012,1.002,145437,14655938.0,1.0,0.8,0.008,31.53
8,2021-04-30,1.01,1.002,1.01,0.998,11097,1112833.0,1.19,-0.89,-0.009,2.41
9,2021-05-06,0.996,0.99,1.0,0.984,16790,1662431.0,1.6,-1.2,-0.012,3.64
10,2021-05-07,0.99,0.981,0.996,0.98,24341,2405783.0,1.62,-0.91,-0.009,5.28
11,2021-05-10,0.982,0.975,0.985,0.972,43092,4212459.0,1.33,-0.61,-0.006,9.34
12,2021-05-11,0.966,0.975,0.975,0.96,48339,4679220.0,1.54,0.0,0.0,10.48
13,2021-05-12,0.97,0.975,0.976,0.969,19928,1940090.0,0.72,0.0,0.0,4.32
14,2021-05-13,0.974,0.966,0.974,0.963,10204,986350.0,1.13,-0.92,-0.009,2.21
15,2021-05-14,0.965,0.975,0.975,0.961,9507,919011.0,1.45,0.93,0.009,2.06
16,2021-05-17,0.977,0.988,0.99,0.977,19086,1884417.0,1.33,1.33,0.013,4.14
17,2021-05-18,0.991,0.993,0.994,0.987,18795,1861919.0,0.71,0.51,0.005,4.07
18,2021-05-19,0.994,0.994,0.997,0.984,19245,1905221.0,1.31,0.1,0.001,4.17
19,2021-05-20,0.991,0.996,0.996,0.99,5724,567861.0,0.6,0.2,0.002,1.24
20,2021-05-21,0.993,0.99,0.993,0.987,6687,660876.0,0.6,-0.6,-0.006,1.45
21,2021-05-24,0.986,0.99,0.99,0.979,4997,492447.0,1.11,0.0,0.0,1.08
22,2021-05-25,0.99,1.006,1.007,0.97,48370,4844128.0,3.74,1.62,0.016,10.49
23,2021-05-26,1.01,1.014,1.016,1.01,164565,16679066.0,0.6,0.8,0.008,35.67
24,2021-05-27,1.003,1.014,1.016,1.003,25968,2627286.0,1.28,0.0,0.0,5.63
25,2021-05-28,1.013,1.012,1.019,1.007,53009,5384998.0,1.18,-0.2,-0.002,11.49
26,2021-05-31,1.01,1.014,1.015,1.006,35361,3573775.0,0.89,0.2,0.002,7.67
27,2021-06-01,1.014,1.021,1.023,1.012,112625,11453781.0,1.08,0.69,0.007,24.41
28,2021-06-02,1.021,1.018,1.024,1.016,19221,1955977.0,0.78,-0.29,-0.003,4.17
29,2021-06-03,1.017,1.01,1.021,1.01,9180,933499.0,1.08,-0.79,-0.008,1.99
30,2021-06-04,1.005,1.01,1.017,1.005,6306,637702.0,1.19,0.0,0.0,1.37
31,2021-06-07,1.01,1.009,1.01,1.004,5563,560490.0,0.59,-0.1,-0.001,1.21
32,2021-06-08,1.006,0.999,1.011,0.999,2613,262072.0,1.19,-0.99,-0.01,0.57
33,2021-06-09,1.006,1.003,1.006,1.001,7053,707672.0,0.5,0.4,0.004,1.53
34,2021-06-10,1.011,1.007,1.011,1.007,9341,942715.0,0.4,0.4,0.004,2.02
35,2021-06-11,1.012,1.004,1.012,1.004,3860,388884.0,0.79,-0.3,-0.003,0.84
36,2021-06-15,1.005,0.999,1.005,0.996,6916,691283.0,0.9,-0.5,-0.005,1.5
37,2021-06-16,0.994,0.991,0.998,0.989,10759,1067245.0,0.9,-0.8,-0.008,2.33
38,2021-06-17,0.99,0.994,0.994,0.989,15028,1490681.0,0.5,0.3,0.003,3.26
39,2021-06-18,0.993,1.002,1.002,0.993,39693,3965608.0,0.91,0.8,0.008,8.6
