,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-03,0.989,0.983,0.989,0.978,1454173,142503161.0,0.0,0.0,0.0,326.4
1,2021-12-06,0.978,0.971,0.979,0.97,208052,20307992.0,0.92,-1.22,-0.012,46.7
2,2021-12-07,0.971,0.991,0.993,0.971,264898,25995227.0,2.27,2.06,0.02,59.46
3,2021-12-08,0.992,1.011,1.012,0.992,489871,49204978.0,2.02,2.02,0.02,109.95
4,2021-12-09,1.01,1.024,1.028,1.01,402230,40911623.0,1.78,1.29,0.013,90.28
5,2021-12-10,1.024,1.021,1.029,1.018,227282,23274657.0,1.07,-0.29,-0.003,51.01
6,2021-12-13,1.016,1.039,1.045,1.016,205816,21471740.0,2.84,1.76,0.018,46.2
7,2021-12-14,1.035,1.025,1.035,1.025,134260,13818040.0,0.96,-1.35,-0.014,30.14
8,2021-12-15,1.023,1.016,1.031,1.014,178972,18385854.0,1.66,-0.88,-0.009,40.17
9,2021-12-16,1.016,1.02,1.02,1.006,187378,18961965.0,1.38,0.39,0.004,42.06
10,2021-12-17,1.015,1.003,1.015,0.999,193151,19375354.0,1.57,-1.67,-0.017,43.35
11,2021-12-20,0.997,0.978,1.007,0.932,179684,17848805.0,7.48,-2.49,-0.025,40.33
12,2021-12-21,0.977,0.99,0.99,0.977,154635,15225974.0,1.33,1.23,0.012,34.71
13,2021-12-22,0.996,1.006,1.017,0.996,179318,18147624.0,2.12,1.62,0.016,40.25
14,2021-12-23,1.006,1.005,1.017,1.001,189679,19148832.0,1.59,-0.1,-0.001,42.57
15,2021-12-24,1.0,1.005,1.015,0.983,127639,12812794.0,3.18,0.0,0.0,28.65
16,2021-12-27,1.004,0.998,1.004,0.996,108209,10797766.0,0.8,-0.7,-0.007,24.29
17,2021-12-28,0.999,0.993,1.0,0.99,163888,16266503.0,1.0,-0.5,-0.005,36.79
18,2021-12-29,0.99,0.976,0.99,0.976,156570,15354928.0,1.41,-1.71,-0.017,35.14
19,2021-12-30,0.978,0.994,0.994,0.978,169232,16763759.0,1.64,1.84,0.018,37.98
20,2021-12-31,0.999,1.013,1.018,0.999,169722,17218986.0,1.91,1.91,0.019,38.09
21,2022-01-04,1.014,1.03,1.037,1.014,178806,18241519.0,2.27,1.68,0.017,40.13
22,2022-01-05,1.017,1.002,1.019,0.998,175751,17750695.0,2.04,-2.72,-0.028,39.45
23,2022-01-06,0.998,0.985,0.998,0.973,96898,9525251.0,2.5,-1.7,-0.017,21.75
24,2022-01-07,0.985,0.995,1.01,0.985,118480,11895262.0,2.54,1.02,0.01,26.59
25,2022-01-10,0.99,1.016,1.018,0.984,140725,14202022.0,3.42,2.11,0.021,31.59
26,2022-01-11,1.002,1.002,1.023,1.002,117714,11941120.0,2.07,-1.38,-0.014,26.42
27,2022-01-12,1.002,1.025,1.029,1.002,153745,15783336.0,2.69,2.3,0.023,34.51
28,2022-01-13,1.025,1.011,1.035,1.008,168990,17312957.0,2.63,-1.37,-0.014,37.93
29,2022-01-14,1.011,1.005,1.011,0.991,132384,13273918.0,1.98,-0.59,-0.006,29.71
30,2022-01-17,1.009,1.014,1.014,1.006,136199,13753818.0,0.8,0.9,0.009,30.57
31,2022-01-18,1.016,1.004,1.025,1.002,131726,13406917.0,2.27,-0.99,-0.01,29.57
32,2022-01-19,1.006,0.999,1.014,0.993,144390,14544403.0,2.09,-0.5,-0.005,32.41
33,2022-01-20,0.997,1.02,1.02,0.997,174127,17636979.0,2.3,2.1,0.021,39.08
34,2022-01-21,1.02,1.004,1.02,1.002,178236,18056150.0,1.76,-1.57,-0.016,40.01
35,2022-01-24,0.99,0.993,0.999,0.99,156686,15585493.0,0.9,-1.1,-0.011,35.17
36,2022-01-25,0.988,0.953,0.988,0.953,163020,15796873.0,3.52,-4.03,-0.04,36.59
37,2022-01-26,0.963,0.962,0.967,0.951,180893,17408066.0,1.68,0.94,0.009,40.6
38,2022-01-27,0.964,0.924,0.964,0.923,163178,15251169.0,4.26,-3.95,-0.038,36.63
39,2022-01-28,0.924,0.926,0.935,0.922,165653,15385272.0,1.41,0.22,0.002,37.18
40,2022-02-07,0.94,0.945,0.953,0.94,167943,15888582.0,1.4,2.05,0.019,37.7
41,2022-02-08,0.94,0.948,0.952,0.933,156931,14780069.0,2.01,0.32,0.003,35.22
42,2022-02-09,0.94,0.968,0.976,0.94,116794,11264000.0,3.8,2.11,0.02,26.21
43,2022-02-10,0.97,0.959,0.972,0.957,151101,14591626.0,1.55,-0.93,-0.009,33.92
44,2022-02-11,0.959,0.948,0.967,0.946,144049,13764207.0,2.19,-1.15,-0.011,32.33
45,2022-02-14,0.941,0.94,0.947,0.937,129585,12200385.0,1.05,-0.84,-0.008,29.09
46,2022-02-15,0.943,0.941,0.946,0.938,153133,14452434.0,0.85,0.11,0.001,34.37
47,2022-02-16,0.941,0.953,0.956,0.941,113521,10816830.0,1.59,1.28,0.012,25.48
48,2022-02-17,0.96,0.954,0.96,0.949,156376,14960450.0,1.15,0.1,0.001,35.1
49,2022-02-18,0.951,0.956,0.96,0.951,160833,15413597.0,0.94,0.21,0.002,36.1
50,2022-02-21,0.938,0.927,0.938,0.923,153760,14312447.0,1.57,-3.03,-0.029,34.51
51,2022-02-22,0.922,0.898,0.922,0.894,110213,9911864.0,3.02,-3.13,-0.029,24.74
52,2022-02-23,0.905,0.915,0.917,0.902,153471,14002996.0,1.67,1.89,0.017,34.45
53,2022-02-24,0.915,0.88,0.915,0.869,179724,15952551.0,5.03,-3.83,-0.035,40.34
54,2022-02-25,0.902,0.884,0.903,0.884,121843,10911155.0,2.16,0.45,0.004,27.35
55,2022-02-28,0.884,0.878,0.885,0.871,61530,5383773.0,1.58,-0.68,-0.006,13.81
56,2022-03-01,0.887,0.891,0.891,0.883,99050,8753391.0,0.91,1.48,0.013,22.23
57,2022-03-02,0.885,0.879,0.889,0.878,111800,9864193.0,1.23,-1.35,-0.012,25.09
58,2022-03-03,0.882,0.866,0.882,0.863,94100,8200054.0,2.16,-1.48,-0.013,21.12
59,2022-03-04,0.867,0.856,0.867,0.851,113863,9731794.0,1.85,-1.15,-0.01,25.56
60,2022-03-07,0.856,0.836,0.856,0.818,110965,9190254.0,4.44,-2.34,-0.02,24.91
61,2022-03-08,0.836,0.795,0.839,0.792,110549,8948200.0,5.62,-4.9,-0.041,24.81
62,2022-03-09,0.795,0.786,0.804,0.759,121943,9650615.0,5.66,-1.13,-0.009,27.37
63,2022-03-10,0.784,0.791,0.812,0.784,110123,8862423.0,3.56,0.64,0.005,24.72
64,2022-03-11,0.788,0.785,0.788,0.754,134855,10306794.0,4.3,-0.76,-0.006,30.27
65,2022-03-14,0.785,0.747,0.785,0.747,110156,8418385.0,4.84,-4.84,-0.038,24.72
66,2022-03-15,0.71,0.691,0.74,0.691,130208,9302100.0,6.56,-7.5,-0.056,29.23
67,2022-03-16,0.709,0.76,0.76,0.692,202520,14338456.0,9.84,9.99,0.069,45.46
68,2022-03-17,0.829,0.798,0.83,0.789,191190,15339893.0,5.39,5.0,0.038,42.91
69,2022-03-18,0.801,0.801,0.806,0.767,147684,11652716.0,4.89,0.38,0.003,33.15
70,2022-03-21,0.791,0.789,0.809,0.781,165681,13140692.0,3.5,-1.5,-0.012,37.19
71,2022-03-22,0.789,0.79,0.796,0.777,155760,12177331.0,2.41,0.13,0.001,34.96
72,2022-03-23,0.809,0.817,0.823,0.804,155058,12660784.0,2.41,3.42,0.027,34.8
73,2022-03-24,0.798,0.793,0.809,0.791,130405,10471272.0,2.2,-2.94,-0.024,29.27
74,2022-03-25,0.793,0.772,0.793,0.767,147699,11582203.0,3.28,-2.65,-0.021,33.15
75,2022-03-28,0.764,0.778,0.788,0.761,157922,12211933.0,3.5,0.78,0.006,35.45
76,2022-03-29,0.788,0.796,0.797,0.787,143985,11403597.0,1.29,2.31,0.018,32.32
77,2022-03-30,0.796,0.809,0.811,0.795,120554,9711670.0,2.01,1.63,0.013,27.06
78,2022-03-31,0.804,0.797,0.804,0.793,84501,6764828.0,1.36,-1.48,-0.012,18.97
79,2022-04-01,0.785,0.807,0.808,0.785,98365,7787101.0,2.89,1.25,0.01,22.08
80,2022-04-06,0.807,0.807,0.813,0.798,148358,11981002.0,1.86,0.0,0.0,33.3
81,2022-04-07,0.808,0.811,0.834,0.807,112007,9224237.0,3.35,0.5,0.004,25.14
82,2022-04-08,0.811,0.788,0.811,0.782,90464,7145336.0,3.58,-2.84,-0.023,20.31
83,2022-04-11,0.786,0.766,0.786,0.765,112946,8789529.0,2.66,-2.79,-0.022,25.35
84,2022-04-12,0.766,0.787,0.791,0.762,106434,8200321.0,3.79,2.74,0.021,23.89
85,2022-04-13,0.777,0.779,0.788,0.774,103084,8061429.0,1.78,-1.02,-0.008,23.14
86,2022-04-14,0.779,0.781,0.785,0.777,117317,9155368.0,1.03,0.26,0.002,26.33
87,2022-04-15,0.774,0.769,0.774,0.768,86640,6682350.0,0.77,-1.54,-0.012,19.45
88,2022-04-18,0.762,0.766,0.769,0.759,46987,3581075.0,1.3,-0.39,-0.003,10.55
89,2022-04-19,0.762,0.761,0.765,0.753,99260,7524533.0,1.57,-0.65,-0.005,22.28
90,2022-04-20,0.765,0.75,0.769,0.75,135979,10351360.0,2.5,-1.45,-0.011,30.52
91,2022-04-21,0.75,0.729,0.75,0.725,157981,11636394.0,3.33,-2.8,-0.021,35.46
92,2022-04-22,0.717,0.72,0.729,0.712,173775,12483721.0,2.33,-1.23,-0.009,39.0
93,2022-04-25,0.708,0.685,0.714,0.685,78784,5551593.0,4.03,-4.86,-0.035,17.68
94,2022-04-26,0.685,0.698,0.717,0.685,111490,7895404.0,4.67,1.9,0.013,25.02
95,2022-04-27,0.696,0.713,0.715,0.689,62350,4351856.0,3.72,2.15,0.015,13.99
96,2022-04-28,0.72,0.711,0.72,0.703,111689,7929757.0,2.38,-0.28,-0.002,25.07
97,2022-04-29,0.718,0.773,0.776,0.717,115550,8566918.0,8.3,8.72,0.062,25.94
98,2022-05-05,0.772,0.778,0.784,0.768,169808,13231624.0,2.07,0.65,0.005,38.11
99,2022-05-06,0.782,0.733,0.782,0.729,103556,7606670.0,6.81,-5.78,-0.045,23.24
100,2022-05-09,0.711,0.735,0.738,0.711,62496,4582589.0,3.68,0.27,0.002,14.03
101,2022-05-10,0.73,0.732,0.732,0.701,142457,10240480.0,4.22,-0.41,-0.003,31.98
102,2022-05-11,0.731,0.747,0.767,0.731,125914,9418956.0,4.92,2.05,0.015,28.26
103,2022-05-12,0.74,0.744,0.752,0.737,134807,10050706.0,2.01,-0.4,-0.003,30.26
104,2022-05-13,0.751,0.764,0.764,0.751,104974,7956651.0,1.75,2.69,0.02,23.56
