,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-05,0.977,0.979,0.989,0.97,551569,53988416.0,0.0,0.0,0.0,62.62
1,2021-07-06,0.98,0.975,0.987,0.965,225118,21980790.0,2.25,-0.41,-0.004,25.56
2,2021-07-07,0.975,0.986,0.987,0.97,339858,33365381.0,1.74,1.13,0.011,38.58
3,2021-07-08,0.986,0.972,0.986,0.97,182507,17764408.0,1.62,-1.42,-0.014,20.72
4,2021-07-09,0.972,0.97,0.972,0.951,105958,10236221.0,2.16,-0.21,-0.002,12.03
5,2021-07-12,0.975,0.992,0.993,0.97,151111,14825839.0,2.37,2.27,0.022,17.16
6,2021-07-13,0.992,1.0,1.003,0.992,351921,35199643.0,1.11,0.81,0.008,39.95
7,2021-07-14,0.998,0.992,0.998,0.987,237071,23536915.0,1.1,-0.8,-0.008,26.91
8,2021-07-15,0.992,0.996,0.999,0.985,60670,6023520.0,1.41,0.4,0.004,6.89
9,2021-07-16,0.993,0.992,1.002,0.991,101988,10175823.0,1.1,-0.4,-0.004,11.58
10,2021-07-19,0.992,0.985,0.992,0.976,67187,6601173.0,1.61,-0.71,-0.007,7.63
11,2021-07-20,0.98,0.98,0.985,0.973,34901,3416081.0,1.22,-0.51,-0.005,3.96
12,2021-07-21,0.98,0.99,0.996,0.98,55944,5538570.0,1.63,1.02,0.01,6.35
13,2021-07-22,0.997,1.0,1.005,0.997,153959,15414405.0,0.81,1.01,0.01,17.48
14,2021-07-23,1.0,0.992,1.006,0.99,76471,7655984.0,1.6,-0.8,-0.008,8.68
15,2021-07-26,0.983,0.965,0.983,0.95,58326,5671281.0,3.33,-2.72,-0.027,6.62
16,2021-07-27,0.965,0.919,0.967,0.919,134079,12736754.0,4.97,-4.77,-0.046,15.22
17,2021-07-28,0.914,0.919,0.924,0.9,73815,6739391.0,2.61,0.0,0.0,8.38
18,2021-07-29,0.934,0.957,0.96,0.934,84086,7979979.0,2.83,4.13,0.038,9.55
19,2021-07-30,0.957,0.958,0.959,0.945,89425,8500890.0,1.46,0.1,0.001,10.15
20,2021-08-02,0.963,0.984,0.985,0.963,90091,8773944.0,2.3,2.71,0.026,10.23
