,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-09,0.977,0.979,0.985,0.966,169185,16532193.0,0.0,0.0,0.0,3.19
1,2021-08-10,0.983,0.989,0.993,0.972,129088,12664019.0,2.15,1.02,0.01,2.43
2,2021-08-11,0.981,0.965,0.981,0.964,150796,14655947.0,1.72,-2.43,-0.024,2.84
3,2021-08-12,0.965,0.95,0.965,0.94,167972,15971019.0,2.59,-1.55,-0.015,3.17
4,2021-08-13,0.95,0.952,0.965,0.946,143539,13680831.0,2.0,0.21,0.002,2.71
5,2021-08-16,0.948,0.946,0.956,0.946,132580,12604598.0,1.05,-0.63,-0.006,2.5
6,2021-08-17,0.946,0.91,0.952,0.903,186156,17149260.0,5.18,-3.81,-0.036,3.51
7,2021-08-18,0.91,0.909,0.925,0.907,169111,15419354.0,1.98,-0.11,-0.001,3.19
8,2021-08-19,0.909,0.921,0.929,0.904,181529,16739714.0,2.75,1.32,0.012,3.42
9,2021-08-20,0.914,0.878,0.914,0.864,543374,47557642.0,5.43,-4.67,-0.043,10.25
10,2021-08-23,0.879,0.894,0.899,0.864,221123,19629700.0,3.99,1.82,0.016,4.17
11,2021-08-24,0.898,0.913,0.919,0.898,152844,13961450.0,2.35,2.13,0.019,2.88
12,2021-08-25,0.914,0.916,0.923,0.91,178127,16328814.0,1.42,0.33,0.003,3.36
13,2021-08-26,0.918,0.887,0.918,0.886,121108,10814678.0,3.49,-3.17,-0.029,2.28
14,2021-08-27,0.887,0.886,0.904,0.882,109641,9792823.0,2.48,-0.11,-0.001,2.07
15,2021-08-30,0.886,0.895,0.901,0.882,131087,11665064.0,2.14,1.02,0.009,2.47
16,2021-08-31,0.895,0.886,0.899,0.875,156526,13824796.0,2.68,-1.01,-0.009,2.95
17,2021-09-01,0.887,0.89,0.9,0.87,194198,17230763.0,3.39,0.45,0.004,3.66
18,2021-09-02,0.895,0.875,0.896,0.873,200362,17802554.0,2.58,-1.69,-0.015,3.78
19,2021-09-03,0.871,0.883,0.889,0.867,180858,15973774.0,2.51,0.91,0.008,3.41
20,2021-09-06,0.883,0.913,0.923,0.883,216933,19849486.0,4.53,3.4,0.03,4.09
21,2021-09-07,0.912,0.91,0.913,0.903,205502,18630928.0,1.1,-0.33,-0.003,3.88
22,2021-09-08,0.912,0.907,0.918,0.904,218988,19930562.0,1.54,-0.33,-0.003,4.13
23,2021-09-09,0.907,0.904,0.919,0.901,208482,18862637.0,1.98,-0.33,-0.003,3.93
24,2021-09-10,0.902,0.902,0.907,0.895,166819,15025544.0,1.33,-0.22,-0.002,3.15
25,2021-09-13,0.899,0.892,0.914,0.888,149382,13335735.0,2.88,-1.11,-0.01,2.82
26,2021-09-14,0.897,0.909,0.914,0.896,239638,21771241.0,2.02,1.91,0.017,4.52
27,2021-09-15,0.914,0.897,0.914,0.894,205427,18494212.0,2.2,-1.32,-0.012,3.87
28,2021-09-16,0.895,0.89,0.9,0.884,194675,17353205.0,1.78,-0.78,-0.007,3.67
29,2021-09-17,0.895,0.923,0.932,0.891,225513,20617309.0,4.61,3.71,0.033,4.25
30,2021-09-22,0.92,0.925,0.937,0.918,127524,11801622.0,2.06,0.22,0.002,2.4
31,2021-09-23,0.925,0.922,0.937,0.913,348405,32254730.0,2.59,-0.32,-0.003,6.57
32,2021-09-24,0.924,0.926,0.94,0.919,239745,22330354.0,2.28,0.43,0.004,4.52
33,2021-09-27,0.926,0.934,0.95,0.926,199335,18736611.0,2.59,0.86,0.008,3.76
34,2021-09-28,0.929,0.937,0.942,0.924,156229,14613805.0,1.93,0.32,0.003,2.95
35,2021-09-29,0.929,0.925,0.93,0.916,190794,17583888.0,1.49,-1.28,-0.012,3.6
36,2021-09-30,0.925,0.928,0.935,0.923,186120,17283410.0,1.3,0.32,0.003,3.51
37,2021-10-08,0.928,0.912,0.934,0.908,234808,21615344.0,2.8,-1.72,-0.016,4.43
38,2021-10-11,0.917,0.899,0.922,0.897,135985,12340874.0,2.74,-1.43,-0.013,2.56
39,2021-10-12,0.899,0.892,0.91,0.886,124539,11174276.0,2.67,-0.78,-0.007,2.35
40,2021-10-13,0.895,0.903,0.905,0.888,98998,8876283.0,1.91,1.23,0.011,1.87
41,2021-10-14,0.899,0.89,0.901,0.887,66205,5917599.0,1.55,-1.44,-0.013,1.25
42,2021-10-15,0.89,0.891,0.896,0.886,168333,15000129.0,1.12,0.11,0.001,3.17
43,2021-10-18,0.893,0.888,0.896,0.882,126617,11209264.0,1.57,-0.34,-0.003,2.39
44,2021-10-19,0.893,0.905,0.909,0.893,204329,18460069.0,1.8,1.91,0.017,3.85
45,2021-10-20,0.906,0.898,0.906,0.886,161200,14391048.0,2.21,-0.77,-0.007,3.04
46,2021-10-21,0.899,0.89,0.902,0.886,100107,8926488.0,1.78,-0.89,-0.008,1.89
47,2021-10-22,0.89,0.89,0.892,0.884,169032,15027523.0,0.9,0.0,0.0,3.19
48,2021-10-25,0.891,0.895,0.899,0.888,142856,12767241.0,1.24,0.56,0.005,2.69
49,2021-10-26,0.895,0.885,0.897,0.884,172274,15300634.0,1.45,-1.12,-0.01,3.25
50,2021-10-27,0.891,0.869,0.891,0.866,103253,9038235.0,2.82,-1.81,-0.016,1.95
51,2021-10-28,0.869,0.864,0.871,0.861,98443,8503998.0,1.15,-0.58,-0.005,1.86
52,2021-10-29,0.864,0.874,0.875,0.854,68459,5917395.0,2.43,1.16,0.01,1.29
53,2021-11-01,0.874,0.859,0.877,0.853,133377,11444006.0,2.75,-1.72,-0.015,2.51
54,2021-11-02,0.857,0.851,0.865,0.843,137976,11794126.0,2.56,-0.93,-0.008,2.6
55,2021-11-03,0.855,0.848,0.864,0.847,126804,10818514.0,2.0,-0.35,-0.003,2.39
