,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-11-01,0.987,0.986,0.989,0.98,934626,91918521.0,0.0,0.0,0.0,108.17
1,2023-11-02,0.984,0.983,0.992,0.981,306501,30270764.0,1.12,-0.3,-0.003,35.47
2,2023-11-03,0.983,0.976,0.983,0.973,381761,37291241.0,1.02,-0.71,-0.007,44.18
3,2023-11-06,0.976,0.973,0.979,0.966,374167,36320258.0,1.33,-0.31,-0.003,43.3
4,2023-11-07,0.969,0.967,0.969,0.955,309580,29742682.0,1.44,-0.62,-0.006,35.83
5,2023-11-08,0.965,0.955,0.965,0.951,140150,13387942.0,1.45,-1.24,-0.012,16.22
6,2023-11-09,0.951,0.956,0.957,0.95,119598,11407899.0,0.73,0.1,0.001,13.84
7,2023-11-10,0.957,0.953,0.957,0.946,217075,20598602.0,1.15,-0.31,-0.003,25.12
8,2023-11-13,0.952,0.964,0.964,0.945,110996,10591589.0,1.99,1.15,0.011,12.85
9,2023-11-14,0.965,0.957,0.967,0.954,167615,16034745.0,1.35,-0.73,-0.007,19.4
10,2023-11-15,0.96,0.974,0.977,0.96,136391,13262728.0,1.78,1.78,0.017,15.79
11,2023-11-16,0.975,0.965,0.975,0.959,108205,10424696.0,1.64,-0.92,-0.009,12.52
12,2023-11-17,0.975,0.977,0.977,0.968,155235,15092879.0,0.93,1.24,0.012,17.97
13,2023-11-20,0.975,0.972,0.975,0.965,207975,20149372.0,1.02,-0.51,-0.005,24.07
14,2023-11-21,0.971,0.98,0.983,0.966,91261,8940222.0,1.75,0.82,0.008,10.56
15,2023-11-22,0.983,0.976,0.985,0.973,90094,8799292.0,1.22,-0.41,-0.004,10.43
16,2023-11-23,0.976,0.976,0.976,0.966,122465,11851676.0,1.02,0.0,0.0,14.17
17,2023-11-24,0.973,0.965,0.973,0.961,73744,7125092.0,1.23,-1.13,-0.011,8.53
18,2023-11-27,0.965,0.974,0.977,0.965,92509,8971398.0,1.24,0.93,0.009,10.71
19,2023-11-28,0.974,0.971,0.974,0.963,97739,9471142.0,1.13,-0.31,-0.003,11.31
20,2023-11-29,0.988,0.99,0.993,0.981,322800,31935065.0,1.24,1.96,0.019,37.36
21,2023-11-30,0.991,0.989,0.992,0.982,139793,13781210.0,1.01,-0.1,-0.001,16.18
22,2023-12-01,0.989,0.987,0.991,0.984,121062,11942535.0,0.71,-0.2,-0.002,14.01
23,2023-12-04,0.993,1.016,1.023,0.993,788754,80269233.0,3.04,2.94,0.029,91.29
24,2023-12-05,1.012,0.984,1.012,0.982,209460,20726362.0,2.95,-3.15,-0.032,24.24
25,2023-12-06,0.983,0.99,0.99,0.973,96752,9517862.0,1.73,0.61,0.006,11.2
26,2023-12-07,0.99,0.984,0.99,0.976,121105,11869531.0,1.41,-0.61,-0.006,14.02
27,2023-12-08,0.983,0.974,0.983,0.973,116461,11359174.0,1.02,-1.02,-0.01,13.48
28,2023-12-11,0.968,0.961,0.968,0.946,89966,8574645.0,2.26,-1.33,-0.013,10.41
29,2023-12-12,0.957,0.968,0.969,0.951,129017,12347174.0,1.87,0.73,0.007,14.93
30,2023-12-13,0.966,0.95,0.966,0.948,147462,14101308.0,1.86,-1.86,-0.018,17.07
31,2023-12-14,0.977,0.961,0.98,0.959,184709,17838437.0,2.21,1.16,0.011,21.38
32,2023-12-15,0.961,0.96,0.969,0.957,92040,8854486.0,1.25,-0.1,-0.001,10.65
33,2023-12-18,0.955,0.951,0.958,0.948,89744,8550901.0,1.04,-0.94,-0.009,10.39
34,2023-12-19,0.951,0.952,0.953,0.946,125830,11933242.0,0.74,0.11,0.001,14.56
35,2023-12-20,0.953,0.961,0.963,0.953,204022,19582784.0,1.05,0.95,0.009,23.61
36,2023-12-21,0.954,0.961,0.964,0.942,160551,15222336.0,2.29,0.0,0.0,18.58
37,2023-12-22,0.961,0.96,0.963,0.954,136225,13060031.0,0.94,-0.1,-0.001,15.77
38,2023-12-25,0.961,0.973,0.975,0.955,147100,14207333.0,2.08,1.35,0.013,17.02
39,2023-12-26,0.973,0.974,0.976,0.968,96512,9385256.0,0.82,0.1,0.001,11.17
40,2023-12-27,0.972,0.985,0.985,0.97,92215,9029824.0,1.54,1.13,0.011,10.67
41,2023-12-28,0.987,0.987,0.992,0.984,175411,17322380.0,0.81,0.2,0.002,20.3
42,2023-12-29,0.98,0.985,0.986,0.965,97891,9624186.0,2.13,-0.2,-0.002,11.33
43,2024-01-02,0.98,0.996,0.999,0.98,128297,12757113.0,1.93,1.12,0.011,14.85
44,2024-01-03,0.991,0.991,0.995,0.988,127235,12612787.0,0.7,-0.5,-0.005,14.73
45,2024-01-04,0.992,0.99,0.992,0.982,175004,17255581.0,1.01,-0.1,-0.001,20.25
46,2024-01-05,0.989,0.985,1.0,0.982,154767,15362504.0,1.82,-0.51,-0.005,17.91
47,2024-01-08,0.98,0.967,0.984,0.965,117207,11395553.0,1.93,-1.83,-0.018,13.56
48,2024-01-09,0.965,0.976,0.977,0.963,171994,16717341.0,1.45,0.93,0.009,19.91
49,2024-01-10,0.977,0.964,0.977,0.962,140191,13579148.0,1.54,-1.23,-0.012,16.23
50,2024-01-11,0.954,0.96,0.973,0.954,127647,12248023.0,1.97,-0.41,-0.004,14.77
51,2024-01-12,0.96,0.969,0.97,0.951,126842,12268492.0,1.98,0.94,0.009,14.68
52,2024-01-15,0.966,0.969,0.979,0.964,125420,12175552.0,1.55,0.0,0.0,14.52
53,2024-01-16,0.969,0.959,0.969,0.95,149976,14339678.0,1.96,-1.03,-0.01,17.36
54,2024-01-17,0.954,0.93,0.954,0.928,268443,25258770.0,2.71,-3.02,-0.029,31.07
55,2024-01-18,0.923,0.92,0.923,0.892,258790,23403087.0,3.33,-1.08,-0.01,29.95
56,2024-01-19,0.918,0.92,0.924,0.909,160547,14753677.0,1.63,0.0,0.0,18.58
57,2024-01-22,0.911,0.873,0.919,0.867,358924,31855014.0,5.65,-5.11,-0.047,41.54
58,2024-01-23,0.873,0.889,0.891,0.857,265616,23291193.0,3.89,1.83,0.016,30.74
59,2024-01-24,0.888,0.904,0.905,0.879,218368,19430632.0,2.92,1.69,0.015,25.27
60,2024-01-25,0.898,0.928,0.93,0.898,108456,9956568.0,3.54,2.65,0.024,12.55
61,2024-01-26,0.93,0.934,0.938,0.921,195985,18281995.0,1.83,0.65,0.006,22.68
