,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-10-25,1.009,1.007,1.01,0.999,1424745,142778769.0,0.0,0.0,0.0,336.97
1,2021-10-26,1.006,1.007,1.015,1.006,512458,51816735.0,0.89,0.0,0.0,121.2
2,2021-10-27,1.007,0.984,1.007,0.981,67301,6623731.0,2.58,-2.28,-0.023,15.92
3,2021-10-28,0.984,0.988,0.999,0.984,186969,18581036.0,1.52,0.41,0.004,44.22
4,2021-10-29,0.987,0.988,0.996,0.987,108253,10725705.0,0.91,0.0,0.0,25.6
5,2021-11-01,0.985,0.996,0.997,0.985,128329,12754099.0,1.21,0.81,0.008,30.35
6,2021-11-02,0.996,0.993,1.013,0.99,174438,17466880.0,2.31,-0.3,-0.003,41.26
7,2021-11-03,0.996,0.99,1.001,0.983,179871,17794989.0,1.81,-0.3,-0.003,42.54
8,2021-11-04,0.995,1.0,1.003,0.994,91352,9141805.0,0.91,1.01,0.01,21.61
9,2021-11-05,0.997,0.999,1.01,0.997,197990,19922227.0,1.3,-0.1,-0.001,46.83
10,2021-11-08,0.994,0.991,0.994,0.986,166498,16473240.0,0.8,-0.8,-0.008,39.38
11,2021-11-09,0.994,1.0,1.001,0.987,195615,19380287.0,1.41,0.91,0.009,46.27
12,2021-11-10,1.0,1.006,1.007,0.996,166390,16681204.0,1.1,0.6,0.006,39.35
13,2021-11-11,1.003,1.021,1.021,1.003,216152,21904257.0,1.79,1.49,0.015,51.12
14,2021-11-12,1.025,1.024,1.026,1.018,155095,15878233.0,0.78,0.29,0.003,36.68
15,2021-11-15,1.023,1.027,1.036,1.023,140316,14476943.0,1.27,0.29,0.003,33.19
16,2021-11-16,1.027,1.028,1.037,1.026,228493,23598948.0,1.07,0.1,0.001,54.04
17,2021-11-17,1.027,1.032,1.032,1.025,71591,7352700.0,0.68,0.39,0.004,16.93
18,2021-11-18,1.025,1.011,1.028,1.011,89148,9059392.0,1.65,-2.03,-0.021,21.08
19,2021-11-19,1.015,1.022,1.026,1.014,95267,9732601.0,1.19,1.09,0.011,22.53
20,2021-11-22,1.022,1.03,1.032,1.022,62756,6452442.0,0.98,0.78,0.008,14.84
21,2021-11-23,1.026,1.02,1.026,1.019,62004,6343630.0,0.68,-0.97,-0.01,14.66
22,2021-11-24,1.016,1.014,1.019,1.012,58398,5934221.0,0.69,-0.59,-0.006,13.81
23,2021-11-25,1.015,1.013,1.015,1.007,72616,7353583.0,0.79,-0.1,-0.001,17.17
24,2021-11-26,1.013,0.996,1.013,0.994,71394,7134926.0,1.88,-1.68,-0.017,16.89
25,2021-11-29,0.996,0.991,0.996,0.984,72152,7165434.0,1.2,-0.5,-0.005,17.06
26,2021-11-30,0.99,0.995,1.003,0.988,96672,9642302.0,1.51,0.4,0.004,22.86
27,2021-12-01,0.999,0.998,1.005,0.998,48671,4877892.0,0.7,0.3,0.003,11.51
28,2021-12-02,0.998,0.991,0.998,0.99,76568,7598068.0,0.8,-0.7,-0.007,18.11
29,2021-12-03,0.994,0.997,0.998,0.993,67245,6698744.0,0.5,0.61,0.006,15.9
30,2021-12-06,0.997,0.985,0.999,0.984,80057,7965714.0,1.5,-1.2,-0.012,18.93
31,2021-12-07,0.99,0.99,0.999,0.983,60270,5963411.0,1.62,0.51,0.005,14.25
32,2021-12-08,0.999,1.013,1.013,0.999,100878,10187837.0,1.41,2.32,0.023,23.86
33,2021-12-09,1.015,0.98,1.033,0.98,79568,8183568.0,5.23,-3.26,-0.033,18.82
34,2021-12-10,1.029,1.02,1.029,0.999,105006,10717613.0,3.06,4.08,0.04,24.84
35,2021-12-13,1.023,1.034,1.041,1.02,84357,8756800.0,2.06,1.37,0.014,19.95
36,2021-12-14,1.032,1.022,1.032,1.02,81630,8357315.0,1.16,-1.16,-0.012,19.31
37,2021-12-15,1.019,1.008,1.022,1.008,75496,7687913.0,1.37,-1.37,-0.014,17.86
38,2021-12-16,1.008,1.008,1.012,1.003,72233,7265501.0,0.89,0.0,0.0,17.08
39,2021-12-17,1.003,0.996,1.007,0.995,68627,6849748.0,1.19,-1.19,-0.012,16.23
40,2021-12-20,0.996,0.97,0.997,0.97,72101,7101176.0,2.71,-2.61,-0.026,17.05
41,2021-12-21,0.972,0.985,0.991,0.972,75849,7454902.0,1.96,1.55,0.015,17.94
42,2021-12-22,0.996,0.995,1.0,0.993,55374,5520744.0,0.71,1.02,0.01,13.1
43,2021-12-23,0.995,1.002,1.006,0.995,46090,4616570.0,1.11,0.7,0.007,10.9
44,2021-12-24,1.002,1.001,1.006,0.998,44815,4487104.0,0.8,-0.1,-0.001,10.6
45,2021-12-27,1.004,1.001,1.007,1.001,39495,3955833.0,0.6,0.0,0.0,9.34
46,2021-12-28,1.005,1.005,1.008,0.994,36183,3622691.0,1.4,0.4,0.004,8.56
47,2021-12-29,1.005,0.991,1.005,0.991,38127,3797577.0,1.39,-1.39,-0.014,9.02
48,2021-12-30,0.991,1.003,1.006,0.991,42931,4314641.0,1.51,1.21,0.012,10.15
49,2021-12-31,1.008,1.008,1.011,1.004,53798,5418995.0,0.7,0.5,0.005,12.72
50,2022-01-04,1.016,1.012,1.018,1.003,47113,4731344.0,1.49,0.4,0.004,11.14
51,2022-01-05,1.008,0.985,1.008,0.982,62845,6215576.0,2.57,-2.67,-0.027,14.86
52,2022-01-06,0.985,0.971,0.985,0.963,57875,5610055.0,2.23,-1.42,-0.014,13.69
53,2022-01-07,0.981,0.978,0.983,0.975,49147,4814318.0,0.82,0.72,0.007,11.62
54,2022-01-10,0.978,0.989,0.994,0.968,63007,6227538.0,2.66,1.12,0.011,14.9
55,2022-01-11,0.989,0.975,0.99,0.974,34629,3406176.0,1.62,-1.42,-0.014,8.19
56,2022-01-12,0.98,0.993,0.993,0.98,62261,6154237.0,1.33,1.85,0.018,14.73
57,2022-01-13,0.993,0.976,0.993,0.975,28094,2767219.0,1.81,-1.71,-0.017,6.64
58,2022-01-14,0.976,0.978,0.979,0.965,50684,4943049.0,1.43,0.2,0.002,11.99
59,2022-01-17,0.978,0.986,0.988,0.977,46702,4595494.0,1.12,0.82,0.008,11.05
60,2022-01-18,0.986,0.993,1.002,0.986,40007,3977196.0,1.62,0.71,0.007,9.46
61,2022-01-19,0.993,0.988,0.997,0.981,46670,4607797.0,1.61,-0.5,-0.005,11.04
62,2022-01-20,0.988,1.0,1.001,0.988,66680,6643396.0,1.32,1.21,0.012,15.77
63,2022-01-21,1.0,0.991,1.002,0.99,55692,5549802.0,1.2,-0.9,-0.009,13.17
64,2022-01-24,0.991,0.995,1.001,0.986,38788,3843707.0,1.51,0.4,0.004,9.17
65,2022-01-25,0.995,0.976,0.995,0.976,45275,4486548.0,1.91,-1.91,-0.019,10.71
66,2022-01-26,0.978,0.979,0.985,0.968,42548,4180571.0,1.74,0.31,0.003,10.06
67,2022-01-27,0.981,0.942,0.981,0.942,55969,5382269.0,3.98,-3.78,-0.037,13.24
68,2022-01-28,0.947,0.935,0.951,0.933,56318,5295151.0,1.91,-0.74,-0.007,13.32
69,2022-02-07,0.954,0.949,0.962,0.946,35525,3393573.0,1.71,1.5,0.014,8.4
70,2022-02-08,0.949,0.934,0.949,0.922,19559,1832977.0,2.85,-1.58,-0.015,4.63
71,2022-02-09,0.941,0.957,0.958,0.94,48786,4615388.0,1.93,2.46,0.023,11.54
72,2022-02-10,0.959,0.948,0.962,0.945,51075,4873821.0,1.78,-0.94,-0.009,12.08
73,2022-02-11,0.953,0.931,0.953,0.929,51284,4820768.0,2.53,-1.79,-0.017,12.13
74,2022-02-14,0.924,0.925,0.93,0.921,29774,2753975.0,0.97,-0.64,-0.006,7.04
75,2022-02-15,0.925,0.931,0.937,0.925,35014,3271878.0,1.3,0.65,0.006,8.28
76,2022-02-16,0.938,0.939,0.942,0.938,48630,4575317.0,0.43,0.86,0.008,11.5
77,2022-02-17,0.937,0.941,0.946,0.937,59772,5622029.0,0.96,0.21,0.002,14.14
78,2022-02-18,0.941,0.94,0.941,0.936,36361,3415484.0,0.53,-0.11,-0.001,8.6
79,2022-02-21,0.934,0.93,0.937,0.929,44053,4116162.0,0.85,-1.06,-0.01,10.42
80,2022-02-22,0.92,0.915,0.92,0.909,27102,2479027.0,1.18,-1.61,-0.015,6.41
81,2022-02-23,0.92,0.936,0.936,0.92,27049,2503652.0,1.75,2.3,0.021,6.4
82,2022-02-24,0.927,0.917,0.932,0.906,39230,3628376.0,2.78,-2.03,-0.019,9.28
83,2022-02-25,0.929,0.918,0.929,0.918,41054,3790576.0,1.2,0.11,0.001,9.71
84,2022-02-28,0.911,0.912,0.912,0.906,31217,2838860.0,0.65,-0.65,-0.006,7.38
85,2022-03-01,0.916,0.92,0.92,0.913,58506,5352513.0,0.77,0.88,0.008,13.84
86,2022-03-02,0.92,0.906,0.92,0.904,36396,3310399.0,1.74,-1.52,-0.014,8.61
87,2022-03-03,0.907,0.893,0.907,0.891,36897,3317847.0,1.77,-1.43,-0.013,8.73
88,2022-03-04,0.893,0.875,0.893,0.875,46389,4096306.0,2.02,-2.02,-0.018,10.97
89,2022-03-07,0.875,0.836,0.875,0.831,56878,4814708.0,5.03,-4.46,-0.039,13.45
90,2022-03-08,0.843,0.824,0.843,0.823,39977,3324337.0,2.39,-1.44,-0.012,9.46
91,2022-03-09,0.828,0.806,0.835,0.794,55264,4533488.0,4.98,-2.18,-0.018,13.07
92,2022-03-10,0.815,0.824,0.842,0.815,34816,2904091.0,3.35,2.23,0.018,8.23
93,2022-03-11,0.815,0.816,0.817,0.793,53076,4274379.0,2.91,-0.97,-0.008,12.55
94,2022-03-14,0.82,0.785,0.82,0.785,50064,4023277.0,4.29,-3.8,-0.031,11.84
95,2022-03-15,0.788,0.748,0.789,0.748,64706,4966057.0,5.22,-4.71,-0.037,15.3
96,2022-03-16,0.748,0.798,0.798,0.743,75904,5804808.0,7.35,6.68,0.05,17.95
97,2022-03-17,0.828,0.826,0.835,0.819,75710,6235633.0,2.01,3.51,0.028,17.91
98,2022-03-18,0.826,0.828,0.831,0.811,68123,5602634.0,2.42,0.24,0.002,16.11
99,2022-03-21,0.831,0.825,0.838,0.823,76198,6318358.0,1.81,-0.36,-0.003,18.02
100,2022-03-22,0.823,0.827,0.832,0.822,73988,6099032.0,1.21,0.24,0.002,17.5
101,2022-03-23,0.832,0.841,0.845,0.832,67069,5641943.0,1.57,1.69,0.014,15.86
102,2022-03-24,0.898,0.833,0.898,0.829,75345,6292168.0,8.2,-0.95,-0.008,17.82
103,2022-03-25,0.83,0.809,0.83,0.809,61640,5082144.0,2.52,-2.88,-0.024,14.58
104,2022-03-28,0.804,0.807,0.81,0.792,90152,7252699.0,2.22,-0.25,-0.002,21.32
105,2022-03-29,0.866,0.801,0.866,0.801,91046,7373839.0,8.05,-0.74,-0.006,21.53
106,2022-03-30,0.812,0.818,0.818,0.808,30085,2448814.0,1.25,2.12,0.017,7.12
107,2022-03-31,0.82,0.809,0.82,0.802,78521,6346160.0,2.2,-1.1,-0.009,18.57
108,2022-04-01,0.811,0.805,0.811,0.793,42395,3405905.0,2.22,-0.49,-0.004,10.03
109,2022-04-06,0.805,0.794,0.805,0.792,77883,6177821.0,1.61,-1.37,-0.011,18.42
110,2022-04-07,0.798,0.793,0.808,0.793,73185,5853327.0,1.89,-0.13,-0.001,17.31
111,2022-04-08,0.791,0.782,0.791,0.777,47603,3724151.0,1.77,-1.39,-0.011,11.26
112,2022-04-11,0.785,0.751,0.785,0.748,34730,2638094.0,4.73,-3.96,-0.031,8.21
113,2022-04-12,0.751,0.765,0.765,0.744,43216,3258786.0,2.8,1.86,0.014,10.22
114,2022-04-13,0.758,0.759,0.765,0.754,40585,3085068.0,1.44,-0.78,-0.006,9.6
115,2022-04-14,0.759,0.769,0.772,0.759,49272,3797309.0,1.71,1.32,0.01,11.65
116,2022-04-15,0.762,0.768,0.771,0.762,25516,1954387.0,1.17,-0.13,-0.001,6.03
117,2022-04-18,0.763,0.773,0.776,0.762,8464,649107.0,1.82,0.65,0.005,2.0
118,2022-04-19,0.774,0.767,0.775,0.767,41873,3236314.0,1.03,-0.78,-0.006,9.9
119,2022-04-20,0.77,0.763,0.771,0.761,55592,4265651.0,1.3,-0.52,-0.004,13.15
120,2022-04-21,0.759,0.746,0.762,0.744,46096,3480041.0,2.36,-2.23,-0.017,10.9
121,2022-04-22,0.742,0.747,0.752,0.737,49942,3694843.0,2.01,0.13,0.001,11.81
122,2022-04-25,0.739,0.713,0.739,0.713,41170,2998845.0,3.48,-4.55,-0.034,9.74
123,2022-04-26,0.717,0.703,0.724,0.703,32678,2323156.0,2.95,-1.4,-0.01,7.73
124,2022-04-27,0.703,0.728,0.73,0.703,24703,1778205.0,3.84,3.56,0.025,5.84
125,2022-04-28,0.734,0.737,0.737,0.73,17902,1309970.0,0.96,1.24,0.009,4.23
126,2022-04-29,0.744,0.781,0.781,0.744,70883,5335306.0,5.02,5.97,0.044,16.76
127,2022-05-05,0.78,0.778,0.785,0.777,6213,485840.0,1.02,-0.38,-0.003,1.47
128,2022-05-06,0.773,0.744,0.773,0.742,29259,2180405.0,3.98,-4.37,-0.034,6.92
129,2022-05-09,0.742,0.745,0.746,0.74,80792,5994869.0,0.81,0.13,0.001,19.11
130,2022-05-10,0.738,0.745,0.751,0.731,63217,4696125.0,2.68,0.0,0.0,14.95
131,2022-05-11,0.752,0.766,0.78,0.75,35580,2713827.0,4.03,2.82,0.021,8.42
132,2022-05-12,0.759,0.76,0.763,0.754,53797,4087812.0,1.17,-0.78,-0.006,12.72
133,2022-05-13,0.766,0.765,0.769,0.76,65877,5035483.0,1.18,0.66,0.005,15.58
134,2022-05-16,0.769,0.763,0.778,0.761,77261,5911583.0,2.22,-0.26,-0.002,18.27
135,2022-05-17,0.766,0.782,0.782,0.766,86125,6651625.0,2.1,2.49,0.019,20.37
136,2022-05-18,0.778,0.785,0.787,0.776,69289,5390824.0,1.41,0.38,0.003,16.39
137,2022-05-19,0.778,0.777,0.778,0.766,81939,6305570.0,1.53,-1.02,-0.008,19.38
