,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-04-19,0.988,0.979,0.999,0.976,1059925,104719460.0,0.0,0.0,0.0,1316.25
1,2022-04-20,0.977,0.998,1.007,0.977,1019074,101472184.0,3.06,1.94,0.019,1265.52
2,2022-04-21,0.989,0.973,0.993,0.964,145687,14291548.0,2.91,-2.51,-0.025,180.92
3,2022-04-22,0.968,0.987,0.99,0.96,82257,8005078.0,3.08,1.44,0.014,102.15
4,2022-04-25,0.987,0.944,0.987,0.942,129694,12458666.0,4.56,-4.36,-0.043,161.06
5,2022-04-26,0.944,0.958,0.975,0.944,21386,2058966.0,3.28,1.48,0.014,26.56
6,2022-04-27,0.959,0.973,0.975,0.951,15413,1492886.0,2.51,1.57,0.015,19.14
7,2022-04-28,0.969,0.971,0.975,0.964,26704,2586993.0,1.13,-0.21,-0.002,33.16
8,2022-04-29,0.978,0.993,1.005,0.965,167742,16712804.0,4.12,2.27,0.022,208.31
9,2022-05-05,0.993,0.992,0.998,0.984,9171,911095.0,1.41,-0.1,-0.001,11.39
10,2022-05-06,0.983,0.957,0.983,0.952,83305,7989439.0,3.13,-3.53,-0.035,103.45
11,2022-05-09,0.948,0.951,0.958,0.911,16380,1558698.0,4.91,-0.63,-0.006,20.34
12,2022-05-10,0.942,0.957,0.965,0.936,17226,1645887.0,3.05,0.63,0.006,21.39
13,2022-05-11,0.962,0.976,0.986,0.952,40047,3912789.0,3.55,1.99,0.019,49.73
14,2022-05-12,0.967,0.989,0.998,0.961,51237,4963559.0,3.79,1.33,0.013,63.63
15,2022-05-13,0.98,0.981,0.987,0.974,48983,4804471.0,1.31,-0.81,-0.008,60.83
16,2022-05-16,0.976,0.976,0.99,0.97,16786,1643680.0,2.04,-0.51,-0.005,20.85
17,2022-05-17,0.981,0.992,0.994,0.981,37965,3745921.0,1.33,1.64,0.016,47.15
18,2022-05-18,0.983,0.987,0.992,0.975,43271,4248754.0,1.71,-0.5,-0.005,53.74
19,2022-05-19,0.982,0.969,0.982,0.963,46110,4453719.0,1.93,-1.82,-0.018,57.26
20,2022-05-20,0.978,0.991,0.995,0.978,104352,10334214.0,1.75,2.27,0.022,129.59
21,2022-05-23,0.985,0.969,0.985,0.967,32234,3137442.0,1.82,-2.22,-0.022,40.03
22,2022-05-24,0.968,0.948,0.968,0.945,48666,4662100.0,2.37,-2.17,-0.021,60.44
23,2022-05-25,0.943,0.954,0.955,0.943,53771,5118567.0,1.27,0.63,0.006,66.77
24,2022-05-26,0.945,0.948,0.953,0.94,51073,4843372.0,1.36,-0.63,-0.006,63.42
25,2022-05-27,0.954,0.958,0.977,0.954,110638,10738436.0,2.43,1.05,0.01,137.39
26,2022-05-30,0.967,0.987,0.992,0.967,161062,15846877.0,2.61,3.03,0.029,200.01
27,2022-05-31,0.984,1.005,1.008,0.984,46536,4652699.0,2.43,1.82,0.018,57.79
28,2022-06-01,1.004,1.0,1.007,0.992,71620,7172015.0,1.49,-0.5,-0.005,88.94
29,2022-06-02,0.995,0.997,0.999,0.991,51409,5114949.0,0.8,-0.3,-0.003,63.84
30,2022-06-06,1.005,1.019,1.019,1.005,31310,3171358.0,1.4,2.21,0.022,38.88
31,2022-06-07,1.018,1.021,1.031,1.017,34442,3527356.0,1.37,0.2,0.002,42.77
32,2022-06-08,1.021,1.038,1.045,1.021,54858,5681468.0,2.35,1.67,0.017,68.12
33,2022-06-09,1.03,1.016,1.03,1.01,10800,1107086.0,1.93,-2.12,-0.022,13.41
34,2022-06-10,1.013,1.032,1.035,1.013,68020,6927648.0,2.17,1.57,0.016,84.47
35,2022-06-13,1.022,1.003,1.022,0.999,32106,3227860.0,2.23,-2.81,-0.029,39.87
36,2022-06-14,0.993,1.02,1.02,0.993,29729,2996272.0,2.69,1.69,0.017,36.92
37,2022-06-15,1.025,1.027,1.122,1.01,34002,3499067.0,10.98,0.69,0.007,42.22
38,2022-06-16,1.036,1.02,1.036,1.017,34059,3506136.0,1.85,-0.68,-0.007,42.3
