,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-05-19,0.973,0.985,0.986,0.967,1300592,126481329.0,0.0,0.0,0.0,394.26
1,2022-05-20,0.985,1.011,1.014,0.985,718762,72279114.0,2.94,2.64,0.026,217.89
2,2022-05-23,1.013,1.007,1.013,1.001,297619,29937064.0,1.19,-0.4,-0.004,90.22
3,2022-05-24,0.997,0.965,0.997,0.965,47314,4625991.0,3.18,-4.17,-0.042,14.34
4,2022-05-25,0.965,0.973,0.974,0.96,165653,16030482.0,1.45,0.83,0.008,50.22
5,2022-05-26,0.973,0.971,0.973,0.948,120953,11591763.0,2.57,-0.21,-0.002,36.67
6,2022-05-27,0.968,0.979,0.987,0.968,115629,11336766.0,1.96,0.82,0.008,35.05
7,2022-05-30,0.973,0.989,0.99,0.971,73540,7218431.0,1.94,1.02,0.01,22.29
8,2022-05-31,0.98,1.011,1.013,0.98,132431,13311133.0,3.34,2.22,0.022,40.15
9,2022-06-01,1.011,1.001,1.011,0.995,109224,10960128.0,1.58,-0.99,-0.01,33.11
10,2022-06-02,0.996,0.993,0.996,0.983,42299,4182125.0,1.3,-0.8,-0.008,12.82
11,2022-06-06,0.99,1.018,1.02,0.99,71556,7261876.0,3.02,2.52,0.025,21.69
12,2022-06-07,1.017,1.034,1.1,1.017,74025,7605567.0,8.15,1.57,0.016,22.44
13,2022-06-08,1.036,1.083,1.086,1.036,68214,7190998.0,4.84,4.74,0.049,20.68
14,2022-06-09,1.075,1.044,1.075,1.042,41195,4328329.0,3.05,-3.6,-0.039,12.49
15,2022-06-10,1.045,1.056,1.063,1.04,52435,5510746.0,2.2,1.15,0.012,15.9
16,2022-06-13,1.046,1.033,1.046,1.017,40230,4114518.0,2.75,-2.18,-0.023,12.2
17,2022-06-14,1.023,1.034,1.034,1.009,38113,3892101.0,2.42,0.1,0.001,11.55
18,2022-06-15,1.034,1.05,1.056,1.032,37027,3853476.0,2.32,1.55,0.016,11.22
19,2022-06-16,1.041,1.047,1.06,1.041,37869,3984199.0,1.81,-0.29,-0.003,11.48
20,2022-06-17,1.037,1.07,1.07,0.995,31352,3282819.0,7.16,2.2,0.023,9.5
21,2022-06-20,1.07,1.082,1.088,1.061,75508,8130479.0,2.52,1.12,0.012,22.89
22,2022-06-21,1.077,1.09,1.093,1.074,68008,7360811.0,1.76,0.74,0.008,20.62
23,2022-06-22,1.09,1.082,1.094,1.071,55585,6048647.0,2.11,-0.73,-0.008,16.85
24,2022-06-23,1.079,1.079,1.19,1.039,50111,5424028.0,13.96,-0.28,-0.003,15.19
25,2022-06-24,1.086,1.127,1.127,1.086,75402,8344801.0,3.8,4.45,0.048,22.86
26,2022-06-27,1.129,1.13,1.182,1.125,55261,6276273.0,5.06,0.27,0.003,16.75
27,2022-06-28,1.13,1.13,1.13,1.108,53666,5997204.0,1.95,0.0,0.0,16.27
28,2022-06-29,1.12,1.109,1.14,1.106,21891,2465055.0,3.01,-1.86,-0.021,6.64
29,2022-06-30,1.12,1.139,1.22,1.098,29295,3343350.0,11.0,2.71,0.03,8.88
30,2022-07-01,1.14,1.131,1.14,1.125,12265,1390364.0,1.32,-0.7,-0.008,3.72
31,2022-07-04,1.131,1.188,1.19,1.12,56776,6577264.0,6.19,5.04,0.057,17.21
32,2022-07-05,1.189,1.196,1.307,1.164,21355,2532823.0,12.04,0.67,0.008,6.47
33,2022-07-06,1.196,1.171,1.217,1.161,15260,1820295.0,4.68,-2.09,-0.025,4.63
34,2022-07-07,1.173,1.161,1.173,1.145,9223,1067526.0,2.39,-0.85,-0.01,2.8
35,2022-07-08,1.172,1.162,1.186,1.162,8583,1009361.0,2.07,0.09,0.001,2.6
36,2022-07-11,1.164,1.143,1.168,1.134,20167,2312089.0,2.93,-1.64,-0.019,6.11
37,2022-07-12,1.152,1.112,1.154,1.112,8908,997198.0,3.67,-2.71,-0.031,2.7
38,2022-07-13,1.111,1.118,1.123,1.106,35540,3960365.0,1.53,0.54,0.006,10.77
39,2022-07-14,1.118,1.144,1.149,1.118,11332,1295026.0,2.77,2.33,0.026,3.44
40,2022-07-15,1.144,1.119,1.151,1.119,10841,1235251.0,2.8,-2.19,-0.025,3.29
41,2022-07-18,1.111,1.119,1.127,1.087,18734,2095036.0,3.57,0.0,0.0,5.68
42,2022-07-19,1.13,1.112,1.13,1.1,19225,2128576.0,2.68,-0.63,-0.007,5.83
43,2022-07-20,1.112,1.13,1.145,1.112,36630,4161074.0,2.97,1.62,0.018,11.1
44,2022-07-21,1.136,1.131,1.137,1.128,30768,3488537.0,0.8,0.09,0.001,9.33
45,2022-07-22,1.121,1.117,1.138,1.113,8038,901185.0,2.21,-1.24,-0.014,2.44
46,2022-07-25,1.119,1.107,1.119,1.098,24701,2734524.0,1.88,-0.9,-0.01,7.49
47,2022-07-26,1.11,1.109,1.11,1.104,21474,2377681.0,0.54,0.18,0.002,6.51
48,2022-07-27,1.11,1.092,1.11,1.091,25984,2840546.0,1.71,-1.53,-0.017,7.88
49,2022-07-28,1.092,1.088,1.095,1.084,23864,2604117.0,1.01,-0.37,-0.004,7.23
50,2022-07-29,1.078,1.053,1.079,1.051,8335,887264.0,2.57,-3.22,-0.035,2.53
51,2022-08-01,1.043,1.058,1.059,1.043,11743,1242237.0,1.52,0.47,0.005,3.56
52,2022-08-02,1.058,1.036,1.058,1.022,14354,1477837.0,3.4,-2.08,-0.022,4.35
53,2022-08-03,1.04,1.039,1.05,1.035,36054,3762641.0,1.45,0.29,0.003,10.93
54,2022-08-04,1.049,1.064,1.065,1.049,13117,1387267.0,1.54,2.41,0.025,3.98
55,2022-08-05,1.072,1.084,1.087,1.072,34567,3740037.0,1.41,1.88,0.02,10.48
56,2022-08-08,1.074,1.085,1.088,1.068,41712,4521022.0,1.85,0.09,0.001,12.64
57,2022-08-09,1.075,1.077,1.077,1.072,11842,1271277.0,0.46,-0.74,-0.008,3.59
58,2022-08-10,1.073,1.047,1.073,1.045,35928,3767980.0,2.6,-2.79,-0.03,10.89
59,2022-08-11,1.057,1.077,1.078,1.057,25863,2738966.0,2.01,2.87,0.03,7.84
60,2022-08-12,1.067,1.078,1.084,1.023,22021,2353863.0,5.66,0.09,0.001,6.68
61,2022-08-15,1.072,1.068,1.076,1.064,14533,1549709.0,1.11,-0.93,-0.01,4.41
62,2022-08-16,1.062,1.054,1.069,1.049,14278,1515488.0,1.87,-1.31,-0.014,4.33
