,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-05-29,3.895,3.914,3.915,3.891,814889,318572864.0,0.0,0.0,0.0,296.83
1,2020-06-01,3.928,3.948,3.957,3.921,427166,168485986.0,0.92,0.87,0.034,155.6
2,2020-06-02,3.942,3.943,3.949,3.938,228022,89915174.0,0.28,-0.13,-0.005,83.06
3,2020-06-03,3.904,3.905,3.92,3.904,139048,54408494.0,0.41,-0.96,-0.038,50.65
4,2020-06-04,3.876,3.872,3.891,3.868,205324,79630434.0,0.59,-0.85,-0.033,74.79
5,2020-06-05,3.872,3.874,3.9,3.872,208052,80893422.0,0.72,0.05,0.002,75.79
6,2020-06-08,3.835,3.839,3.844,3.828,78968,30277314.0,0.41,-0.9,-0.035,28.77
7,2020-06-09,3.844,3.84,3.852,3.837,141674,54424699.0,0.39,0.03,0.001,51.61
8,2020-06-10,3.859,3.878,3.881,3.859,97794,37932425.0,0.57,0.99,0.038,35.62
9,2020-06-11,3.921,3.911,3.921,3.88,153898,60094420.0,1.06,0.85,0.033,56.06
10,2020-06-12,3.911,3.911,3.912,3.895,136970,53472442.0,0.43,0.0,0.0,49.89
11,2020-06-15,3.911,3.9,3.924,3.892,160843,62829108.0,0.82,-0.28,-0.011,58.59
12,2020-06-16,3.892,3.897,3.91,3.888,86841,33886636.0,0.56,-0.08,-0.003,31.63
13,2020-06-17,3.899,3.903,3.906,3.896,83607,32613213.0,0.26,0.15,0.006,30.45
14,2020-06-18,3.903,3.896,3.903,3.895,75848,29578383.0,0.2,-0.18,-0.007,27.63
15,2020-06-19,3.896,3.901,3.908,3.896,61023,23808879.0,0.31,0.13,0.005,22.23
16,2020-06-22,3.925,3.945,3.96,3.925,154454,61057615.0,0.9,1.13,0.044,56.26
17,2020-06-23,3.95,3.943,3.958,3.936,79842,31515967.0,0.56,-0.05,-0.002,29.08
18,2020-06-24,3.952,3.967,3.971,3.952,65789,26097265.0,0.48,0.61,0.024,23.96
19,2020-06-29,3.968,3.968,3.975,3.967,93891,37276030.0,0.2,0.03,0.001,34.2
20,2020-06-30,3.967,3.971,3.972,3.965,77891,30906768.0,0.18,0.08,0.003,28.37
21,2020-07-01,3.983,3.994,3.999,3.983,83749,33411084.0,0.4,0.58,0.023,30.51
22,2020-07-02,3.99,3.96,3.99,3.954,73159,28969560.0,0.9,-0.85,-0.034,26.65
23,2020-07-03,3.967,3.972,3.975,3.965,82496,32775233.0,0.25,0.3,0.012,30.05
24,2020-07-06,3.968,3.961,3.972,3.956,77983,30913194.0,0.4,-0.28,-0.011,28.41
25,2020-07-07,3.961,3.967,3.969,3.96,45712,18131420.0,0.23,0.15,0.006,16.65
26,2020-07-08,3.976,3.986,3.995,3.976,67173,26773288.0,0.48,0.48,0.019,24.47
27,2020-07-09,3.987,4.01,4.013,3.987,75217,30152920.0,0.65,0.6,0.024,27.4
28,2020-07-10,4.007,3.983,4.007,3.981,36951,14745017.0,0.65,-0.67,-0.027,13.46
29,2020-07-13,3.989,3.998,4.063,3.989,58456,23402406.0,1.86,0.38,0.015,21.29
30,2020-07-14,3.998,3.992,3.998,3.986,65643,26184701.0,0.3,-0.15,-0.006,23.91
31,2020-07-15,3.994,3.999,4.008,3.994,44380,17765548.0,0.35,0.18,0.007,16.17
32,2020-07-16,4.0,3.986,4.0,3.984,48425,19347498.0,0.4,-0.33,-0.013,17.64
33,2020-07-17,3.96,3.96,3.964,3.95,66473,26305177.0,0.35,-0.65,-0.026,24.21
34,2020-07-20,3.967,3.98,3.98,3.967,70019,27833507.0,0.33,0.51,0.02,25.51
35,2020-07-21,3.986,4.007,4.011,3.986,69658,27827197.0,0.63,0.68,0.027,25.37
36,2020-07-22,4.074,4.102,4.133,4.074,83839,34368413.0,1.47,2.37,0.095,30.54
37,2020-07-23,4.106,4.125,4.139,4.106,58181,23937901.0,0.8,0.56,0.023,21.19
38,2020-07-24,4.149,4.162,4.166,4.144,50701,21056907.0,0.53,0.9,0.037,18.47
39,2020-07-27,4.188,4.274,4.31,4.188,90801,38761742.0,2.93,2.69,0.112,33.08
40,2020-07-28,4.333,4.257,4.389,4.234,108382,46765707.0,3.63,-0.4,-0.017,39.48
41,2020-07-29,4.259,4.265,4.299,4.257,42308,18056951.0,0.99,0.19,0.008,15.41
42,2020-07-30,4.267,4.238,4.271,4.221,30453,12970831.0,1.17,-0.63,-0.027,11.09
43,2020-07-31,4.237,4.274,4.278,4.223,33350,14160459.0,1.3,0.85,0.036,12.15
44,2020-08-03,4.274,4.259,4.274,4.255,61473,26228365.0,0.44,-0.35,-0.015,22.39
45,2020-08-04,4.261,4.262,4.272,4.2,25365,10826781.0,1.69,0.07,0.003,9.24
46,2020-08-05,4.333,4.378,4.384,4.333,94605,41180624.0,1.2,2.72,0.116,34.46
47,2020-08-06,4.381,4.412,4.465,4.381,107097,47106913.0,1.92,0.78,0.034,39.01
48,2020-08-07,4.433,4.434,4.479,4.428,50031,22278713.0,1.16,0.5,0.022,18.22
49,2020-08-10,4.4,4.402,4.41,4.386,59917,26333254.0,0.54,-0.72,-0.032,21.83
50,2020-08-11,4.404,4.312,4.404,4.29,162801,70825349.0,2.59,-2.04,-0.09,59.3
51,2020-08-12,4.196,4.039,4.196,4.01,44817,18086207.0,4.31,-6.33,-0.273,16.33
52,2020-08-13,4.09,4.111,4.128,4.09,40134,16509262.0,0.94,1.78,0.072,14.62
53,2020-08-14,4.181,4.144,4.203,4.135,109083,45601264.0,1.65,0.8,0.033,39.74
54,2020-08-17,4.147,4.187,4.191,4.144,78096,32492462.0,1.13,1.04,0.043,28.45
55,2020-08-18,4.285,4.28,4.29,4.21,39926,17050515.0,1.91,2.22,0.093,14.54
56,2020-08-19,4.284,4.236,4.285,4.229,65603,27938473.0,1.31,-1.03,-0.044,23.9
57,2020-08-20,4.228,4.135,4.228,4.005,75044,31055693.0,5.26,-2.38,-0.101,27.34
58,2020-08-21,4.136,4.152,4.158,4.136,36765,15250133.0,0.53,0.41,0.017,13.39
59,2020-08-24,4.152,4.117,4.211,4.001,31419,12919839.0,5.06,-0.84,-0.035,11.44
60,2020-08-25,4.117,4.123,4.135,4.117,44724,18459328.0,0.44,0.15,0.006,16.29
61,2020-08-26,4.128,4.116,4.133,4.114,42513,17524420.0,0.46,-0.17,-0.007,15.49
62,2020-08-27,4.146,4.167,4.168,4.146,46657,19417626.0,0.53,1.24,0.051,17.0
63,2020-08-28,4.162,4.163,4.171,4.14,52531,21819571.0,0.74,-0.1,-0.004,19.13
64,2020-08-31,4.173,4.18,4.199,4.173,46494,19478533.0,0.62,0.41,0.017,16.94
65,2020-09-01,4.187,4.225,4.23,4.187,41781,17627797.0,1.03,1.08,0.045,15.22
66,2020-09-02,4.225,4.181,4.225,4.176,36435,15236894.0,1.16,-1.04,-0.044,13.27
67,2020-09-03,4.176,4.109,4.176,4.103,51965,21515504.0,1.75,-1.72,-0.072,18.93
68,2020-09-04,4.109,4.123,4.139,4.109,76763,31663898.0,0.73,0.34,0.014,27.96
69,2020-09-07,4.12,4.122,4.14,4.117,50114,20714153.0,0.56,-0.02,-0.001,18.25
70,2020-09-08,4.114,4.125,4.132,4.105,52507,21616242.0,0.66,0.07,0.003,19.13
71,2020-09-09,4.12,4.124,4.137,4.117,25544,10536193.0,0.48,-0.02,-0.001,9.3
72,2020-09-10,4.136,4.151,4.161,4.136,35765,14865904.0,0.61,0.65,0.027,13.03
73,2020-09-11,4.148,4.142,4.155,4.125,52651,21813551.0,0.72,-0.22,-0.009,19.18
74,2020-09-14,4.139,4.141,4.151,4.139,58260,24150356.0,0.29,-0.02,-0.001,21.22
75,2020-09-15,4.149,4.156,4.165,4.147,32264,13403700.0,0.43,0.36,0.015,11.75
76,2020-09-16,4.152,4.142,4.153,4.132,29888,12368900.0,0.51,-0.34,-0.014,10.89
77,2020-09-17,4.129,4.113,4.13,4.102,69325,28531831.0,0.68,-0.7,-0.029,25.25
78,2020-09-18,4.114,4.132,4.133,4.114,46378,19129086.0,0.46,0.46,0.019,16.89
79,2020-09-21,4.189,4.13,4.189,4.13,26196,10836445.0,1.43,-0.05,-0.002,9.54
80,2020-09-22,4.047,4.042,4.058,4.023,51118,20658023.0,0.85,-2.13,-0.088,18.62
81,2020-09-23,4.041,3.981,4.044,3.97,81103,32557117.0,1.83,-1.51,-0.061,29.54
82,2020-09-24,3.98,3.937,3.98,3.928,62251,24630961.0,1.31,-1.11,-0.044,22.68
83,2020-09-25,3.943,3.985,3.988,3.943,69196,27459690.0,1.14,1.22,0.048,25.21
84,2020-09-28,3.977,3.976,3.981,3.969,55543,22078425.0,0.3,-0.23,-0.009,20.23
85,2020-09-29,4.008,4.028,4.032,4.006,95719,38511084.0,0.65,1.31,0.052,34.87
