,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-07-28,4.308,4.249,4.35,4.222,580379,249080093.0,0.0,0.0,0.0,69.96
1,2020-07-29,4.266,4.264,4.28,4.255,140396,59885436.0,0.59,0.35,0.015,16.92
2,2020-07-30,4.265,4.239,4.275,4.224,114315,48725204.0,1.2,-0.59,-0.025,13.78
3,2020-07-31,4.239,4.273,4.28,4.235,68876,29319609.0,1.06,0.8,0.034,8.3
4,2020-08-03,4.27,4.264,4.274,4.186,70564,30101567.0,2.06,-0.21,-0.009,8.51
5,2020-08-04,4.264,4.266,4.279,4.264,91637,39152235.0,0.35,0.05,0.002,11.05
6,2020-08-05,4.275,4.383,4.39,4.275,129906,56593199.0,2.7,2.74,0.117,15.66
7,2020-08-06,4.39,4.415,4.421,4.39,82444,36270977.0,0.71,0.73,0.032,9.94
8,2020-08-07,4.436,4.44,4.475,4.43,81831,36411795.0,1.02,0.57,0.025,9.86
9,2020-08-10,4.44,4.407,4.44,4.388,57239,25187318.0,1.17,-0.74,-0.033,6.9
10,2020-08-11,4.403,4.313,4.403,4.295,121374,52985067.0,2.45,-2.13,-0.094,14.63
11,2020-08-12,4.06,4.06,4.08,4.0,32208,12995070.0,1.85,-5.87,-0.253,3.88
12,2020-08-13,4.1,4.119,4.2,4.1,86110,35494851.0,2.46,1.45,0.059,10.38
13,2020-08-14,4.2,4.154,4.208,4.143,79614,33368178.0,1.58,0.85,0.035,9.6
14,2020-08-17,4.157,4.196,4.196,4.154,29677,12377144.0,1.01,1.01,0.042,3.58
15,2020-08-18,4.3,4.294,4.3,4.267,17000,7275926.0,0.79,2.34,0.098,2.05
16,2020-08-19,4.294,4.248,4.294,4.246,66261,28239389.0,1.12,-1.07,-0.046,7.99
17,2020-08-20,4.23,4.139,4.23,4.122,49266,20426653.0,2.54,-2.57,-0.109,5.94
18,2020-08-21,4.199,4.153,4.199,4.138,34980,14529306.0,1.47,0.34,0.014,4.22
19,2020-08-24,4.157,4.122,4.157,4.102,30793,12667040.0,1.32,-0.75,-0.031,3.71
20,2020-08-25,4.119,4.131,4.137,4.119,14867,6142860.0,0.44,0.22,0.009,1.79
21,2020-08-26,4.127,4.121,4.139,4.119,22688,9362331.0,0.48,-0.24,-0.01,2.73
22,2020-08-27,4.149,4.171,4.172,4.149,26296,10958590.0,0.56,1.21,0.05,3.17
23,2020-08-28,4.15,4.171,4.175,4.145,14637,6081870.0,0.72,0.0,0.0,1.76
24,2020-08-31,4.175,4.187,4.205,4.175,14454,6059024.0,0.72,0.38,0.016,1.74
25,2020-09-01,4.194,4.228,4.233,4.194,59858,25289054.0,0.93,0.98,0.041,7.22
26,2020-09-02,4.213,4.188,4.227,4.185,12405,5198975.0,0.99,-0.95,-0.04,1.5
