,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-30,0.992,1.008,1.01,0.992,1519211,151888235.0,0.0,0.0,0.0,689.83
1,2021-10-08,1.036,1.01,1.04,1.003,313943,32201655.0,3.67,0.2,0.002,142.55
2,2021-10-11,1.008,1.014,1.022,1.005,287835,29125801.0,1.68,0.4,0.004,130.7
3,2021-10-12,1.01,0.991,1.019,0.983,193196,19526675.0,3.55,-2.27,-0.023,87.72
4,2021-10-13,0.991,1.028,1.028,0.989,150911,15254363.0,3.94,3.73,0.037,68.52
5,2021-10-14,1.018,1.035,1.039,1.018,117834,12182358.0,2.04,0.68,0.007,53.51
6,2021-10-15,1.032,1.062,1.073,1.026,137181,14486703.0,4.54,2.61,0.027,62.29
7,2021-10-18,1.072,1.083,1.099,1.064,50657,5437840.0,3.3,1.98,0.021,23.0
8,2021-10-19,1.083,1.089,1.099,1.074,52253,5694261.0,2.31,0.55,0.006,23.73
9,2021-10-20,1.158,1.096,1.158,1.09,18386,2017762.0,6.24,0.64,0.007,8.35
10,2021-10-21,1.096,1.085,1.097,1.079,48863,5296432.0,1.64,-1.0,-0.011,22.19
11,2021-10-22,1.084,1.093,1.103,1.084,97126,10630084.0,1.75,0.74,0.008,44.1
12,2021-10-25,1.103,1.122,1.124,1.1,36333,4052843.0,2.2,2.65,0.029,16.5
13,2021-10-26,1.207,1.124,1.207,1.122,79614,9102025.0,7.58,0.18,0.002,36.15
14,2021-10-27,1.12,1.14,1.14,1.117,72305,8180151.0,2.05,1.42,0.016,32.83
15,2021-10-28,1.14,1.128,1.151,1.124,21261,2415019.0,2.37,-1.05,-0.012,9.65
16,2021-10-29,1.151,1.149,1.151,1.112,24333,2760275.0,3.46,1.86,0.021,11.05
17,2021-11-01,1.149,1.146,1.159,1.134,102913,11857833.0,2.18,-0.26,-0.003,46.73
18,2021-11-02,1.144,1.162,1.175,1.144,66727,7777430.0,2.71,1.4,0.016,30.3
19,2021-11-03,1.155,1.14,1.157,1.127,44707,5123737.0,2.58,-1.89,-0.022,20.3
20,2021-11-04,1.143,1.169,1.172,1.143,17551,2042081.0,2.54,2.54,0.029,7.97
21,2021-11-05,1.158,1.159,1.183,1.158,20070,2344874.0,2.14,-0.86,-0.01,9.11
22,2021-11-08,1.173,1.185,1.189,1.155,36194,4262360.0,2.93,2.24,0.026,16.43
23,2021-11-09,1.183,1.184,1.186,1.174,15641,1846570.0,1.01,-0.08,-0.001,7.1
24,2021-11-10,1.182,1.161,1.182,1.143,18326,2131193.0,3.29,-1.94,-0.023,8.32
25,2021-11-11,1.163,1.167,1.172,1.16,14275,1662939.0,1.03,0.52,0.006,6.48
26,2021-11-12,1.161,1.165,1.171,1.156,25288,2940285.0,1.29,-0.17,-0.002,11.48
27,2021-11-15,1.167,1.136,1.167,1.13,20818,2375592.0,3.18,-2.49,-0.029,9.45
28,2021-11-16,1.129,1.125,1.136,1.124,12530,1414200.0,1.06,-0.97,-0.011,5.69
29,2021-11-17,1.163,1.137,1.163,1.131,16076,1826793.0,2.84,1.07,0.012,7.3
30,2021-11-18,1.136,1.127,1.139,1.12,13555,1532535.0,1.67,-0.88,-0.01,6.15
31,2021-11-19,1.14,1.143,1.143,1.131,13063,1482069.0,1.06,1.42,0.016,5.93
32,2021-11-22,1.143,1.198,1.199,1.143,66210,7802298.0,4.9,4.81,0.055,30.06
33,2021-11-23,1.284,1.192,1.288,1.182,30704,3651758.0,8.85,-0.5,-0.006,13.94
34,2021-11-24,1.201,1.176,1.201,1.173,17717,2091512.0,2.35,-1.34,-0.016,8.04
35,2021-11-25,1.178,1.175,1.18,1.169,15363,1805850.0,0.94,-0.09,-0.001,6.98
36,2021-11-26,1.187,1.182,1.193,1.175,28929,3416788.0,1.53,0.6,0.007,13.14
37,2021-11-29,1.182,1.199,1.199,1.171,17250,2049381.0,2.37,1.44,0.017,7.83
38,2021-11-30,1.205,1.191,1.205,1.185,20375,2427964.0,1.67,-0.67,-0.008,9.25
39,2021-12-01,1.196,1.182,1.196,1.177,47589,5633548.0,1.6,-0.76,-0.009,21.61
40,2021-12-02,1.193,1.2,1.203,1.19,29134,3488361.0,1.1,1.52,0.018,13.23
41,2021-12-03,1.194,1.199,1.205,1.191,36346,4366637.0,1.17,-0.08,-0.001,16.5
42,2021-12-06,1.192,1.173,1.198,1.171,39405,4653229.0,2.25,-2.17,-0.026,17.89
43,2021-12-07,1.174,1.143,1.176,1.132,45333,5217352.0,3.75,-2.56,-0.03,20.58
