,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-02-16,1.0,1.002,1.003,0.998,3426383,342921792.0,0.0,0.0,0.0,266.48
1,2022-02-17,1.0,1.0,1.005,0.996,1157442,115910050.0,0.9,-0.2,-0.002,90.02
2,2022-02-18,1.0,1.011,1.012,0.997,1607031,161952272.0,1.5,1.1,0.011,124.98
3,2022-02-21,1.012,1.012,1.014,1.007,868862,87777941.0,0.69,0.1,0.001,67.57
4,2022-02-22,1.007,1.0,1.008,0.994,911817,91072932.0,1.38,-1.19,-0.012,70.91
5,2022-02-23,0.999,1.015,1.015,0.999,1003435,101291773.0,1.6,1.5,0.015,78.04
6,2022-02-24,1.011,0.998,1.017,0.989,994078,100315869.0,2.76,-1.67,-0.017,77.31
7,2022-02-25,1.007,1.005,1.017,1.002,751007,75856840.0,1.5,0.7,0.007,58.41
8,2022-02-28,1.006,1.012,1.013,1.001,689172,69359070.0,1.19,0.7,0.007,53.6
9,2022-03-01,1.012,1.016,1.019,1.011,791450,80291796.0,0.79,0.4,0.004,61.55
10,2022-03-02,1.009,1.02,1.021,1.009,645060,65623214.0,1.18,0.39,0.004,50.17
11,2022-03-03,1.023,1.022,1.025,1.019,697158,71275128.0,0.59,0.2,0.002,54.22
12,2022-03-04,1.022,1.014,1.023,1.01,637857,64846795.0,1.27,-0.78,-0.008,49.61
13,2022-03-07,1.014,0.997,1.014,0.99,605024,60758423.0,2.37,-1.68,-0.017,47.05
14,2022-03-08,0.997,0.955,0.997,0.952,748252,72891410.0,4.51,-4.21,-0.042,58.19
15,2022-03-09,0.955,0.94,0.962,0.901,703314,66703833.0,6.39,-1.57,-0.015,54.7
16,2022-03-10,0.948,0.958,0.967,0.948,801993,76803421.0,2.02,1.91,0.018,62.37
17,2022-03-11,0.953,0.969,0.969,0.933,798033,75610619.0,3.76,1.15,0.011,62.06
18,2022-03-14,0.96,0.941,0.966,0.94,730804,70128962.0,2.68,-2.89,-0.028,56.84
19,2022-03-15,0.941,0.886,0.941,0.885,766121,70034993.0,5.95,-5.84,-0.055,59.58
20,2022-03-16,0.891,0.917,0.921,0.869,873710,77625786.0,5.87,3.5,0.031,67.95
