,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-01,1.032,1.03,1.04,1.018,1232066,127450351.0,0.0,0.0,0.0,14.75
1,2021-09-02,1.03,1.058,1.06,1.03,438033,45905041.0,2.91,2.72,0.028,5.24
2,2021-09-03,1.06,1.054,1.069,1.046,223756,23655468.0,2.17,-0.38,-0.004,2.68
3,2021-09-06,1.06,1.068,1.069,1.051,230403,24508783.0,1.71,1.33,0.014,2.76
4,2021-09-07,1.066,1.095,1.095,1.066,195877,21293435.0,2.72,2.53,0.027,2.34
5,2021-09-08,1.089,1.098,1.101,1.089,212867,23339018.0,1.1,0.27,0.003,2.55
6,2021-09-09,1.095,1.122,1.123,1.095,212429,23584124.0,2.55,2.19,0.024,2.54
7,2021-09-10,1.122,1.11,1.13,1.108,232876,26043406.0,1.96,-1.07,-0.012,2.79
8,2021-09-13,1.115,1.12,1.123,1.108,202536,22580944.0,1.35,0.9,0.01,2.42
9,2021-09-14,1.121,1.104,1.125,1.103,212381,23673262.0,1.96,-1.43,-0.016,2.54
10,2021-09-15,1.096,1.111,1.118,1.096,189501,20970261.0,1.99,0.63,0.007,2.27
11,2021-09-16,1.114,1.094,1.128,1.094,201818,22457563.0,3.06,-1.53,-0.017,2.42
12,2021-09-17,1.1,1.094,1.109,1.072,197134,21511042.0,3.38,0.0,0.0,2.36
13,2021-09-22,1.08,1.105,1.106,1.075,126655,13821624.0,2.83,1.01,0.011,1.52
14,2021-09-23,1.113,1.109,1.121,1.102,125167,13910857.0,1.72,0.36,0.004,1.5
15,2021-09-24,1.112,1.082,1.112,1.08,138151,15069799.0,2.89,-2.43,-0.027,1.65
16,2021-09-27,1.089,1.047,1.089,1.046,153380,16255780.0,3.97,-3.23,-0.035,1.84
17,2021-09-28,1.039,1.061,1.066,1.039,86237,9133368.0,2.58,1.34,0.014,1.03
18,2021-09-29,1.052,1.028,1.054,1.026,123958,12829283.0,2.64,-3.11,-0.033,1.48
19,2021-09-30,1.029,1.038,1.041,1.028,60555,6272334.0,1.26,0.97,0.01,0.72
20,2021-10-08,1.044,1.034,1.051,1.029,60130,6232881.0,2.12,-0.39,-0.004,0.72
21,2021-10-11,1.038,1.027,1.038,1.025,69732,7171080.0,1.26,-0.68,-0.007,0.83
22,2021-10-12,1.018,1.007,1.029,0.998,87305,8803712.0,3.02,-1.95,-0.02,1.05
23,2021-10-13,1.005,1.006,1.006,0.99,84928,8488072.0,1.59,-0.1,-0.001,1.02
24,2021-10-14,1.011,1.009,1.012,0.998,73808,7441737.0,1.39,0.3,0.003,0.88
25,2021-10-15,1.009,1.008,1.011,1.001,60368,6084733.0,0.99,-0.1,-0.001,0.72
26,2021-10-18,1.008,1.019,1.02,1.005,50005,5064690.0,1.49,1.09,0.011,0.6
27,2021-10-19,1.015,1.027,1.029,1.015,48017,4922469.0,1.37,0.79,0.008,0.57
28,2021-10-20,1.02,1.02,1.026,1.012,74164,7571293.0,1.36,-0.68,-0.007,0.89
29,2021-10-21,1.025,1.028,1.036,1.023,110437,11355727.0,1.27,0.78,0.008,1.32
30,2021-10-22,1.026,1.021,1.035,1.02,85279,8765260.0,1.46,-0.68,-0.007,1.02
31,2021-10-25,1.02,1.026,1.027,1.017,55575,5697802.0,0.98,0.49,0.005,0.67
