,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-07-19,0.996,0.981,0.997,0.977,3340822,329868800.0,0.0,0.0,0.0,37.55
1,2022-07-20,0.984,0.984,0.992,0.98,1030949,101483670.0,1.22,0.31,0.003,11.59
2,2022-07-21,0.981,0.973,0.984,0.968,1045379,101898804.0,1.63,-1.12,-0.011,11.75
3,2022-07-22,0.973,0.972,0.98,0.961,1521702,148000049.0,1.95,-0.1,-0.001,17.11
4,2022-07-25,0.97,0.956,0.97,0.952,957017,91778258.0,1.85,-1.65,-0.016,10.76
5,2022-07-26,0.952,0.967,0.973,0.952,810263,78269365.0,2.2,1.15,0.011,9.11
6,2022-07-27,0.967,0.972,0.975,0.959,958129,92815691.0,1.65,0.52,0.005,10.77
7,2022-07-28,0.976,0.97,0.981,0.966,1079217,105130396.0,1.54,-0.21,-0.002,12.13
8,2022-07-29,0.97,0.962,0.979,0.96,1090878,105597363.0,1.96,-0.82,-0.008,12.26
9,2022-08-01,0.961,0.974,0.975,0.951,773929,74586187.0,2.49,1.25,0.012,8.7
10,2022-08-02,0.97,0.951,0.97,0.943,682029,65077237.0,2.77,-2.36,-0.023,7.67
11,2022-08-03,0.95,0.929,0.964,0.927,628592,59510262.0,3.89,-2.31,-0.022,7.07
12,2022-08-04,0.93,0.93,0.94,0.92,898683,83481574.0,2.15,0.11,0.001,10.1
13,2022-08-05,0.93,0.941,0.942,0.925,688500,64142651.0,1.83,1.18,0.011,7.74
14,2022-08-08,0.94,0.944,0.946,0.933,539474,50775718.0,1.38,0.32,0.003,6.06
15,2022-08-09,0.943,0.954,0.961,0.941,579485,55321589.0,2.12,1.06,0.01,6.51
16,2022-08-10,0.954,0.946,0.957,0.942,600863,56932002.0,1.57,-0.84,-0.008,6.75
17,2022-08-11,0.946,0.957,0.958,0.939,676450,64101257.0,2.01,1.16,0.011,7.6
18,2022-08-12,0.957,0.955,0.96,0.953,578619,55368596.0,0.73,-0.21,-0.002,6.5
