,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-06-27,1.026,1.03,1.034,1.013,4001602,410710848.0,0.0,0.0,0.0,2008.92
1,2022-06-28,1.031,1.039,1.041,1.019,652458,67056472.0,2.14,0.87,0.009,327.55
2,2022-06-29,1.038,1.022,1.047,1.02,379418,39352357.0,2.6,-1.64,-0.017,190.48
3,2022-06-30,1.021,1.041,1.048,1.021,184777,19250535.0,2.64,1.86,0.019,92.76
4,2022-07-01,1.041,1.035,1.047,1.03,210506,21868356.0,1.63,-0.58,-0.006,105.68
5,2022-07-04,1.032,1.062,1.062,1.031,222974,23454728.0,3.0,2.61,0.027,111.94
6,2022-07-05,1.06,1.053,1.063,1.04,106991,11240357.0,2.17,-0.85,-0.009,53.71
7,2022-07-06,1.05,1.03,1.052,1.023,108530,11228127.0,2.75,-2.18,-0.023,54.49
8,2022-07-07,1.033,1.03,1.037,1.02,100813,10406054.0,1.65,0.0,0.0,50.61
9,2022-07-08,1.032,1.023,1.039,1.022,118891,12244412.0,1.65,-0.68,-0.007,59.69
10,2022-07-11,1.02,1.002,1.02,0.996,97725,9789884.0,2.35,-2.05,-0.021,49.06
11,2022-07-12,1.006,0.994,1.012,0.992,44258,4424304.0,2.0,-0.8,-0.008,22.22
12,2022-07-13,0.99,0.999,1.002,0.988,129035,12882709.0,1.41,0.5,0.005,64.78
13,2022-07-14,0.999,1.006,1.015,0.997,94001,9479343.0,1.8,0.7,0.007,47.19
14,2022-07-15,1.003,0.989,1.013,0.988,99933,10022957.0,2.49,-1.69,-0.017,50.17
15,2022-07-18,0.995,1.001,1.002,0.982,98178,9804705.0,2.02,1.21,0.012,49.29
16,2022-07-19,0.998,0.996,0.999,0.988,52716,5239384.0,1.1,-0.5,-0.005,26.46
17,2022-07-20,0.996,0.999,1.006,0.995,75839,7585615.0,1.1,0.3,0.003,38.07
18,2022-07-21,1.004,0.992,1.004,0.992,88307,8792203.0,1.2,-0.7,-0.007,44.33
19,2022-07-22,0.996,0.989,0.998,0.982,75482,7453365.0,1.61,-0.3,-0.003,37.89
20,2022-07-25,0.989,0.98,0.989,0.976,72355,7087854.0,1.31,-0.91,-0.009,36.32
21,2022-07-26,0.986,0.984,0.989,0.977,74611,7340545.0,1.22,0.41,0.004,37.46
22,2022-07-27,0.981,0.984,0.988,0.979,52997,5214672.0,0.91,0.0,0.0,26.61
23,2022-07-28,0.989,0.985,0.995,0.982,55921,5539019.0,1.32,0.1,0.001,28.07
24,2022-07-29,0.985,0.968,0.985,0.966,93151,9065762.0,1.93,-1.73,-0.017,46.76
25,2022-08-01,0.968,0.972,0.972,0.959,31817,3075558.0,1.34,0.41,0.004,15.97
26,2022-08-02,0.955,0.95,0.959,0.94,95490,9078713.0,1.95,-2.26,-0.022,47.94
27,2022-08-03,0.96,0.948,0.967,0.948,60773,5814421.0,2.0,-0.21,-0.002,30.51
28,2022-08-04,0.953,0.957,0.96,0.95,60218,5766559.0,1.05,0.95,0.009,30.23
29,2022-08-05,0.96,0.983,0.985,0.959,108832,10579459.0,2.72,2.72,0.026,54.64
30,2022-08-08,0.986,0.986,0.986,0.981,80781,7953392.0,0.51,0.31,0.003,40.55
31,2022-08-09,0.986,0.987,0.987,0.98,83990,8280534.0,0.71,0.1,0.001,42.17
32,2022-08-10,0.988,0.983,0.99,0.978,95357,9368359.0,1.22,-0.41,-0.004,47.87
33,2022-08-11,0.983,1.003,1.003,0.983,35718,3547596.0,2.03,2.03,0.02,17.93
34,2022-08-12,1.003,1.001,1.006,0.998,53119,5318595.0,0.8,-0.2,-0.002,26.67
35,2022-08-15,1.0,0.999,1.004,0.995,67484,6733954.0,0.9,-0.2,-0.002,33.88
36,2022-08-16,0.999,0.994,1.001,0.994,59771,5962282.0,0.7,-0.5,-0.005,30.01
37,2022-08-17,0.994,1.001,1.003,0.99,58367,5837121.0,1.31,0.7,0.007,29.3
38,2022-08-18,0.999,0.993,0.999,0.992,64804,6438702.0,0.7,-0.8,-0.008,32.53
39,2022-08-19,0.995,0.985,0.995,0.985,6530,647852.0,1.01,-0.81,-0.008,3.28
40,2022-08-22,0.985,0.994,0.996,0.981,8004,792860.0,1.52,0.91,0.009,4.02
41,2022-08-23,0.99,0.987,0.993,0.986,6583,650689.0,0.7,-0.7,-0.007,3.3
42,2022-08-24,0.99,0.969,0.992,0.967,55284,5389531.0,2.53,-1.82,-0.018,27.75
43,2022-08-25,0.973,0.971,0.973,0.958,34860,3365196.0,1.55,0.21,0.002,17.5
44,2022-08-26,0.973,0.965,0.975,0.963,34706,3365029.0,1.24,-0.62,-0.006,17.42
45,2022-08-29,0.953,0.965,0.966,0.953,63076,6072128.0,1.35,0.0,0.0,31.67
46,2022-08-30,0.967,0.962,0.967,0.955,35709,3430480.0,1.24,-0.31,-0.003,17.93
47,2022-08-31,0.949,0.961,0.972,0.949,30724,2953794.0,2.39,-0.1,-0.001,15.42
48,2022-09-01,0.959,0.957,0.964,0.954,127891,12283826.0,1.04,-0.42,-0.004,64.2
49,2022-09-02,0.958,0.95,0.958,0.948,3558,339660.0,1.04,-0.73,-0.007,1.79
50,2022-09-05,0.952,0.95,0.952,0.944,27245,2579209.0,0.84,0.0,0.0,13.68
51,2022-09-06,0.955,0.968,0.968,0.954,26170,2509216.0,1.47,1.89,0.018,13.14
52,2022-09-07,0.965,0.964,0.972,0.963,37453,3627954.0,0.93,-0.41,-0.004,18.8
53,2022-09-08,0.969,0.967,0.973,0.966,33672,3261456.0,0.73,0.31,0.003,16.9
54,2022-09-09,0.967,0.979,0.98,0.967,28548,2783306.0,1.34,1.24,0.012,14.33
55,2022-09-13,0.982,0.984,0.988,0.981,50140,4944307.0,0.72,0.51,0.005,25.17
56,2022-09-14,0.976,0.978,0.981,0.971,60878,5944980.0,1.02,-0.61,-0.006,30.56
57,2022-09-15,0.981,0.964,0.983,0.959,32872,3190548.0,2.45,-1.43,-0.014,16.5
58,2022-09-16,0.963,0.938,0.963,0.938,29243,2773298.0,2.59,-2.7,-0.026,14.68
59,2022-09-19,0.933,0.928,0.941,0.925,30459,2837501.0,1.71,-1.07,-0.01,15.29
60,2022-09-20,0.933,0.927,0.933,0.924,10163,942940.0,0.97,-0.11,-0.001,5.1
61,2022-09-21,0.925,0.914,0.925,0.912,29310,2680302.0,1.4,-1.4,-0.013,14.71
62,2022-09-22,0.914,0.905,0.914,0.904,3987,361842.0,1.09,-0.98,-0.009,2.0
63,2022-09-23,0.905,0.897,0.906,0.89,15285,1371656.0,1.77,-0.88,-0.008,7.67
64,2022-09-26,0.893,0.892,0.902,0.89,8035,719902.0,1.34,-0.56,-0.005,4.03
65,2022-09-27,0.895,0.914,0.914,0.895,13467,1213399.0,2.13,2.47,0.022,6.76
66,2022-09-28,0.913,0.905,0.914,0.901,47303,4286048.0,1.42,-0.98,-0.009,23.75
67,2022-09-29,0.911,0.912,0.92,0.908,27119,2477173.0,1.33,0.77,0.007,13.61
