,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-25,0.993,0.975,0.993,0.971,246802,24171910.0,0.0,0.0,0.0,35.78
1,2021-08-26,0.975,0.948,0.977,0.948,99135,9508968.0,2.97,-2.77,-0.027,14.37
2,2021-08-27,0.948,0.95,0.958,0.938,151358,14258001.0,2.11,0.21,0.002,21.95
3,2021-08-30,0.95,0.941,0.96,0.935,60993,5759027.0,2.63,-0.95,-0.009,8.84
4,2021-08-31,0.941,0.923,0.941,0.917,72672,6689886.0,2.55,-1.91,-0.018,10.54
5,2021-09-01,0.911,0.923,0.926,0.908,38058,3481681.0,1.95,0.0,0.0,5.52
6,2021-09-02,0.923,0.92,0.925,0.915,17365,1595422.0,1.08,-0.33,-0.003,2.52
7,2021-09-03,0.935,0.933,0.935,0.919,41852,3891848.0,1.74,1.41,0.013,6.07
8,2021-09-06,0.932,0.946,0.948,0.922,49741,4687358.0,2.79,1.39,0.013,7.21
9,2021-09-07,0.948,0.953,0.955,0.944,26237,2494523.0,1.16,0.74,0.007,3.8
10,2021-09-08,0.954,0.952,0.959,0.948,18410,1753473.0,1.15,-0.1,-0.001,2.67
11,2021-09-09,0.952,0.939,0.953,0.936,34865,3276509.0,1.79,-1.37,-0.013,5.06
12,2021-09-10,0.939,0.94,0.944,0.93,27862,2611146.0,1.49,0.11,0.001,4.04
13,2021-09-13,0.933,0.93,0.935,0.926,22664,2108673.0,0.96,-1.06,-0.01,3.29
14,2021-09-14,0.93,0.926,0.946,0.925,27468,2572495.0,2.26,-0.43,-0.004,3.98
15,2021-09-15,0.922,0.923,0.927,0.919,13771,1270506.0,0.86,-0.32,-0.003,2.0
16,2021-09-16,0.919,0.914,0.938,0.911,25363,2325578.0,2.93,-0.98,-0.009,3.68
17,2021-09-17,0.914,0.912,0.914,0.898,31836,2883429.0,1.75,-0.22,-0.002,4.62
18,2021-09-22,0.911,0.908,0.911,0.9,19708,1789115.0,1.21,-0.44,-0.004,2.86
19,2021-09-23,0.913,0.924,0.928,0.913,29940,2766817.0,1.65,1.76,0.016,4.34
20,2021-09-24,0.925,0.93,0.94,0.921,21336,1996497.0,2.06,0.65,0.006,3.09
21,2021-09-27,0.93,0.933,0.949,0.93,30493,2874428.0,2.04,0.32,0.003,4.42
22,2021-09-28,0.933,0.928,0.933,0.922,17284,1601024.0,1.18,-0.54,-0.005,2.51
23,2021-09-29,0.922,0.908,0.922,0.903,17688,1609311.0,2.05,-2.16,-0.02,2.56
24,2021-09-30,0.916,0.932,0.934,0.916,17547,1626790.0,1.98,2.64,0.024,2.54
25,2021-10-08,0.929,0.948,0.95,0.929,13203,1248300.0,2.25,1.72,0.016,1.91
26,2021-10-11,0.947,0.939,0.947,0.939,39954,3762392.0,0.84,-0.95,-0.009,5.79
27,2021-10-12,0.939,0.926,0.939,0.92,6375,590922.0,2.02,-1.38,-0.013,0.92
28,2021-10-13,0.926,0.933,0.935,0.923,8051,746839.0,1.3,0.76,0.007,1.17
29,2021-10-14,0.933,0.934,0.936,0.929,6077,566441.0,0.75,0.11,0.001,0.88
30,2021-10-15,0.939,0.947,0.954,0.936,33529,3182244.0,1.93,1.39,0.013,4.86
31,2021-10-18,0.947,0.935,0.947,0.931,9653,902761.0,1.69,-1.27,-0.012,1.4
32,2021-10-19,0.942,0.94,0.947,0.937,7058,665708.0,1.07,0.53,0.005,1.02
33,2021-10-20,0.93,0.943,0.959,0.93,21305,2023866.0,3.09,0.32,0.003,3.09
34,2021-10-21,0.943,0.936,0.945,0.936,6564,617290.0,0.95,-0.74,-0.007,0.95
35,2021-10-22,0.936,0.936,0.95,0.936,16176,1518788.0,1.5,0.0,0.0,2.35
36,2021-10-25,0.936,0.931,0.936,0.922,22041,2043188.0,1.5,-0.53,-0.005,3.2
37,2021-10-26,0.927,0.927,0.934,0.926,25304,2353426.0,0.86,-0.43,-0.004,3.67
38,2021-10-27,0.923,0.918,0.928,0.913,20413,1877388.0,1.62,-0.97,-0.009,2.96
39,2021-10-28,0.912,0.912,0.924,0.91,7902,722894.0,1.53,-0.65,-0.006,1.15
40,2021-10-29,0.92,0.933,0.936,0.92,40399,3754963.0,1.75,2.3,0.021,5.86
41,2021-11-01,0.932,0.938,0.945,0.931,14715,1378665.0,1.5,0.54,0.005,2.13
42,2021-11-02,0.949,0.931,0.949,0.926,13226,1240589.0,2.45,-0.75,-0.007,1.92
43,2021-11-03,0.937,0.94,0.942,0.935,6115,574134.0,0.75,0.97,0.009,0.89
44,2021-11-04,0.941,0.94,0.942,0.936,12896,1212131.0,0.64,0.0,0.0,1.87
45,2021-11-05,0.945,0.947,0.955,0.944,30531,2901503.0,1.17,0.74,0.007,4.43
46,2021-11-08,0.943,0.941,0.944,0.937,6082,572559.0,0.74,-0.63,-0.006,0.88
47,2021-11-09,0.942,0.953,0.954,0.939,13351,1266169.0,1.59,1.28,0.012,1.94
48,2021-11-10,0.95,0.947,0.952,0.941,14596,1381715.0,1.15,-0.63,-0.006,2.12
49,2021-11-11,0.935,0.949,0.953,0.935,10592,1004674.0,1.9,0.21,0.002,1.54
50,2021-11-12,0.938,0.955,0.957,0.938,16312,1557014.0,2.0,0.63,0.006,2.37
51,2021-11-15,0.946,0.955,0.963,0.946,6856,656648.0,1.78,0.0,0.0,0.99
52,2021-11-16,0.958,0.95,0.963,0.949,28086,2688141.0,1.47,-0.52,-0.005,4.07
53,2021-11-17,0.947,0.955,0.956,0.947,12520,1191718.0,0.95,0.53,0.005,1.82
54,2021-11-18,0.943,0.936,0.945,0.936,12558,1181965.0,0.94,-1.99,-0.019,1.82
55,2021-11-19,0.937,0.941,0.942,0.936,36337,3412023.0,0.64,0.53,0.005,5.27
56,2021-11-22,0.94,0.952,0.955,0.94,25547,2428507.0,1.59,1.17,0.011,3.7
57,2021-11-23,0.952,0.95,0.956,0.94,10642,1007840.0,1.68,-0.21,-0.002,1.54
58,2021-11-24,0.948,0.952,0.953,0.943,10693,1013243.0,1.05,0.21,0.002,1.55
59,2021-11-25,0.946,0.946,0.95,0.942,8237,779170.0,0.84,-0.63,-0.006,1.19
60,2021-11-26,0.942,0.939,0.946,0.932,14995,1406882.0,1.48,-0.74,-0.007,2.17
61,2021-11-29,0.939,0.935,0.939,0.93,11995,1119116.0,0.96,-0.43,-0.004,1.74
62,2021-11-30,0.935,0.948,0.952,0.935,27013,2557710.0,1.82,1.39,0.013,3.92
63,2021-12-01,0.954,0.962,0.963,0.951,32962,3161961.0,1.27,1.48,0.014,4.78
64,2021-12-02,0.957,0.942,0.958,0.94,18960,1794915.0,1.87,-2.08,-0.02,2.75
65,2021-12-03,0.944,0.941,0.947,0.94,7948,748642.0,0.74,-0.11,-0.001,1.15
66,2021-12-06,0.94,0.928,0.94,0.927,17867,1665904.0,1.38,-1.38,-0.013,2.59
67,2021-12-07,0.928,0.925,0.931,0.918,19375,1789816.0,1.4,-0.32,-0.003,2.81
68,2021-12-08,0.93,0.951,0.951,0.93,33102,3130878.0,2.27,2.81,0.026,4.8
69,2021-12-09,0.951,0.966,1.008,0.951,109539,10624890.0,5.99,1.58,0.015,15.88
70,2021-12-10,0.966,0.955,0.966,0.951,21579,2063411.0,1.55,-1.14,-0.011,3.13
71,2021-12-13,0.957,0.961,0.966,0.957,16610,1598119.0,0.94,0.63,0.006,2.41
72,2021-12-14,0.959,0.972,0.973,0.959,17610,1707904.0,1.46,1.14,0.011,2.55
73,2021-12-15,0.951,0.966,0.978,0.951,18632,1814677.0,2.78,-0.62,-0.006,2.7
74,2021-12-16,0.968,0.967,0.968,0.96,15841,1530457.0,0.83,0.1,0.001,2.3
75,2021-12-17,0.966,0.955,0.967,0.954,6901,661665.0,1.34,-1.24,-0.012,1.0
76,2021-12-20,0.953,0.94,0.955,0.936,10543,993949.0,1.99,-1.57,-0.015,1.53
77,2021-12-21,0.95,0.957,0.957,0.945,9910,940105.0,1.28,1.81,0.017,1.44
78,2021-12-22,0.945,0.96,0.965,0.945,8084,775768.0,2.09,0.31,0.003,1.17
79,2021-12-23,0.96,0.964,0.968,0.96,14021,1351763.0,0.83,0.42,0.004,2.03
