,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-07,0.952,0.94,0.957,0.938,269996,25634440.0,0.0,0.0,0.0,1.23
1,2022-01-10,0.944,0.936,0.944,0.92,52083,4852492.0,2.55,-0.43,-0.004,0.24
2,2022-01-11,0.936,0.92,0.936,0.92,66704,6179440.0,1.71,-1.71,-0.016,0.3
3,2022-01-12,0.921,0.929,0.933,0.918,107971,9962301.0,1.63,0.98,0.009,0.49
4,2022-01-13,0.95,0.917,0.98,0.917,520419,48297796.0,6.78,-1.29,-0.012,2.36
5,2022-01-14,0.911,0.923,0.928,0.902,267039,24547934.0,2.84,0.65,0.006,1.21
6,2022-01-17,0.933,0.949,0.96,0.929,1293161,121870733.0,3.36,2.82,0.026,5.87
7,2022-01-18,0.96,0.96,0.979,0.942,1250929,120016734.0,3.9,1.16,0.011,5.68
8,2022-01-19,0.957,0.951,0.963,0.943,835500,79563746.0,2.08,-0.94,-0.009,3.79
9,2022-01-20,0.95,0.947,0.957,0.942,562913,53368622.0,1.58,-0.42,-0.004,2.55
10,2022-01-21,0.949,0.933,0.949,0.93,525597,49223132.0,2.01,-1.48,-0.014,2.38
11,2022-01-24,0.933,0.939,0.941,0.928,559713,52314084.0,1.39,0.64,0.006,2.54
12,2022-01-25,0.931,0.914,0.938,0.913,588279,54464713.0,2.66,-2.66,-0.025,2.67
13,2022-01-26,0.92,0.923,0.925,0.91,359939,33057267.0,1.64,0.98,0.009,1.63
14,2022-01-27,0.921,0.892,0.921,0.89,637201,57505365.0,3.36,-3.36,-0.031,2.89
15,2022-01-28,0.892,0.879,0.897,0.875,509137,45114411.0,2.47,-1.46,-0.013,2.31
16,2022-02-07,0.892,0.875,0.898,0.872,606459,53560515.0,2.96,-0.46,-0.004,2.75
17,2022-02-08,0.874,0.859,0.877,0.844,556923,47707218.0,3.77,-1.83,-0.016,2.53
18,2022-02-09,0.861,0.868,0.868,0.852,561584,48349470.0,1.86,1.05,0.009,2.55
19,2022-02-10,0.87,0.863,0.872,0.857,377445,32552997.0,1.73,-0.58,-0.005,1.71
