,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-07-31,1.01,1.015,1.019,1.007,7155165,725164964.0,0.0,0.0,0.0,1244.74
1,2023-08-01,1.014,1.018,1.02,1.009,1876227,190835644.0,1.08,0.3,0.003,326.4
2,2023-08-02,1.016,1.017,1.021,1.013,951712,96845857.0,0.79,-0.1,-0.001,165.56
3,2023-08-03,1.017,1.021,1.021,1.011,273483,27806214.0,0.98,0.39,0.004,47.58
4,2023-08-04,1.021,1.025,1.031,1.02,254886,26154335.0,1.08,0.39,0.004,44.34
5,2023-08-07,1.015,1.018,1.023,1.013,151758,15435538.0,0.98,-0.68,-0.007,26.4
6,2023-08-08,1.011,1.015,1.017,1.009,163315,16553393.0,0.79,-0.29,-0.003,28.41
7,2023-08-09,1.008,1.007,1.012,1.004,101667,10252499.0,0.79,-0.79,-0.008,17.69
8,2023-08-10,1.004,1.009,1.01,1.002,235212,23689726.0,0.79,0.2,0.002,40.92
9,2023-08-11,1.005,0.993,1.006,0.99,87409,8734118.0,1.59,-1.59,-0.016,15.21
10,2023-08-14,0.986,0.994,0.994,0.977,83932,8268493.0,1.71,0.1,0.001,14.6
11,2023-08-15,0.997,0.991,0.997,0.979,56317,5558042.0,1.81,-0.3,-0.003,9.8
12,2023-08-16,0.982,0.983,0.99,0.98,71559,7029595.0,1.01,-0.81,-0.008,12.45
13,2023-08-17,0.985,0.988,0.99,0.972,73040,7188014.0,1.83,0.51,0.005,12.71
14,2023-08-18,0.988,0.975,0.988,0.972,79015,7785235.0,1.62,-1.32,-0.013,13.75
15,2023-08-21,0.972,0.967,0.981,0.966,60231,5880718.0,1.54,-0.82,-0.008,10.48
16,2023-08-22,0.963,0.973,0.975,0.956,35886,3464497.0,1.96,0.62,0.006,6.24
17,2023-08-23,0.973,0.957,0.973,0.954,27821,2672409.0,1.95,-1.64,-0.016,4.84
18,2023-08-24,0.964,0.96,0.967,0.954,51652,4958370.0,1.36,0.31,0.003,8.99
19,2023-08-25,0.951,0.946,0.96,0.941,83948,7948982.0,1.98,-1.46,-0.014,14.6
20,2023-08-28,0.994,0.963,0.998,0.956,73798,7172092.0,4.44,1.8,0.017,12.84
21,2023-08-29,0.953,0.976,0.983,0.953,97178,9434214.0,3.12,1.35,0.013,16.91
22,2023-08-30,0.976,0.982,0.987,0.976,62679,6144947.0,1.13,0.61,0.006,10.9
23,2023-08-31,0.885,0.975,0.996,0.884,42220,4120093.0,11.41,-0.71,-0.007,7.34
24,2023-09-01,0.948,0.978,0.981,0.948,87836,8568216.0,3.38,0.31,0.003,15.28
25,2023-09-04,0.972,0.99,0.992,0.972,93752,9242085.0,2.04,1.23,0.012,16.31
26,2023-09-05,0.983,0.985,0.99,0.982,113985,11250004.0,0.81,-0.51,-0.005,19.83
27,2023-09-06,0.982,0.986,0.989,0.981,40018,3939019.0,0.81,0.1,0.001,6.96
28,2023-09-07,0.99,0.974,0.996,0.973,44335,4340174.0,2.33,-1.22,-0.012,7.71
29,2023-09-08,0.972,0.976,0.979,0.972,41988,4098848.0,0.72,0.21,0.002,7.3
30,2023-09-11,0.986,0.987,0.993,0.98,50465,4977818.0,1.33,1.13,0.011,8.78
31,2023-09-12,0.987,0.987,0.989,0.985,19855,1958841.0,0.41,0.0,0.0,3.45
32,2023-09-13,0.987,0.977,0.987,0.972,27191,2663117.0,1.52,-1.01,-0.01,4.73
33,2023-09-14,0.976,0.977,0.978,0.972,31492,3072115.0,0.61,0.0,0.0,5.48
34,2023-09-15,0.973,0.978,0.982,0.972,18809,1837778.0,1.02,0.1,0.001,3.27
35,2023-09-18,0.972,0.98,0.982,0.972,49941,4891706.0,1.02,0.2,0.002,8.69
36,2023-09-19,0.976,0.976,0.978,0.973,29962,2924637.0,0.51,-0.41,-0.004,5.21
37,2023-09-20,0.973,0.97,0.975,0.97,27169,2643840.0,0.51,-0.61,-0.006,4.73
38,2023-09-21,0.97,0.965,0.973,0.963,68968,6689111.0,1.03,-0.52,-0.005,12.0
39,2023-09-22,0.963,0.981,0.981,0.963,11690,1132012.0,1.87,1.66,0.016,2.03
40,2023-09-25,0.98,0.975,0.98,0.971,20471,1996649.0,0.92,-0.61,-0.006,3.56
41,2023-09-26,0.973,0.97,0.974,0.97,22771,2212763.0,0.41,-0.51,-0.005,3.96
42,2023-09-27,0.972,0.973,0.978,0.972,54117,5276442.0,0.62,0.31,0.003,9.41
43,2023-09-28,0.976,0.974,0.977,0.973,63632,6204722.0,0.41,0.1,0.001,11.07
44,2023-10-09,0.97,0.972,0.975,0.966,36136,3504753.0,0.92,-0.21,-0.002,6.29
45,2023-10-10,0.973,0.966,0.973,0.965,21680,2097185.0,0.82,-0.62,-0.006,3.77
46,2023-10-11,0.968,0.962,0.972,0.961,46324,4481500.0,1.14,-0.41,-0.004,8.06
47,2023-10-12,0.969,0.97,0.97,0.965,47310,4577145.0,0.52,0.83,0.008,8.23
48,2023-10-13,0.964,0.962,0.964,0.962,15748,1515318.0,0.21,-0.82,-0.008,2.74
49,2023-10-16,0.962,0.957,0.962,0.956,27407,2628381.0,0.62,-0.52,-0.005,4.77
50,2023-10-17,0.957,0.96,0.961,0.957,15556,1491803.0,0.42,0.31,0.003,2.71
51,2023-10-18,0.96,0.95,0.96,0.946,6347,604302.0,1.46,-1.04,-0.01,1.1
52,2023-10-19,0.947,0.941,0.95,0.94,14829,1400603.0,1.05,-0.95,-0.009,2.58
53,2023-10-20,0.932,0.931,0.941,0.931,15168,1422469.0,1.06,-1.06,-0.01,2.64
54,2023-10-23,0.925,0.907,0.925,0.9,21587,1968592.0,2.69,-2.58,-0.024,3.76
55,2023-10-24,0.905,0.919,0.922,0.905,33535,3062761.0,1.87,1.32,0.012,5.83
56,2023-10-25,0.931,0.928,0.934,0.928,66376,6176848.0,0.65,0.98,0.009,11.55
57,2023-10-26,0.904,0.935,0.937,0.904,90066,8332481.0,3.56,0.75,0.007,15.67
58,2023-10-27,0.935,0.947,0.95,0.935,86913,8205519.0,1.6,1.28,0.012,15.12
59,2023-10-30,0.948,0.951,0.956,0.944,65003,6167530.0,1.27,0.42,0.004,11.31
60,2023-10-31,0.949,0.947,0.949,0.943,22502,2130220.0,0.63,-0.42,-0.004,3.91
61,2023-11-01,0.945,0.947,0.948,0.944,103910,9831474.0,0.42,0.0,0.0,18.08
62,2023-11-02,0.948,0.941,0.95,0.941,52458,4966686.0,0.95,-0.63,-0.006,9.13
63,2023-11-03,0.944,0.949,0.956,0.944,18963,1800716.0,1.28,0.85,0.008,3.3
64,2023-11-06,0.996,0.959,0.996,0.956,71958,6899034.0,4.21,1.05,0.01,12.52
65,2023-11-07,0.958,0.961,0.965,0.956,25735,2472501.0,0.94,0.21,0.002,4.48
66,2023-11-08,0.961,0.961,0.964,0.956,9916,954183.0,0.83,0.0,0.0,1.73
67,2023-11-09,0.961,0.957,0.966,0.957,27654,2656855.0,0.94,-0.42,-0.004,4.81
68,2023-11-10,0.955,0.956,0.956,0.953,6240,596514.0,0.31,-0.1,-0.001,1.09
69,2023-11-13,0.957,0.963,0.963,0.956,6643,636476.0,0.73,0.73,0.007,1.16
70,2023-11-14,0.962,0.965,0.968,0.962,24164,2333737.0,0.62,0.21,0.002,4.2
71,2023-11-15,0.975,0.971,0.975,0.969,19188,1861654.0,0.62,0.62,0.006,3.34
72,2023-11-16,0.968,0.964,0.968,0.964,39537,3821103.0,0.41,-0.72,-0.007,6.88
73,2023-11-17,0.964,0.968,0.968,0.964,13246,1279894.0,0.41,0.41,0.004,2.3
74,2023-11-20,0.97,0.974,0.977,0.965,50887,4930557.0,1.24,0.62,0.006,8.85
75,2023-11-21,0.978,0.971,0.981,0.971,5414,527652.0,1.03,-0.31,-0.003,0.94
76,2023-11-22,0.961,0.965,0.976,0.961,24276,2362725.0,1.54,-0.62,-0.006,4.22
77,2023-11-23,0.963,0.976,0.976,0.96,29026,2815381.0,1.66,1.14,0.011,5.05
78,2023-11-24,0.97,0.966,0.97,0.963,43518,4207715.0,0.72,-1.02,-0.01,7.57
79,2023-11-27,0.966,0.966,0.968,0.961,22949,2211341.0,0.72,0.0,0.0,3.99
80,2023-11-28,0.959,0.97,0.97,0.959,25982,2511495.0,1.14,0.41,0.004,4.52
81,2023-11-29,0.97,0.966,0.97,0.965,4960,480445.0,0.52,-0.41,-0.004,0.86
82,2023-11-30,0.965,0.962,0.966,0.957,24595,2370869.0,0.93,-0.41,-0.004,4.28
