,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-11-29,0.98,0.981,0.994,0.975,457576,44922812.0,0.0,0.0,0.0,9.9
1,2022-11-30,0.981,0.979,0.992,0.972,310357,30557350.0,2.04,-0.2,-0.002,6.72
2,2022-12-01,0.986,0.995,1.004,0.986,760981,76034297.0,1.84,1.63,0.016,16.47
3,2022-12-02,0.996,1.006,1.019,0.994,605590,61276918.0,2.51,1.11,0.011,13.11
4,2022-12-05,1.008,0.98,1.008,0.968,99285,9708123.0,3.98,-2.58,-0.026,2.15
5,2022-12-06,0.976,0.971,0.984,0.956,63280,6134085.0,2.86,-0.92,-0.009,1.37
6,2022-12-07,0.97,0.977,0.987,0.965,47562,4656026.0,2.27,0.62,0.006,1.03
7,2022-12-08,0.968,0.988,1.0,0.968,52613,5208661.0,3.28,1.13,0.011,1.14
8,2022-12-09,0.987,0.974,0.987,0.967,36010,3497841.0,2.02,-1.42,-0.014,0.78
9,2022-12-12,0.97,0.961,0.97,0.954,50578,4856141.0,1.64,-1.33,-0.013,1.09
10,2022-12-13,0.961,0.935,0.961,0.932,128756,12088737.0,3.02,-2.71,-0.026,2.79
11,2022-12-14,0.943,0.928,0.943,0.923,47589,4424079.0,2.14,-0.75,-0.007,1.03
12,2022-12-15,0.932,0.937,0.941,0.922,47639,4448837.0,2.05,0.97,0.009,1.03
13,2022-12-16,0.934,0.918,0.934,0.913,49147,4512469.0,2.24,-2.03,-0.019,1.06
14,2022-12-19,0.918,0.912,0.933,0.911,33062,3045607.0,2.4,-0.65,-0.006,0.72
15,2022-12-20,0.911,0.918,0.92,0.905,38651,3526003.0,1.64,0.66,0.006,0.84
16,2022-12-21,0.918,0.894,0.918,0.89,31017,2798433.0,3.05,-2.61,-0.024,0.67
17,2022-12-22,0.896,0.866,0.905,0.862,68994,6053091.0,4.81,-3.13,-0.028,1.49
18,2022-12-23,0.864,0.851,0.867,0.843,91695,7829322.0,2.77,-1.73,-0.015,1.98
19,2022-12-26,0.85,0.904,0.906,0.85,157482,13836781.0,6.58,6.23,0.053,3.41
20,2022-12-27,0.906,0.926,0.929,0.903,73368,6729739.0,2.88,2.43,0.022,1.59
21,2022-12-28,0.925,0.93,0.938,0.915,81467,7561745.0,2.48,0.43,0.004,1.76
22,2022-12-29,0.93,0.925,0.936,0.922,55278,5129361.0,1.51,-0.54,-0.005,1.2
23,2022-12-30,0.924,0.932,0.941,0.924,31222,2917581.0,1.84,0.76,0.007,0.68
24,2023-01-03,0.93,0.941,0.944,0.912,49343,4582172.0,3.43,0.97,0.009,1.07
25,2023-01-04,0.938,0.918,0.938,0.912,40028,3689140.0,2.76,-2.44,-0.023,0.87
26,2023-01-05,0.927,0.931,0.939,0.917,52040,4842831.0,2.4,1.42,0.013,1.13
27,2023-01-06,0.936,0.976,0.99,0.936,191187,18714531.0,5.8,4.83,0.045,4.14
28,2023-01-09,0.976,0.976,0.992,0.967,64733,6340906.0,2.56,0.0,0.0,1.4
29,2023-01-10,0.976,0.98,0.993,0.976,52588,5181000.0,1.74,0.41,0.004,1.14
30,2023-01-11,0.98,0.969,0.985,0.969,28384,2761264.0,1.63,-1.12,-0.011,0.61
31,2023-01-12,0.97,0.972,0.984,0.97,73101,7136798.0,1.44,0.31,0.003,1.58
32,2023-01-13,0.973,0.97,0.981,0.962,62071,5997762.0,1.95,-0.21,-0.002,1.34
33,2023-01-16,0.976,0.981,0.996,0.964,51400,5041113.0,3.3,1.13,0.011,1.11
34,2023-01-17,0.981,0.984,0.991,0.974,55685,5482617.0,1.73,0.31,0.003,1.21
35,2023-01-18,0.987,0.988,0.996,0.983,106705,10570105.0,1.32,0.41,0.004,2.31
36,2023-01-19,0.982,0.987,0.987,0.978,56587,5566875.0,0.91,-0.1,-0.001,1.22
37,2023-01-20,0.987,1.01,1.011,0.987,199273,20025342.0,2.43,2.33,0.023,4.31
38,2023-01-30,1.012,1.016,1.034,1.012,207084,21200292.0,2.18,0.59,0.006,4.48
39,2023-01-31,1.016,1.026,1.032,1.014,260615,26693371.0,1.77,0.98,0.01,5.64
40,2023-02-01,1.022,1.021,1.03,1.004,86419,8768791.0,2.53,-0.49,-0.005,1.87
41,2023-02-02,1.021,1.012,1.022,1.008,75073,7626084.0,1.37,-0.88,-0.009,1.62
42,2023-02-03,1.012,0.995,1.016,0.981,95784,9486038.0,3.46,-1.68,-0.017,2.07
43,2023-02-06,0.993,0.99,0.994,0.983,56504,5577819.0,1.11,-0.5,-0.005,1.22
44,2023-02-07,0.99,0.987,0.998,0.981,85052,8385747.0,1.72,-0.3,-0.003,1.84
45,2023-02-08,0.99,0.983,0.994,0.981,78054,7692023.0,1.32,-0.41,-0.004,1.69
46,2023-02-09,0.983,0.994,0.998,0.974,78583,7771819.0,2.44,1.12,0.011,1.7
47,2023-02-10,0.985,0.98,0.988,0.975,88564,8684965.0,1.31,-1.41,-0.014,1.92
48,2023-02-13,0.976,0.98,0.986,0.976,89721,8778429.0,1.02,0.0,0.0,1.94
49,2023-02-14,0.98,0.981,0.985,0.972,80288,7838430.0,1.33,0.1,0.001,1.74
50,2023-02-15,0.982,0.975,0.99,0.971,91123,8891579.0,1.94,-0.61,-0.006,1.97
51,2023-02-16,0.971,0.958,0.98,0.95,113217,10969565.0,3.08,-1.74,-0.017,2.45
52,2023-02-17,0.957,0.935,0.959,0.934,138010,13046285.0,2.61,-2.4,-0.023,2.99
