,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-11,1.006,1.03,1.031,0.999,1940586,195997874.0,0.0,0.0,0.0,321.52
1,2023-12-12,1.025,1.026,1.028,1.018,546034,55908977.0,0.97,-0.39,-0.004,90.47
2,2023-12-13,1.026,1.015,1.031,1.013,409898,41922277.0,1.75,-1.07,-0.011,67.91
3,2023-12-14,1.015,1.008,1.028,1.004,158106,16082981.0,2.36,-0.69,-0.007,26.2
4,2023-12-15,1.009,0.998,1.01,0.993,142100,14239585.0,1.69,-0.99,-0.01,23.54
5,2023-12-18,0.99,0.981,1.004,0.977,79367,7865119.0,2.71,-1.7,-0.017,13.15
6,2023-12-19,0.976,0.989,0.992,0.976,109269,10779174.0,1.63,0.82,0.008,18.1
7,2023-12-20,0.982,0.963,0.985,0.955,40713,3964617.0,3.03,-2.63,-0.026,6.75
8,2023-12-21,0.957,0.964,0.968,0.945,156325,14937086.0,2.39,0.1,0.001,25.9
9,2023-12-22,0.959,0.935,0.96,0.933,104387,9894844.0,2.8,-3.01,-0.029,17.3
10,2023-12-25,0.933,0.939,0.946,0.93,14349,1337993.0,1.71,0.43,0.004,2.38
11,2023-12-26,0.931,0.919,0.931,0.911,32910,3027383.0,2.13,-2.13,-0.02,5.45
12,2023-12-27,0.927,0.925,0.928,0.92,50052,4629004.0,0.87,0.65,0.006,8.29
13,2023-12-28,0.915,0.949,0.954,0.915,42968,4037943.0,4.22,2.59,0.024,7.12
14,2023-12-29,0.955,0.957,0.961,0.949,16792,1603686.0,1.26,0.84,0.008,2.78
15,2024-01-02,0.959,0.939,0.959,0.938,24152,2283587.0,2.19,-1.88,-0.018,4.0
16,2024-01-03,0.936,0.919,0.938,0.912,51381,4742174.0,2.77,-2.13,-0.02,8.51
17,2024-01-04,0.91,0.91,0.915,0.908,17067,1554846.0,0.76,-0.98,-0.009,2.83
18,2024-01-05,0.907,0.893,0.911,0.89,10644,963070.0,2.31,-1.87,-0.017,1.76
19,2024-01-08,0.89,0.873,0.891,0.872,15866,1400388.0,2.13,-2.24,-0.02,2.63
20,2024-01-09,0.879,0.862,0.88,0.856,18323,1593887.0,2.75,-1.26,-0.011,3.04
21,2024-01-10,0.862,0.847,0.862,0.84,43090,3658689.0,2.55,-1.74,-0.015,7.14
22,2024-01-11,0.851,0.872,0.877,0.851,60939,5316259.0,3.07,2.95,0.025,10.1
23,2024-01-12,0.875,0.855,0.875,0.854,44668,3834424.0,2.41,-1.95,-0.017,7.4
24,2024-01-15,0.851,0.848,0.855,0.844,10304,872571.0,1.29,-0.82,-0.007,1.71
25,2024-01-16,0.83,0.84,0.845,0.827,16546,1380290.0,2.12,-0.94,-0.008,2.74
26,2024-01-17,0.841,0.823,0.842,0.823,13919,1161259.0,2.26,-2.02,-0.017,2.31
27,2024-01-18,0.818,0.831,0.831,0.804,45126,3673515.0,3.28,0.97,0.008,7.48
28,2024-01-19,0.822,0.817,0.827,0.814,11662,960139.0,1.56,-1.68,-0.014,1.93
29,2024-01-22,0.812,0.786,0.812,0.768,80649,6298701.0,5.39,-3.79,-0.031,13.36
30,2024-01-23,0.774,0.796,0.802,0.773,87804,6865835.0,3.69,1.27,0.01,14.55
31,2024-01-24,0.799,0.806,0.806,0.778,58362,4621015.0,3.52,1.26,0.01,9.67
32,2024-01-25,0.798,0.827,0.829,0.796,22095,1783308.0,4.09,2.61,0.021,3.66
33,2024-01-26,0.829,0.816,0.831,0.816,33822,2798073.0,1.81,-1.33,-0.011,5.6
