,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-03-16,1.002,1.001,1.006,0.993,8621327,863164280.0,0.0,0.0,0.0,420.49
1,2023-03-17,1.004,1.003,1.01,1.0,3600098,362136410.0,1.0,0.2,0.002,175.59
2,2023-03-20,1.005,0.992,1.007,0.987,1110643,110979456.0,1.99,-1.1,-0.011,54.17
3,2023-03-21,0.994,0.989,0.994,0.988,467509,46308863.0,0.6,-0.3,-0.003,22.8
4,2023-03-22,0.994,0.99,0.995,0.985,619670,61320944.0,1.01,0.1,0.001,30.22
5,2023-03-23,0.99,0.989,0.99,0.98,303033,29848310.0,1.01,-0.1,-0.001,14.78
6,2023-03-24,0.987,0.985,0.988,0.982,269083,26487922.0,0.61,-0.4,-0.004,13.12
7,2023-03-27,0.985,0.971,0.985,0.969,225320,21889153.0,1.62,-1.42,-0.014,10.99
8,2023-03-28,0.971,0.966,0.974,0.966,188635,18272911.0,0.82,-0.51,-0.005,9.2
9,2023-03-29,0.966,0.967,0.975,0.963,301458,29129749.0,1.24,0.1,0.001,14.7
10,2023-03-30,0.963,0.973,0.974,0.963,146879,14239622.0,1.14,0.62,0.006,7.16
11,2023-03-31,0.973,0.972,0.977,0.972,160250,15617968.0,0.51,-0.1,-0.001,7.82
12,2023-04-03,0.973,0.97,0.973,0.965,154910,15010975.0,0.82,-0.21,-0.002,7.56
13,2023-04-04,0.971,0.971,0.972,0.965,181560,17581590.0,0.72,0.1,0.001,8.86
14,2023-04-06,0.97,0.967,0.97,0.964,145409,14036824.0,0.62,-0.41,-0.004,7.09
15,2023-04-07,0.966,0.971,0.971,0.966,113597,11008211.0,0.52,0.41,0.004,5.54
16,2023-04-10,0.972,0.992,0.994,0.971,313909,31005223.0,2.37,2.16,0.021,15.31
17,2023-04-11,0.993,0.989,0.993,0.984,127456,12573359.0,0.91,-0.3,-0.003,6.22
18,2023-04-12,0.988,0.986,0.992,0.984,116439,11494085.0,0.81,-0.3,-0.003,5.68
19,2023-04-13,0.99,0.993,0.999,0.986,322569,32053849.0,1.32,0.71,0.007,15.73
20,2023-04-14,0.989,1.006,1.009,0.989,795310,79862584.0,2.01,1.31,0.013,38.79
21,2023-04-17,1.005,1.016,1.019,1.005,841805,85374014.0,1.39,0.99,0.01,41.06
22,2023-04-18,1.015,1.008,1.018,1.003,292352,29431792.0,1.48,-0.79,-0.008,14.26
23,2023-04-19,1.004,1.004,1.014,1.003,181124,18281878.0,1.09,-0.4,-0.004,8.83
24,2023-04-20,1.005,1.001,1.005,0.994,164623,16430514.0,1.1,-0.3,-0.003,8.03
25,2023-04-21,1.009,0.991,1.009,0.99,186541,18657781.0,1.9,-1.0,-0.01,9.1
26,2023-04-24,0.983,0.992,1.0,0.983,166367,16524703.0,1.72,0.1,0.001,8.11
27,2023-04-25,0.992,0.994,1.004,0.982,175793,17536171.0,2.22,0.2,0.002,8.57
28,2023-04-26,0.994,1.01,1.013,0.994,377855,38150758.0,1.91,1.61,0.016,18.43
29,2023-04-27,1.014,1.016,1.018,0.998,338839,34289336.0,1.98,0.59,0.006,16.53
30,2023-04-28,1.015,1.015,1.016,1.006,212375,21484032.0,0.98,-0.1,-0.001,10.36
31,2023-05-04,1.015,1.039,1.044,1.015,795240,82267142.0,2.86,2.36,0.024,38.79
32,2023-05-05,1.039,1.036,1.043,1.029,233802,24182424.0,1.35,-0.29,-0.003,11.4
33,2023-05-08,1.036,1.045,1.06,1.036,350321,36796051.0,2.32,0.87,0.009,17.09
34,2023-05-09,1.045,1.036,1.052,1.036,359206,37505148.0,1.53,-0.86,-0.009,17.52
