,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-09-22,0.979,1.0,1.0,0.978,1628012,160725825.0,0.0,0.0,0.0,527.76
1,2023-09-25,0.998,0.995,1.002,0.99,535636,53286326.0,1.2,-0.5,-0.005,173.64
2,2023-09-26,0.994,0.995,0.997,0.989,306115,30441088.0,0.8,0.0,0.0,99.23
3,2023-09-27,0.995,1.002,1.005,0.992,406702,40730451.0,1.31,0.7,0.007,131.84
4,2023-09-28,1.003,1.007,1.008,1.001,174735,17554311.0,0.7,0.5,0.005,56.64
5,2023-10-09,1.003,1.005,1.007,0.998,227169,22791542.0,0.89,-0.2,-0.002,73.64
6,2023-10-10,1.008,1.0,1.008,0.996,157806,15761786.0,1.19,-0.5,-0.005,51.16
7,2023-10-11,1.0,1.003,1.011,1.0,256582,25833453.0,1.1,0.3,0.003,83.18
8,2023-10-12,1.006,1.01,1.011,1.002,187392,18864527.0,0.9,0.7,0.007,60.75
9,2023-10-13,1.004,1.007,1.007,1.003,63544,6384379.0,0.4,-0.3,-0.003,20.6
10,2023-10-16,0.997,0.992,0.998,0.987,107276,10645462.0,1.09,-1.49,-0.015,34.78
11,2023-10-17,0.987,0.988,0.989,0.984,96838,9551674.0,0.5,-0.4,-0.004,31.39
12,2023-10-18,0.979,0.97,0.979,0.97,110692,10802683.0,0.91,-1.82,-0.018,35.88
13,2023-10-19,0.968,0.961,0.972,0.961,92651,8966626.0,1.13,-0.93,-0.009,30.03
14,2023-10-20,0.962,0.95,0.964,0.95,127882,12263324.0,1.46,-1.14,-0.011,41.46
15,2023-10-23,0.944,0.921,0.944,0.917,121562,11376035.0,2.84,-3.05,-0.029,39.41
16,2023-10-24,0.93,0.937,0.942,0.923,65990,6178252.0,2.06,1.74,0.016,21.39
17,2023-10-25,0.937,0.947,0.957,0.937,90576,8621453.0,2.13,1.07,0.01,29.36
18,2023-10-26,0.945,0.956,0.956,0.94,76110,7186048.0,1.69,0.95,0.009,24.67
19,2023-10-27,0.95,0.972,0.977,0.949,69243,6627571.0,2.93,1.67,0.016,22.45
20,2023-10-30,0.972,0.985,0.988,0.972,81673,8028563.0,1.65,1.34,0.013,26.48
21,2023-10-31,0.982,0.979,0.983,0.974,44200,4316120.0,0.91,-0.61,-0.006,14.33
22,2023-11-01,0.978,0.975,0.98,0.972,28751,2803985.0,0.82,-0.41,-0.004,9.32
23,2023-11-02,0.975,0.966,0.976,0.965,45884,4452872.0,1.13,-0.92,-0.009,14.87
24,2023-11-03,0.972,0.979,0.985,0.972,28745,2819464.0,1.35,1.35,0.013,9.32
25,2023-11-06,0.996,0.998,1.002,0.992,98644,9838159.0,1.02,1.94,0.019,31.98
26,2023-11-07,0.996,1.001,1.006,0.993,70790,7074873.0,1.3,0.3,0.003,22.95
27,2023-11-08,1.001,1.006,1.007,0.999,99494,9975129.0,0.8,0.5,0.005,32.25
28,2023-11-09,1.007,1.0,1.009,0.996,42583,4259484.0,1.29,-0.6,-0.006,13.8
29,2023-11-10,0.993,0.999,0.999,0.992,27426,2729522.0,0.7,-0.1,-0.001,8.89
30,2023-11-13,0.998,1.006,1.006,0.998,94870,9506761.0,0.8,0.7,0.007,30.75
31,2023-11-14,1.006,1.01,1.012,1.004,80270,8081288.0,0.8,0.4,0.004,26.02
32,2023-11-15,1.01,1.018,1.02,1.01,101251,10303205.0,0.99,0.79,0.008,32.82
33,2023-11-16,1.016,1.007,1.016,1.007,52620,5325872.0,0.88,-1.08,-0.011,17.06
34,2023-11-17,1.011,1.02,1.02,1.009,83178,8430768.0,1.09,1.29,0.013,26.96
35,2023-11-20,1.018,1.027,1.027,1.014,94231,9611765.0,1.27,0.69,0.007,30.55
36,2023-11-21,1.024,1.016,1.029,1.016,95529,9803324.0,1.27,-1.07,-0.011,30.97
37,2023-11-22,1.02,1.009,1.024,1.009,83744,8508234.0,1.48,-0.69,-0.007,27.15
38,2023-11-23,1.009,1.023,1.023,1.005,125649,12769669.0,1.78,1.39,0.014,40.73
39,2023-11-24,1.02,1.011,1.02,1.008,65810,6674261.0,1.17,-1.17,-0.012,21.33
40,2023-11-27,1.012,1.017,1.017,1.005,54182,5476128.0,1.19,0.59,0.006,17.56
41,2023-11-28,1.006,1.017,1.018,1.006,24725,2509903.0,1.18,0.0,0.0,8.02
42,2023-11-29,1.014,1.013,1.021,1.012,32932,3341163.0,0.88,-0.39,-0.004,10.68
43,2023-11-30,1.013,1.005,1.013,0.999,67633,6799449.0,1.38,-0.79,-0.008,21.92
44,2023-12-01,1.003,1.014,1.015,1.001,56796,5736276.0,1.39,0.9,0.009,18.41
45,2023-12-04,1.012,1.008,1.016,1.008,56617,5722577.0,0.79,-0.59,-0.006,18.35
46,2023-12-05,1.004,0.99,1.004,0.99,36251,3614515.0,1.39,-1.79,-0.018,11.75
47,2023-12-06,0.99,0.994,1.0,0.99,29578,2941251.0,1.01,0.4,0.004,9.59
48,2023-12-07,0.992,1.0,1.002,0.989,52360,5198458.0,1.31,0.6,0.006,16.97
49,2023-12-08,0.999,0.995,1.004,0.995,35691,3564855.0,0.9,-0.5,-0.005,11.57
50,2023-12-11,0.986,1.007,1.01,0.985,55481,5519667.0,2.51,1.21,0.012,17.99
51,2023-12-12,1.006,1.009,1.011,1.006,39204,3952982.0,0.5,0.2,0.002,12.71
52,2023-12-13,1.008,1.005,1.01,1.004,46438,4678494.0,0.59,-0.4,-0.004,15.05
