,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-10-31,0.997,1.0,1.001,0.994,1783285,177863759.0,0.0,0.0,0.0,301.5
1,2023-11-01,1.0,1.003,1.004,0.996,619446,62064355.0,0.8,0.3,0.003,104.73
2,2023-11-02,1.003,1.002,1.008,1.0,241567,24285062.0,0.8,-0.1,-0.001,40.84
3,2023-11-03,1.002,1.002,1.006,1.0,158668,15919288.0,0.6,0.0,0.0,26.83
4,2023-11-06,1.002,0.993,1.002,0.991,50711,5038364.0,1.1,-0.9,-0.009,8.57
5,2023-11-07,0.993,0.993,0.994,0.984,60494,5969935.0,1.01,0.0,0.0,10.23
6,2023-11-08,0.992,0.985,0.992,0.979,72060,7084722.0,1.31,-0.81,-0.008,12.18
7,2023-11-09,0.986,0.986,0.988,0.98,126889,12505951.0,0.81,0.1,0.001,21.45
8,2023-11-10,0.984,0.986,0.987,0.98,137983,13580987.0,0.71,0.0,0.0,23.33
9,2023-11-13,0.985,0.994,0.995,0.98,180917,17898833.0,1.52,0.81,0.008,30.59
10,2023-11-14,0.993,0.992,0.999,0.989,22956,2279177.0,1.01,-0.2,-0.002,3.88
11,2023-11-15,0.995,0.998,0.998,0.993,47057,4689243.0,0.5,0.6,0.006,7.96
12,2023-11-16,0.999,0.992,0.999,0.992,60729,6040795.0,0.7,-0.6,-0.006,10.27
13,2023-11-17,0.991,0.988,0.991,0.982,128596,12669636.0,0.91,-0.4,-0.004,21.74
14,2023-11-20,0.99,0.991,0.993,0.986,29818,2951287.0,0.71,0.3,0.003,5.04
15,2023-11-21,0.993,0.995,1.001,0.991,115720,11551665.0,1.01,0.4,0.004,19.56
16,2023-11-22,0.991,0.985,0.992,0.985,44560,4408487.0,0.7,-1.01,-0.01,7.53
17,2023-11-23,0.981,0.99,0.99,0.98,51823,5104807.0,1.02,0.51,0.005,8.76
18,2023-11-24,0.99,0.989,0.994,0.987,121457,12031327.0,0.71,-0.1,-0.001,20.53
19,2023-11-27,0.989,0.986,0.989,0.979,72228,7110307.0,1.01,-0.3,-0.003,12.21
20,2023-11-28,0.983,0.986,0.988,0.98,105211,10364191.0,0.81,0.0,0.0,17.79
21,2023-11-29,0.989,0.985,0.99,0.982,50336,4950192.0,0.81,-0.1,-0.001,8.51
22,2023-11-30,0.987,0.987,0.991,0.983,68043,6713988.0,0.81,0.2,0.002,11.5
23,2023-12-01,0.985,0.985,0.987,0.981,129515,12735834.0,0.61,-0.2,-0.002,21.9
24,2023-12-04,0.986,0.99,0.993,0.986,113432,11217269.0,0.71,0.51,0.005,19.18
25,2023-12-05,0.989,0.966,0.989,0.966,128279,12531070.0,2.32,-2.42,-0.024,21.69
