,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-10,0.993,0.995,0.999,0.99,2959807,294716368.0,0.0,0.0,0.0,34.02
1,2021-12-13,0.997,0.995,0.999,0.994,1987346,198014769.0,0.5,0.0,0.0,22.84
2,2021-12-14,0.993,0.993,0.996,0.991,1960707,194808168.0,0.5,-0.2,-0.002,22.54
3,2021-12-15,0.991,0.988,0.994,0.986,1972003,195591840.0,0.81,-0.5,-0.005,22.67
4,2021-12-16,0.99,0.995,0.996,0.988,1877279,186283626.0,0.81,0.71,0.007,21.58
5,2021-12-17,0.993,0.987,0.997,0.986,2179226,215529698.0,1.11,-0.8,-0.008,25.05
6,2021-12-20,0.987,0.973,0.989,0.97,1773380,173569506.0,1.93,-1.42,-0.014,20.38
7,2021-12-21,0.974,0.981,0.981,0.97,1648506,160770930.0,1.13,0.82,0.008,18.95
8,2021-12-22,0.983,0.984,0.986,0.979,2184536,214861287.0,0.71,0.31,0.003,25.11
9,2021-12-23,0.986,0.989,0.991,0.983,1766430,174532033.0,0.81,0.51,0.005,20.3
10,2021-12-24,0.991,0.984,0.991,0.978,1428893,140409914.0,1.31,-0.51,-0.005,16.42
11,2021-12-27,0.981,0.983,0.988,0.981,1816611,178801798.0,0.71,-0.1,-0.001,20.88
12,2021-12-28,0.983,0.984,0.987,0.979,1726823,169572991.0,0.81,0.1,0.001,19.85
13,2021-12-29,0.984,0.983,0.987,0.982,1688832,166211347.0,0.51,-0.1,-0.001,19.41
14,2021-12-30,0.983,0.99,0.991,0.983,1414810,139749417.0,0.81,0.71,0.007,16.26
15,2021-12-31,0.991,0.996,0.999,0.991,1889194,188139691.0,0.81,0.61,0.006,21.72
16,2022-01-04,0.996,0.998,1.002,0.992,2184790,217743144.0,1.0,0.2,0.002,25.11
17,2022-01-05,0.997,0.98,0.997,0.979,1880967,185382178.0,1.8,-1.8,-0.018,21.62
18,2022-01-06,0.981,0.984,0.985,0.974,1902399,186360038.0,1.12,0.41,0.004,21.87
19,2022-01-07,0.984,0.982,0.99,0.982,1887696,186263896.0,0.81,-0.2,-0.002,21.7
