,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-24,1.01,1.038,1.061,1.009,1883754,194508773.0,0.0,0.0,0.0,105.78
1,2021-08-25,1.04,1.045,1.053,1.013,240033,24952534.0,3.85,0.67,0.007,13.48
2,2021-08-26,1.043,1.058,1.069,1.036,273433,28765904.0,3.16,1.24,0.013,15.35
3,2021-08-27,1.06,1.101,1.12,1.04,297037,32007914.0,7.56,4.06,0.043,16.68
4,2021-08-30,1.129,1.134,1.15,1.08,386257,43280187.0,6.36,3.0,0.033,21.69
5,2021-08-31,1.13,1.197,1.198,1.111,348193,40137480.0,7.67,5.56,0.063,19.55
6,2021-09-01,1.2,1.109,1.227,1.095,898733,103664577.0,11.03,-7.35,-0.088,50.47
7,2021-09-02,1.09,1.129,1.147,1.078,409695,45661517.0,6.22,1.8,0.02,23.01
8,2021-09-03,1.115,1.069,1.131,1.05,395087,42626895.0,7.17,-5.31,-0.06,22.19
9,2021-09-06,1.065,1.074,1.082,1.019,339414,35646676.0,5.89,0.47,0.005,19.06
10,2021-09-07,1.07,1.106,1.115,1.05,339607,37095775.0,6.05,2.98,0.032,19.07
11,2021-09-08,1.092,1.105,1.13,1.092,190436,21154861.0,3.44,-0.09,-0.001,10.69
12,2021-09-09,1.104,1.134,1.135,1.098,268274,30122255.0,3.35,2.62,0.029,15.07
13,2021-09-10,1.134,1.171,1.177,1.125,358236,41458694.0,4.59,3.26,0.037,20.12
14,2021-09-13,1.172,1.177,1.196,1.141,203553,23844087.0,4.7,0.51,0.006,11.43
15,2021-09-14,1.153,1.151,1.181,1.123,221226,25559755.0,4.93,-2.21,-0.026,12.42
16,2021-09-15,1.15,1.162,1.175,1.136,159533,18489934.0,3.39,0.96,0.011,8.96
17,2021-09-16,1.175,1.102,1.18,1.092,289496,32501262.0,7.57,-5.16,-0.06,16.26
18,2021-09-17,1.102,1.061,1.102,1.023,262628,27802665.0,7.17,-3.72,-0.041,14.75
19,2021-09-22,1.046,1.059,1.074,1.035,112616,11943798.0,3.68,-0.19,-0.002,6.32
20,2021-09-23,1.066,1.06,1.082,1.052,105649,11252103.0,2.83,0.09,0.001,5.93
21,2021-09-24,1.07,1.035,1.09,1.033,215393,22745500.0,5.38,-2.36,-0.025,12.1
22,2021-09-27,1.029,0.964,1.03,0.947,323024,31459180.0,8.02,-6.86,-0.071,18.14
23,2021-09-28,0.963,0.95,0.963,0.936,145859,13809093.0,2.8,-1.45,-0.014,8.19
24,2021-09-29,0.938,0.902,0.947,0.895,193027,17608827.0,5.47,-5.05,-0.048,10.84
25,2021-09-30,0.91,0.945,0.947,0.909,195028,18225047.0,4.21,4.77,0.043,10.95
26,2021-10-08,0.959,0.931,0.965,0.925,106879,10023136.0,4.23,-1.48,-0.014,6.0
27,2021-10-11,0.946,0.931,0.946,0.905,123361,11409383.0,4.4,0.0,0.0,6.93
28,2021-10-12,0.935,0.902,0.935,0.888,166681,15087531.0,5.05,-3.11,-0.029,9.36
29,2021-10-13,0.9,0.927,0.932,0.9,154896,14207044.0,3.55,2.77,0.025,8.7
30,2021-10-14,0.924,0.934,0.942,0.919,100539,9373380.0,2.48,0.76,0.007,5.65
31,2021-10-15,0.936,0.941,0.948,0.918,110633,10348473.0,3.21,0.75,0.007,6.21
32,2021-10-18,0.945,0.969,0.972,0.938,155619,14902043.0,3.61,2.98,0.028,8.74
33,2021-10-19,0.97,0.972,0.978,0.951,98837,9539030.0,2.79,0.31,0.003,5.55
34,2021-10-20,0.96,0.979,0.998,0.95,132202,12986387.0,4.94,0.72,0.007,7.42
35,2021-10-21,0.98,0.999,1.013,0.98,193700,19270338.0,3.37,2.04,0.02,10.88
36,2021-10-22,0.999,0.974,1.008,0.972,97238,9604400.0,3.6,-2.5,-0.025,5.46
37,2021-10-25,0.961,0.999,1.002,0.96,103304,10187020.0,4.31,2.57,0.025,5.8
38,2021-10-26,1.01,1.012,1.027,1.001,141516,14361593.0,2.6,1.3,0.013,7.95
39,2021-10-27,1.012,1.005,1.017,0.995,101601,10211517.0,2.17,-0.69,-0.007,5.71
