,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-03-29,0.979,0.971,0.98,0.968,892831,86905637.0,0.0,0.0,0.0,257.36
1,2023-03-30,0.961,0.97,0.97,0.957,117454,11311134.0,1.34,-0.1,-0.001,33.86
2,2023-03-31,0.97,0.966,0.973,0.965,103373,10017404.0,0.82,-0.41,-0.004,29.8
3,2023-04-03,0.965,0.964,0.97,0.961,29136,2810369.0,0.93,-0.21,-0.002,8.4
4,2023-04-04,0.964,0.968,0.975,0.964,66955,6493696.0,1.14,0.41,0.004,19.3
5,2023-04-06,0.968,0.978,0.981,0.968,325485,31869617.0,1.34,1.03,0.01,93.82
6,2023-04-07,0.981,1.007,1.007,0.981,735597,73654365.0,2.66,2.97,0.029,212.04
7,2023-04-10,1.005,1.007,1.015,1.004,405698,40949848.0,1.09,0.0,0.0,116.94
8,2023-04-11,1.007,1.007,1.017,1.0,86848,8764506.0,1.69,0.0,0.0,25.03
9,2023-04-12,1.008,1.0,1.014,0.999,64786,6499391.0,1.49,-0.7,-0.007,18.67
10,2023-04-13,0.999,1.014,1.019,0.998,153403,15545344.0,2.1,1.4,0.014,44.22
11,2023-04-14,1.014,1.014,1.033,1.013,125897,12858407.0,1.97,0.0,0.0,36.29
12,2023-04-17,1.014,1.02,1.023,1.01,51320,5215499.0,1.28,0.59,0.006,14.79
13,2023-04-18,1.018,1.009,1.02,1.008,103209,10464604.0,1.18,-1.08,-0.011,29.75
14,2023-04-19,1.009,0.997,1.009,0.995,5614,562731.0,1.39,-1.19,-0.012,1.62
15,2023-04-20,0.995,0.98,0.999,0.977,7201,712162.0,2.21,-1.71,-0.017,2.08
16,2023-04-21,0.984,0.98,0.989,0.978,33807,3336613.0,1.12,0.0,0.0,9.74
17,2023-04-24,0.989,0.975,0.992,0.974,6365,626460.0,1.84,-0.51,-0.005,1.83
18,2023-04-25,0.973,0.951,0.975,0.941,14039,1333231.0,3.49,-2.46,-0.024,4.05
19,2023-04-26,0.951,0.959,0.961,0.951,8981,860045.0,1.05,0.84,0.008,2.59
20,2023-04-27,0.957,0.965,0.968,0.956,4994,478235.0,1.25,0.63,0.006,1.44
21,2023-04-28,0.965,0.966,0.966,0.956,8357,806425.0,1.04,0.1,0.001,2.41
22,2023-05-04,0.97,0.964,0.97,0.959,4009,386596.0,1.14,-0.21,-0.002,1.16
23,2023-05-05,0.959,0.942,0.959,0.942,4060,387068.0,1.76,-2.28,-0.022,1.17
24,2023-05-08,0.94,0.939,0.94,0.93,10693,1000245.0,1.06,-0.32,-0.003,3.08
25,2023-05-09,0.933,0.92,0.933,0.92,3327,307917.0,1.38,-2.02,-0.019,0.96
26,2023-05-10,0.921,0.92,0.924,0.916,3252,299450.0,0.87,0.0,0.0,0.94
27,2023-05-11,0.929,0.922,0.929,0.92,413,38193.0,0.98,0.22,0.002,0.12
28,2023-05-12,0.923,0.922,0.931,0.922,5813,537571.0,0.98,0.0,0.0,1.68
29,2023-05-15,0.916,0.925,0.925,0.911,9040,827340.0,1.52,0.33,0.003,2.61
30,2023-05-16,0.929,0.935,0.936,0.929,25518,2376046.0,0.76,1.08,0.01,7.36
31,2023-05-17,0.93,0.93,0.93,0.925,14430,1338973.0,0.53,-0.53,-0.005,4.16
32,2023-05-18,0.93,0.917,0.93,0.913,16832,1546169.0,1.83,-1.4,-0.013,4.85
33,2023-05-19,0.917,0.923,0.926,0.917,12752,1176222.0,0.98,0.65,0.006,3.68
34,2023-05-22,0.926,0.926,0.932,0.924,1077,99640.0,0.87,0.33,0.003,0.31
35,2023-05-23,0.935,0.941,0.95,0.935,31999,3022679.0,1.62,1.62,0.015,9.22
