,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-28,0.997,0.994,0.999,0.99,2531414,252053213.0,0.0,0.0,0.0,87.47
1,2023-12-29,0.993,1.001,1.004,0.991,1888441,188745262.0,1.31,0.7,0.007,65.25
2,2024-01-02,1.001,1.016,1.018,1.001,2083660,211230493.0,1.7,1.5,0.015,72.0
3,2024-01-03,1.015,1.026,1.028,1.015,1064623,108998155.0,1.28,0.98,0.01,36.79
4,2024-01-04,1.026,1.034,1.035,1.025,792196,81530188.0,0.97,0.78,0.008,27.37
5,2024-01-05,1.033,1.034,1.044,1.028,729620,75493051.0,1.55,0.0,0.0,25.21
6,2024-01-08,1.031,1.023,1.031,1.022,578506,59321601.0,0.87,-1.06,-0.011,19.99
7,2024-01-09,1.023,1.033,1.033,1.015,577343,59242851.0,1.76,0.98,0.01,19.95
8,2024-01-10,1.03,1.024,1.03,1.023,513741,52716639.0,0.68,-0.87,-0.009,17.75
9,2024-01-11,1.02,1.018,1.024,1.016,571532,58318132.0,0.78,-0.59,-0.006,19.75
10,2024-01-12,1.018,1.021,1.032,1.018,539494,55237980.0,1.38,0.29,0.003,18.64
11,2024-01-15,1.02,1.028,1.03,1.019,663769,68087314.0,1.08,0.69,0.007,22.94
12,2024-01-16,1.028,1.028,1.031,1.018,498174,51022453.0,1.26,0.0,0.0,17.21
13,2024-01-17,1.026,1.012,1.032,1.011,571897,58649537.0,2.04,-1.56,-0.016,19.76
14,2024-01-18,1.011,1.004,1.012,0.98,555832,55180971.0,3.16,-0.79,-0.008,19.21
15,2024-01-19,1.003,0.998,1.007,0.996,894783,89560195.0,1.1,-0.6,-0.006,30.92
16,2024-01-22,0.991,0.964,0.997,0.959,693175,68347510.0,3.81,-3.41,-0.034,23.95
17,2024-01-23,0.962,0.982,0.983,0.957,607875,58724257.0,2.7,1.87,0.018,21.0
18,2024-01-24,0.976,0.998,0.999,0.972,735148,72616497.0,2.75,1.63,0.016,25.4
19,2024-01-25,0.999,1.027,1.027,0.993,709816,72034834.0,3.41,2.91,0.029,24.53
20,2024-01-26,1.025,1.036,1.039,1.018,708079,73086629.0,2.04,0.88,0.009,24.47
