,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-07-06,1.003,1.0,1.01,0.997,7201613,723768341.0,0.0,0.0,0.0,140.21
1,2023-07-07,0.998,0.99,1.0,0.982,1016676,100670601.0,1.8,-1.0,-0.01,19.79
2,2023-07-10,0.99,0.998,1.002,0.99,749645,74746245.0,1.21,0.81,0.008,14.6
3,2023-07-11,0.996,1.008,1.01,0.996,1743351,175446880.0,1.4,1.0,0.01,33.94
4,2023-07-12,1.007,0.991,1.007,0.99,657985,65679957.0,1.69,-1.69,-0.017,12.81
5,2023-07-13,0.991,1.001,1.003,0.991,574949,57425371.0,1.21,1.01,0.01,11.19
6,2023-07-14,1.0,1.001,1.006,1.0,598057,60015004.0,0.6,0.0,0.0,11.64
7,2023-07-17,1.0,1.0,1.004,0.996,314335,31418555.0,0.8,-0.1,-0.001,6.12
8,2023-07-18,0.999,0.998,1.004,0.995,446328,44653143.0,0.9,-0.2,-0.002,8.69
9,2023-07-19,0.998,0.992,1.0,0.988,627800,62198714.0,1.2,-0.6,-0.006,12.22
10,2023-07-20,0.993,0.973,0.993,0.973,493321,48428670.0,2.02,-1.92,-0.019,9.6
11,2023-07-21,0.973,0.97,0.977,0.966,503140,48765035.0,1.13,-0.31,-0.003,9.8
12,2023-07-24,0.969,0.974,0.981,0.969,396818,38697169.0,1.24,0.41,0.004,7.73
13,2023-07-25,0.983,0.984,0.986,0.978,474562,46621632.0,0.82,1.03,0.01,9.24
14,2023-07-26,0.981,0.976,0.981,0.975,254129,24845056.0,0.61,-0.81,-0.008,4.95
15,2023-07-27,0.978,0.969,0.98,0.968,528055,51476567.0,1.23,-0.72,-0.007,10.28
16,2023-07-28,0.969,0.97,0.972,0.962,398629,38609379.0,1.03,0.1,0.001,7.76
17,2023-07-31,0.97,0.972,0.976,0.967,430722,41869692.0,0.93,0.21,0.002,8.39
18,2023-08-01,0.971,0.976,0.978,0.971,708512,69022582.0,0.72,0.41,0.004,13.79
19,2023-08-02,0.973,0.972,0.975,0.969,344188,33422139.0,0.61,-0.41,-0.004,6.7
20,2023-08-03,0.968,0.971,0.973,0.966,437661,42425091.0,0.72,-0.1,-0.001,8.52
21,2023-08-04,0.971,0.978,0.98,0.971,180946,17680644.0,0.93,0.72,0.007,3.52
22,2023-08-07,0.978,0.978,0.984,0.975,273157,26721740.0,0.92,0.0,0.0,5.32
23,2023-08-08,0.978,0.973,0.978,0.971,366488,35676664.0,0.72,-0.51,-0.005,7.14
24,2023-08-09,0.968,0.963,0.972,0.962,467731,45160226.0,1.03,-1.03,-0.01,9.11
25,2023-08-10,0.966,0.965,0.969,0.961,349698,33727223.0,0.83,0.21,0.002,6.81
26,2023-08-11,0.965,0.951,0.965,0.95,367952,35302794.0,1.55,-1.45,-0.014,7.16
27,2023-08-14,0.948,0.958,0.958,0.942,372606,35301768.0,1.68,0.74,0.007,7.25
28,2023-08-15,0.959,0.948,0.959,0.942,291953,27708788.0,1.77,-1.04,-0.01,5.68
29,2023-08-16,0.947,0.927,0.948,0.927,480659,44886241.0,2.22,-2.22,-0.021,9.36
30,2023-08-17,0.926,0.95,0.951,0.92,531487,50092290.0,3.34,2.48,0.023,10.35
31,2023-08-18,0.949,0.943,0.958,0.942,351450,33452066.0,1.68,-0.74,-0.007,6.84
32,2023-08-21,0.943,0.934,0.948,0.933,298600,28106026.0,1.59,-0.95,-0.009,5.81
33,2023-08-22,0.934,0.95,0.951,0.932,438856,41211868.0,2.03,1.71,0.016,8.54
34,2023-08-23,0.951,0.926,0.951,0.926,400219,37516313.0,2.63,-2.53,-0.024,7.79
35,2023-08-24,0.922,0.927,0.934,0.919,361852,33532835.0,1.62,0.11,0.001,7.05
36,2023-08-25,0.92,0.908,0.927,0.904,347057,31843002.0,2.48,-2.05,-0.019,6.76
