,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-03-22,0.992,0.991,0.998,0.986,1489319,147465661.0,0.0,0.0,0.0,283.31
1,2022-03-23,0.981,1.0,1.004,0.981,421658,42072443.0,2.32,0.91,0.009,80.21
2,2022-03-24,0.992,0.984,0.995,0.98,41682,4106482.0,1.5,-1.6,-0.016,7.93
3,2022-03-25,0.983,0.973,0.996,0.973,63156,6231299.0,2.34,-1.12,-0.011,12.01
4,2022-03-28,0.965,0.971,0.975,0.96,89719,8648342.0,1.54,-0.21,-0.002,17.07
5,2022-03-29,0.972,0.96,0.975,0.959,25404,2454089.0,1.65,-1.13,-0.011,4.83
6,2022-03-30,0.961,0.984,0.984,0.96,26501,2578706.0,2.5,2.5,0.024,5.04
7,2022-03-31,0.984,0.971,0.984,0.97,21414,2088497.0,1.42,-1.32,-0.013,4.07
8,2022-04-01,0.961,0.974,0.979,0.961,39864,3875456.0,1.85,0.31,0.003,7.58
9,2022-04-06,0.974,0.969,0.974,0.964,15038,1452951.0,1.03,-0.51,-0.005,2.86
10,2022-04-07,0.968,0.947,0.968,0.947,41621,3975137.0,2.17,-2.27,-0.022,7.92
11,2022-04-08,0.945,0.94,0.948,0.931,49336,4636388.0,1.8,-0.74,-0.007,9.39
12,2022-04-11,0.925,0.907,0.932,0.904,89656,8167925.0,2.98,-3.51,-0.033,17.06
13,2022-04-12,0.912,0.916,0.918,0.895,26219,2381718.0,2.54,0.99,0.009,4.99
14,2022-04-13,0.917,0.904,0.917,0.903,15580,1413074.0,1.53,-1.31,-0.012,2.96
15,2022-04-14,0.904,0.911,0.915,0.903,10761,975426.0,1.33,0.77,0.007,2.05
16,2022-04-15,0.9,0.904,0.91,0.894,9686,875635.0,1.76,-0.77,-0.007,1.84
17,2022-04-18,0.888,0.914,0.917,0.887,19197,1749879.0,3.32,1.11,0.01,3.65
