,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-03-27,0.987,0.973,0.987,0.971,624410,61018863.0,0.0,0.0,0.0,92.62
1,2023-03-28,0.973,0.97,0.977,0.969,175434,17055283.0,0.82,-0.31,-0.003,26.02
2,2023-03-29,0.97,0.968,0.977,0.967,122052,11839679.0,1.03,-0.21,-0.002,18.1
3,2023-03-30,0.972,0.975,0.976,0.967,199868,19440651.0,0.93,0.72,0.007,29.65
4,2023-03-31,0.975,0.977,0.98,0.973,82993,8115829.0,0.72,0.21,0.002,12.31
5,2023-04-03,0.981,0.972,0.981,0.968,119545,11613887.0,1.33,-0.51,-0.005,17.73
6,2023-04-04,0.972,0.973,0.975,0.969,112378,10920864.0,0.62,0.1,0.001,16.67
7,2023-04-06,0.97,0.971,0.971,0.967,144603,14012531.0,0.41,-0.21,-0.002,21.45
8,2023-04-07,0.969,0.974,0.974,0.969,93994,9137201.0,0.51,0.31,0.003,13.94
9,2023-04-10,0.976,0.996,0.997,0.976,201827,20005102.0,2.16,2.26,0.022,29.94
10,2023-04-11,0.996,0.99,0.996,0.987,102757,10163500.0,0.9,-0.6,-0.006,15.24
11,2023-04-12,0.99,0.991,0.993,0.982,62663,6199138.0,1.11,0.1,0.001,9.29
12,2023-04-13,0.992,0.995,1.0,0.991,115282,11495961.0,0.91,0.4,0.004,17.1
13,2023-04-14,0.993,1.008,1.011,0.993,1329626,133823376.0,1.81,1.31,0.013,197.22
14,2023-04-17,1.009,1.017,1.022,1.009,480020,48844173.0,1.29,0.89,0.009,71.2
15,2023-04-18,1.017,1.01,1.019,1.007,114522,11572553.0,1.18,-0.69,-0.007,16.99
16,2023-04-19,1.01,1.007,1.016,1.006,87737,8871033.0,0.99,-0.3,-0.003,13.01
17,2023-04-20,1.007,1.006,1.009,0.998,40857,4094369.0,1.09,-0.1,-0.001,6.06
18,2023-04-21,0.998,0.993,1.007,0.993,32151,3221038.0,1.39,-1.29,-0.013,4.77
19,2023-04-24,0.993,0.996,1.002,0.99,43108,4287906.0,1.21,0.3,0.003,6.39
20,2023-04-25,1.009,0.995,1.009,0.983,30592,3037983.0,2.61,-0.1,-0.001,4.54
21,2023-04-26,0.996,1.012,1.016,0.996,171387,17331897.0,2.01,1.71,0.017,25.42
22,2023-04-27,1.015,1.017,1.02,1.0,144765,14718618.0,1.98,0.49,0.005,21.47
23,2023-04-28,1.017,1.018,1.019,1.009,59973,6084731.0,0.98,0.1,0.001,8.9
24,2023-05-04,1.017,1.041,1.045,1.017,354193,36771948.0,2.75,2.26,0.023,52.54
25,2023-05-05,1.037,1.039,1.047,1.032,85158,8847463.0,1.44,-0.19,-0.002,12.63
26,2023-05-08,1.039,1.049,1.061,1.036,151642,15958265.0,2.41,0.96,0.01,22.49
27,2023-05-09,1.048,1.038,1.056,1.038,85113,8931014.0,1.72,-1.05,-0.011,12.62
28,2023-05-10,1.038,1.034,1.061,1.03,57727,5985465.0,2.99,-0.39,-0.004,8.56
29,2023-05-11,1.03,1.05,1.06,1.03,83440,8783160.0,2.9,1.55,0.016,12.38
30,2023-05-12,1.045,1.06,1.075,1.04,111967,11924618.0,3.33,0.95,0.01,16.61
31,2023-05-15,1.06,1.053,1.071,1.042,45339,4778178.0,2.74,-0.66,-0.007,6.72
32,2023-05-16,1.046,1.054,1.058,1.04,38247,4023267.0,1.71,0.09,0.001,5.67
33,2023-05-17,1.054,1.055,1.06,1.042,40901,4286710.0,1.71,0.09,0.001,6.07
34,2023-05-18,1.055,1.054,1.061,1.046,23915,2512016.0,1.42,-0.09,-0.001,3.55
35,2023-05-19,1.043,1.037,1.059,1.036,30059,3130959.0,2.18,-1.61,-0.017,4.46
36,2023-05-22,1.037,1.065,1.072,1.037,60829,6465685.0,3.38,2.7,0.028,9.02
37,2023-05-23,1.062,1.047,1.066,1.038,15952,1678823.0,2.63,-1.69,-0.018,2.37
38,2023-05-24,1.043,1.035,1.05,1.035,29707,3089189.0,1.43,-1.15,-0.012,4.41
39,2023-05-25,1.034,1.048,1.051,1.034,25933,2706545.0,1.64,1.26,0.013,3.85
40,2023-05-26,1.05,1.058,1.063,1.04,29996,3171786.0,2.19,0.95,0.01,4.45
41,2023-05-29,1.066,1.09,1.091,1.035,144048,15553806.0,5.29,3.02,0.032,21.37
42,2023-05-30,1.089,1.084,1.1,1.072,58117,6284559.0,2.57,-0.55,-0.006,8.62
43,2023-05-31,1.084,1.074,1.084,1.068,43356,4659519.0,1.48,-0.92,-0.01,6.43
44,2023-06-01,1.075,1.057,1.075,1.056,42654,4544850.0,1.77,-1.58,-0.017,6.33
45,2023-06-02,1.072,1.055,1.072,1.051,63199,6694631.0,1.99,-0.19,-0.002,9.37
46,2023-06-05,1.052,1.053,1.062,1.049,35954,3788248.0,1.23,-0.19,-0.002,5.33
47,2023-06-06,1.046,1.029,1.046,1.026,36721,3799263.0,1.9,-2.28,-0.024,5.45
48,2023-06-07,1.028,1.022,1.029,1.019,8862,907922.0,0.97,-0.68,-0.007,1.31
49,2023-06-08,1.015,1.029,1.033,1.015,12640,1298611.0,1.76,0.68,0.007,1.87
50,2023-06-09,1.073,1.049,1.073,1.016,55587,5772481.0,5.54,1.94,0.02,8.24
51,2023-06-12,1.038,1.031,1.053,1.03,46823,4879889.0,2.19,-1.72,-0.018,6.95
52,2023-06-13,1.032,1.024,1.032,1.018,18331,1875667.0,1.36,-0.68,-0.007,2.72
53,2023-06-14,1.021,1.012,1.024,1.011,22281,2263699.0,1.27,-1.17,-0.012,3.3
54,2023-06-15,1.012,1.018,1.018,1.01,47796,4845345.0,0.79,0.59,0.006,7.09
55,2023-06-16,1.02,1.011,1.02,1.01,26498,2684117.0,0.98,-0.69,-0.007,3.93
