,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-10,0.986,0.982,0.991,0.975,1276065,125563144.0,0.0,0.0,0.0,64.7
1,2022-01-11,0.98,0.972,0.991,0.971,117544,11504907.0,2.04,-1.02,-0.01,5.96
2,2022-01-12,0.972,1.0,1.0,0.972,35592,3521602.0,2.88,2.88,0.028,1.8
3,2022-01-13,1.01,0.987,1.041,0.981,26498,2631003.0,6.0,-1.3,-0.013,1.34
4,2022-01-14,0.996,0.986,0.998,0.98,19814,1964440.0,1.82,-0.1,-0.001,1.0
5,2022-01-17,0.986,1.004,1.013,0.986,47596,4794163.0,2.74,1.83,0.018,2.41
6,2022-01-18,1.005,1.001,1.007,0.996,29054,2912373.0,1.1,-0.3,-0.003,1.47
7,2022-01-19,1.001,0.989,1.001,0.977,18453,1820035.0,2.4,-1.2,-0.012,0.94
8,2022-01-20,0.989,0.977,0.989,0.974,127377,12485737.0,1.52,-1.21,-0.012,6.46
9,2022-01-21,0.975,0.964,0.976,0.963,26609,2576460.0,1.33,-1.33,-0.013,1.35
10,2022-01-24,0.97,0.98,0.983,0.962,25935,2531995.0,2.18,1.66,0.016,1.31
11,2022-01-25,0.976,0.957,0.981,0.954,15240,1476991.0,2.76,-2.35,-0.023,0.77
12,2022-01-26,0.966,0.974,0.974,0.955,16483,1595807.0,1.99,1.78,0.017,0.84
13,2022-01-27,0.973,0.945,0.973,0.939,42214,4025185.0,3.49,-2.98,-0.029,2.14
14,2022-01-28,0.945,0.938,0.948,0.918,31424,2929599.0,3.17,-0.74,-0.007,1.59
15,2022-02-07,0.938,0.944,0.96,0.938,25330,2404244.0,2.35,0.64,0.006,1.28
16,2022-02-08,0.952,0.918,0.952,0.9,25376,2317558.0,5.51,-2.75,-0.026,1.29
17,2022-02-09,0.918,0.926,0.927,0.907,26682,2439119.0,2.18,0.87,0.008,1.35
18,2022-02-10,0.935,0.903,0.935,0.892,26641,2406838.0,4.64,-2.48,-0.023,1.35
19,2022-02-11,0.894,0.879,0.902,0.862,24802,2202726.0,4.43,-2.66,-0.024,1.26
20,2022-02-14,0.873,0.882,0.893,0.873,14821,1308051.0,2.28,0.34,0.003,0.75
21,2022-02-15,0.89,0.91,0.911,0.886,38065,3440124.0,2.83,3.17,0.028,1.93
22,2022-02-16,0.908,0.906,0.918,0.905,27500,2506278.0,1.43,-0.44,-0.004,1.39
23,2022-02-17,0.907,0.921,0.927,0.907,12525,1153984.0,2.21,1.66,0.015,0.64
24,2022-02-18,0.912,0.914,0.918,0.908,10965,1001442.0,1.09,-0.76,-0.007,0.56
25,2022-02-21,0.91,0.908,0.914,0.902,65005,5890992.0,1.31,-0.66,-0.006,3.3
26,2022-02-22,0.899,0.907,0.91,0.897,29199,2639009.0,1.43,-0.11,-0.001,1.48
27,2022-02-23,0.914,0.938,0.939,0.914,18971,1763499.0,2.76,3.42,0.031,0.96
28,2022-02-24,0.93,0.931,0.947,0.922,15330,1435428.0,2.67,-0.75,-0.007,0.78
29,2022-02-25,0.936,0.945,0.956,0.936,44386,4206997.0,2.15,1.5,0.014,2.25
30,2022-02-28,0.954,0.953,0.956,0.942,28101,2668985.0,1.48,0.85,0.008,1.42
31,2022-03-01,0.958,0.96,0.969,0.956,6318,607054.0,1.36,0.73,0.007,0.32
32,2022-03-02,0.951,0.95,0.953,0.937,25592,2417837.0,1.67,-1.04,-0.01,1.3
33,2022-03-03,0.955,0.934,0.955,0.934,3798,357863.0,2.21,-1.68,-0.016,0.19
34,2022-03-04,0.925,0.919,0.935,0.914,13087,1218069.0,2.25,-1.61,-0.015,0.66
35,2022-03-07,0.919,0.894,0.919,0.891,58348,5252979.0,3.05,-2.72,-0.025,2.96
36,2022-03-08,0.9,0.882,0.903,0.877,11354,1008241.0,2.91,-1.34,-0.012,0.58
37,2022-03-09,0.89,0.881,0.892,0.841,11291,976999.0,5.78,-0.11,-0.001,0.57
38,2022-03-10,0.889,0.906,0.92,0.889,19087,1733330.0,3.52,2.84,0.025,0.97
39,2022-03-11,0.897,0.909,0.909,0.876,13136,1173967.0,3.64,0.33,0.003,0.67
40,2022-03-14,0.908,0.882,0.908,0.867,21626,1923699.0,4.51,-2.97,-0.027,1.1
41,2022-03-15,0.874,0.859,0.891,0.858,24521,2134082.0,3.74,-2.61,-0.023,1.24
42,2022-03-16,0.867,0.893,0.893,0.842,21037,1825916.0,5.94,3.96,0.034,1.07
43,2022-03-17,0.901,0.899,0.916,0.899,15503,1405708.0,1.9,0.67,0.006,0.79
44,2022-03-18,0.891,0.899,0.899,0.882,57834,5134719.0,1.89,0.0,0.0,2.93
45,2022-03-21,0.891,0.904,0.911,0.891,25305,2292385.0,2.22,0.56,0.005,1.28
46,2022-03-22,0.904,0.893,0.904,0.886,12008,1074071.0,1.99,-1.22,-0.011,0.61
47,2022-03-23,0.893,0.898,0.904,0.891,8175,734180.0,1.46,0.56,0.005,0.41
48,2022-03-24,0.901,0.889,0.901,0.876,5424,479130.0,2.78,-1.0,-0.009,0.28
49,2022-03-25,0.885,0.865,0.886,0.864,15679,1363617.0,2.47,-2.7,-0.024,0.79
50,2022-03-28,0.865,0.854,0.865,0.846,13129,1118895.0,2.2,-1.27,-0.011,0.67
51,2022-03-29,0.856,0.854,0.868,0.848,8298,712478.0,2.34,0.0,0.0,0.42
52,2022-03-30,0.862,0.877,0.88,0.859,17074,1490952.0,2.46,2.69,0.023,0.87
53,2022-03-31,0.869,0.854,0.869,0.853,48328,4148221.0,1.82,-2.62,-0.023,2.45
54,2022-04-01,0.854,0.864,0.872,0.853,12139,1043716.0,2.22,1.17,0.01,0.62
55,2022-04-06,0.864,0.844,0.864,0.837,28998,2438161.0,3.13,-2.31,-0.02,1.47
56,2022-04-07,0.844,0.829,0.844,0.829,22343,1859824.0,1.78,-1.78,-0.015,1.13
57,2022-04-08,0.833,0.829,0.839,0.821,23554,1951685.0,2.17,0.0,0.0,1.19
58,2022-04-11,0.821,0.796,0.821,0.792,28559,2277661.0,3.5,-3.98,-0.033,1.45
59,2022-04-12,0.796,0.805,0.805,0.787,13319,1055727.0,2.26,1.13,0.009,0.68
60,2022-04-13,0.797,0.794,0.805,0.789,18055,1431495.0,1.99,-1.37,-0.011,0.92
61,2022-04-14,0.794,0.792,0.799,0.785,6773,536766.0,1.76,-0.25,-0.002,0.34
62,2022-04-15,0.792,0.78,0.792,0.767,33919,2621739.0,3.16,-1.52,-0.012,1.72
63,2022-04-18,0.783,0.796,0.797,0.767,19252,1517049.0,3.85,2.05,0.016,0.98
64,2022-04-19,0.803,0.79,0.808,0.789,12667,1009338.0,2.39,-0.75,-0.006,0.64
65,2022-04-20,0.792,0.771,0.792,0.765,13310,1029436.0,3.42,-2.41,-0.019,0.67
66,2022-04-21,0.766,0.74,0.766,0.733,23135,1723367.0,4.28,-4.02,-0.031,1.17
67,2022-04-22,0.733,0.732,0.741,0.702,23583,1731811.0,5.27,-1.08,-0.008,1.2
68,2022-04-25,0.725,0.684,0.725,0.682,17929,1255776.0,5.87,-6.56,-0.048,0.91
69,2022-04-26,0.684,0.67,0.694,0.668,22543,1539074.0,3.8,-2.05,-0.014,1.14
70,2022-04-27,0.652,0.717,0.718,0.652,37373,2606013.0,9.85,7.01,0.047,1.89
71,2022-04-28,0.71,0.721,0.734,0.709,5045,364499.0,3.49,0.56,0.004,0.26
72,2022-04-29,0.728,0.756,0.758,0.722,30980,2264105.0,4.99,4.85,0.035,1.57
73,2022-05-05,0.75,0.758,0.768,0.745,6522,492554.0,3.04,0.26,0.002,0.33
74,2022-05-06,0.758,0.745,0.758,0.743,34284,2563703.0,1.98,-1.72,-0.013,1.74
75,2022-05-09,0.745,0.75,0.755,0.745,9254,695866.0,1.34,0.67,0.005,0.47
76,2022-05-10,0.746,0.762,0.77,0.746,21038,1599018.0,3.2,1.6,0.012,1.07
77,2022-05-11,0.769,0.786,0.8,0.769,50729,4007374.0,4.07,3.15,0.024,2.57
78,2022-05-12,0.793,0.779,0.813,0.774,88818,6929847.0,4.96,-0.89,-0.007,4.5
79,2022-05-13,0.786,0.785,0.789,0.779,42380,3318637.0,1.28,0.77,0.006,2.15
80,2022-05-16,0.792,0.781,0.8,0.779,28987,2268066.0,2.68,-0.51,-0.004,1.47
81,2022-05-17,0.775,0.798,0.8,0.775,17685,1388714.0,3.2,2.18,0.017,0.9
82,2022-05-18,0.798,0.801,0.807,0.794,10036,802624.0,1.63,0.38,0.003,0.51
83,2022-05-19,0.792,0.82,0.82,0.79,22007,1789164.0,3.75,2.37,0.019,1.12
84,2022-05-20,0.828,0.828,0.832,0.816,7142,588387.0,1.95,0.98,0.008,0.36
85,2022-05-23,0.821,0.823,0.825,0.811,10943,896191.0,1.69,-0.6,-0.005,0.55
86,2022-05-24,0.817,0.797,0.825,0.797,4394,357080.0,3.4,-3.16,-0.026,0.22
87,2022-05-25,0.801,0.803,0.805,0.792,5439,434285.0,1.63,0.75,0.006,0.28
88,2022-05-26,0.805,0.81,0.817,0.795,4404,352296.0,2.74,0.87,0.007,0.22
89,2022-05-27,0.818,0.812,0.827,0.807,7326,600823.0,2.47,0.25,0.002,0.37
90,2022-05-30,0.815,0.817,0.819,0.808,2853,232826.0,1.35,0.62,0.005,0.14
