,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-06-12,1.012,1.009,1.022,1.007,1553805,157611457.0,0.0,0.0,0.0,737.48
1,2023-06-13,1.009,1.038,1.044,0.999,571015,58389695.0,4.46,2.87,0.029,271.02
2,2023-06-14,1.038,1.046,1.052,1.028,238480,24832040.0,2.31,0.77,0.008,113.19
3,2023-06-15,1.046,1.035,1.05,1.033,103622,10768305.0,1.63,-1.05,-0.011,49.18
4,2023-06-16,1.03,1.069,1.072,1.028,92686,9798768.0,4.25,3.29,0.034,43.99
5,2023-06-19,1.062,1.1,1.102,1.062,69197,7552046.0,3.74,2.9,0.031,32.84
6,2023-06-20,1.095,1.118,1.12,1.093,128261,14211790.0,2.45,1.64,0.018,60.88
7,2023-06-21,1.118,1.082,1.118,1.074,88601,9690708.0,3.94,-3.22,-0.036,42.05
8,2023-06-26,1.077,1.02,1.077,1.016,96612,9974307.0,5.64,-5.73,-0.062,45.86
9,2023-06-27,1.02,1.022,1.025,1.01,42227,4291269.0,1.47,0.2,0.002,20.04
10,2023-06-28,1.022,0.991,1.022,0.97,32751,3234797.0,5.09,-3.03,-0.031,15.54
11,2023-06-29,0.986,0.994,0.998,0.981,17515,1738467.0,1.72,0.3,0.003,8.31
12,2023-06-30,0.988,1.0,1.003,0.985,15119,1503437.0,1.81,0.6,0.006,7.18
13,2023-07-03,1.009,1.0,1.009,0.983,40510,4054060.0,2.6,0.0,0.0,19.23
14,2023-07-04,0.999,1.016,1.016,0.999,39924,4033581.0,1.7,1.6,0.016,18.95
15,2023-07-05,1.016,0.998,1.021,0.998,32606,3288131.0,2.26,-1.77,-0.018,15.48
16,2023-07-06,0.999,0.999,1.013,0.998,28582,2872628.0,1.5,0.1,0.001,13.57
17,2023-07-07,0.991,0.977,0.991,0.966,22424,2190331.0,2.5,-2.2,-0.022,10.64
18,2023-07-10,0.982,0.974,0.982,0.972,23977,2340487.0,1.02,-0.31,-0.003,11.38
19,2023-07-11,0.979,0.983,0.99,0.978,14404,1415740.0,1.23,0.92,0.009,6.84
20,2023-07-12,0.975,0.951,0.982,0.95,43931,4226070.0,3.26,-3.26,-0.032,20.85
21,2023-07-13,0.953,0.962,0.967,0.951,34838,3346263.0,1.68,1.16,0.011,16.54
22,2023-07-14,0.964,0.982,0.99,0.964,33964,3327526.0,2.7,2.08,0.02,16.12
23,2023-07-17,0.987,0.989,0.997,0.984,45830,4537387.0,1.32,0.71,0.007,21.75
24,2023-07-18,0.984,0.976,0.99,0.974,22220,2185801.0,1.62,-1.31,-0.013,10.55
25,2023-07-19,0.979,0.971,0.981,0.967,13098,1275574.0,1.43,-0.51,-0.005,6.22
26,2023-07-20,0.973,0.946,0.973,0.942,40575,3880796.0,3.19,-2.57,-0.025,19.26
27,2023-07-21,0.942,0.936,0.947,0.931,30209,2832863.0,1.69,-1.06,-0.01,14.34
28,2023-07-24,0.935,0.947,0.959,0.935,27440,2611557.0,2.56,1.18,0.011,13.02
29,2023-07-25,0.946,0.961,0.971,0.946,17069,1636381.0,2.64,1.48,0.014,8.1
30,2023-07-26,0.963,0.946,0.963,0.943,26055,2467788.0,2.08,-1.56,-0.015,12.37
31,2023-07-27,0.946,0.935,0.948,0.933,20639,1943713.0,1.59,-1.16,-0.011,9.8
32,2023-07-28,0.935,0.948,0.951,0.929,27551,2585067.0,2.35,1.39,0.013,13.08
33,2023-07-31,0.948,0.958,0.966,0.946,28185,2700453.0,2.11,1.05,0.01,13.38
34,2023-08-01,0.953,0.966,0.969,0.953,43528,4192515.0,1.67,0.84,0.008,20.66
35,2023-08-02,0.966,0.963,0.966,0.96,35500,3416099.0,0.62,-0.31,-0.003,16.85
36,2023-08-03,0.959,0.962,0.967,0.958,24084,2315995.0,0.93,-0.1,-0.001,11.43
37,2023-08-04,0.971,0.989,0.994,0.971,47753,4702583.0,2.39,2.81,0.027,22.67
38,2023-08-07,0.989,0.988,1.0,0.985,36349,3607570.0,1.52,-0.1,-0.001,17.25
39,2023-08-08,0.985,0.978,0.986,0.977,43544,4277205.0,0.91,-1.01,-0.01,20.67
40,2023-08-09,0.977,0.969,0.986,0.962,41104,3992757.0,2.45,-0.92,-0.009,19.51
41,2023-08-10,0.964,0.964,0.966,0.957,39601,3813380.0,0.93,-0.52,-0.005,18.8
42,2023-08-11,0.963,0.939,0.963,0.938,28527,2720013.0,2.59,-2.59,-0.025,13.54
43,2023-08-14,0.939,0.954,0.955,0.927,39467,3713540.0,2.98,1.6,0.015,18.73
44,2023-08-15,0.956,0.938,0.957,0.933,41325,3877867.0,2.52,-1.68,-0.016,19.61
45,2023-08-16,0.936,0.919,0.937,0.919,33533,3092199.0,1.92,-2.03,-0.019,15.92
46,2023-08-17,0.919,0.926,0.928,0.908,31424,2901040.0,2.18,0.76,0.007,14.91
47,2023-08-18,0.926,0.902,0.931,0.901,35949,3296429.0,3.24,-2.59,-0.024,17.06
48,2023-08-21,0.897,0.903,0.921,0.897,26059,2378717.0,2.66,0.11,0.001,12.37
49,2023-08-22,0.912,0.93,0.93,0.901,48007,4370092.0,3.21,2.99,0.027,22.79
50,2023-08-23,0.931,0.901,0.931,0.899,37692,3426826.0,3.44,-3.12,-0.029,17.89
51,2023-08-24,0.91,0.904,0.913,0.9,35623,3224372.0,1.44,0.33,0.003,16.91
52,2023-08-25,0.899,0.866,0.899,0.86,64376,5613735.0,4.31,-4.2,-0.038,30.55
53,2023-08-28,0.883,0.875,0.947,0.875,54493,4870795.0,8.31,1.04,0.009,25.86
54,2023-08-29,0.871,0.905,0.909,0.871,45137,4046188.0,4.34,3.43,0.03,21.42
55,2023-08-30,0.91,0.924,0.929,0.909,32723,3017677.0,2.21,2.1,0.019,15.53
56,2023-08-31,0.918,0.921,0.929,0.917,35009,3238590.0,1.3,-0.32,-0.003,16.62
57,2023-09-01,0.921,0.914,0.922,0.912,1504,138011.0,1.09,-0.76,-0.007,0.71
58,2023-09-04,0.913,0.926,0.927,0.913,22987,2104299.0,1.53,1.31,0.012,10.91
59,2023-09-05,0.926,0.917,0.926,0.915,34221,3142625.0,1.19,-0.97,-0.009,16.24
60,2023-09-06,0.909,0.92,0.921,0.904,9451,861962.0,1.85,0.33,0.003,4.49
61,2023-09-07,0.917,0.906,0.919,0.905,56213,5125588.0,1.52,-1.52,-0.014,26.68
62,2023-09-08,0.905,0.909,0.914,0.895,31073,2824041.0,2.1,0.33,0.003,14.75
63,2023-09-11,0.91,0.921,0.931,0.907,29354,2683720.0,2.64,1.32,0.012,13.93
64,2023-09-12,0.922,0.919,0.925,0.916,16716,1537582.0,0.98,-0.22,-0.002,7.93
