,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-11-07,1.005,1.007,1.009,0.999,4548791,457058330.0,0.0,0.0,0.0,170.1
1,2023-11-08,1.003,1.008,1.011,1.002,739448,74536083.0,0.89,0.1,0.001,27.65
2,2023-11-09,1.005,1.01,1.012,1.004,637225,64300532.0,0.79,0.2,0.002,23.83
3,2023-11-10,1.004,1.003,1.004,0.998,328326,32858915.0,0.59,-0.69,-0.007,12.28
4,2023-11-13,1.002,1.005,1.007,0.999,370825,37187712.0,0.8,0.2,0.002,13.87
5,2023-11-14,1.005,1.008,1.011,1.004,327942,33053261.0,0.7,0.3,0.003,12.26
6,2023-11-15,1.013,1.012,1.017,1.011,422104,42816254.0,0.6,0.4,0.004,15.78
7,2023-11-16,1.008,1.006,1.011,1.004,257919,25998673.0,0.69,-0.59,-0.006,9.64
8,2023-11-17,1.002,1.007,1.008,1.0,320315,32110061.0,0.8,0.1,0.001,11.98
9,2023-11-20,1.005,1.01,1.012,1.002,296921,29842464.0,0.99,0.3,0.003,11.1
10,2023-11-21,1.013,1.01,1.017,1.008,395407,40138607.0,0.89,0.0,0.0,14.79
11,2023-11-22,1.009,1.0,1.009,0.999,262837,26448729.0,0.99,-0.99,-0.01,9.83
12,2023-11-23,1.0,1.006,1.006,0.994,286964,28618776.0,1.2,0.6,0.006,10.73
13,2023-11-24,1.002,0.997,1.003,0.996,263290,26326757.0,0.7,-0.89,-0.009,9.85
14,2023-11-27,0.997,0.995,0.997,0.988,185786,18420659.0,0.9,-0.2,-0.002,6.95
15,2023-11-28,0.993,0.997,0.998,0.989,239501,23815333.0,0.9,0.2,0.002,8.96
16,2023-11-29,0.995,0.992,0.997,0.99,385929,38332991.0,0.7,-0.5,-0.005,14.43
17,2023-11-30,0.992,0.989,0.993,0.984,364546,36043747.0,0.91,-0.3,-0.003,13.63
18,2023-12-01,0.988,0.992,0.992,0.982,481363,47466675.0,1.01,0.3,0.003,18.0
19,2023-12-04,0.991,0.985,0.992,0.985,726254,71828018.0,0.71,-0.71,-0.007,27.16
20,2023-12-05,0.984,0.969,0.984,0.968,322632,31549329.0,1.62,-1.62,-0.016,12.06
21,2023-12-06,0.972,0.974,0.979,0.967,529584,51566378.0,1.24,0.52,0.005,19.8
22,2023-12-07,0.974,0.974,0.975,0.967,353519,34279057.0,0.82,0.0,0.0,13.22
23,2023-12-08,0.974,0.972,0.975,0.969,278658,27095781.0,0.62,-0.21,-0.002,10.42
24,2023-12-11,0.971,0.979,0.982,0.959,336188,32475958.0,2.37,0.72,0.007,12.57
25,2023-12-12,0.978,0.981,0.983,0.977,253280,24800054.0,0.61,0.2,0.002,9.47
26,2023-12-13,0.981,0.971,0.981,0.97,183691,17930308.0,1.12,-1.02,-0.01,6.87
27,2023-12-14,0.972,0.966,0.978,0.965,291962,28351447.0,1.34,-0.51,-0.005,10.92
28,2023-12-15,0.966,0.964,0.973,0.962,341375,33026150.0,1.14,-0.21,-0.002,12.77
29,2023-12-18,0.962,0.956,0.963,0.953,366352,35114346.0,1.04,-0.83,-0.008,13.7
30,2023-12-19,0.956,0.955,0.959,0.95,320042,30495845.0,0.94,-0.1,-0.001,11.97
31,2023-12-20,0.958,0.944,0.958,0.943,320497,30529988.0,1.57,-1.15,-0.011,11.98
32,2023-12-21,0.941,0.951,0.953,0.936,401964,37911339.0,1.8,0.74,0.007,15.03
33,2023-12-22,0.951,0.948,0.957,0.945,423292,40183064.0,1.26,-0.32,-0.003,15.83
34,2023-12-25,0.949,0.948,0.949,0.943,643289,60840055.0,0.63,0.0,0.0,24.06
35,2023-12-26,0.949,0.941,0.949,0.936,282632,26595998.0,1.37,-0.74,-0.007,10.57
36,2023-12-27,0.943,0.942,0.947,0.937,404946,38061995.0,1.06,0.11,0.001,15.14
37,2023-12-28,0.942,0.966,0.969,0.942,664851,63944863.0,2.87,2.55,0.024,24.86
38,2023-12-29,0.963,0.971,0.973,0.962,473240,45919868.0,1.14,0.52,0.005,17.7
39,2024-01-02,0.968,0.966,0.973,0.963,711266,68813981.0,1.03,-0.51,-0.005,26.6
40,2024-01-03,0.964,0.962,0.965,0.956,399758,38460978.0,0.93,-0.41,-0.004,14.95
41,2024-01-04,0.962,0.954,0.962,0.949,251848,24039623.0,1.35,-0.83,-0.008,9.42
42,2024-01-05,0.953,0.944,0.957,0.941,362143,34485875.0,1.68,-1.05,-0.01,13.54
43,2024-01-08,0.944,0.929,0.944,0.928,424962,39703039.0,1.69,-1.59,-0.015,15.89
44,2024-01-09,0.93,0.931,0.937,0.926,274277,25514425.0,1.18,0.22,0.002,10.26
45,2024-01-10,0.931,0.926,0.936,0.92,330203,30649101.0,1.72,-0.54,-0.005,12.35
46,2024-01-11,0.93,0.934,0.939,0.925,369709,34478912.0,1.51,0.86,0.008,13.82
47,2024-01-12,0.934,0.931,0.941,0.931,372548,34837987.0,1.07,-0.32,-0.003,13.93
48,2024-01-15,0.933,0.931,0.937,0.925,465831,43269934.0,1.29,0.0,0.0,17.42
