,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-09-15,0.981,0.982,0.993,0.967,4531465,443455161.0,0.0,0.0,0.0,5.41
1,2023-09-18,0.975,0.98,0.99,0.973,1731717,170176153.0,1.73,-0.2,-0.002,2.07
2,2023-09-19,0.978,0.972,0.982,0.969,1718208,167200627.0,1.33,-0.82,-0.008,2.05
3,2023-09-20,0.971,0.96,0.975,0.96,1940124,187062274.0,1.54,-1.23,-0.012,2.32
4,2023-09-21,0.958,0.953,0.962,0.948,2224037,212341193.0,1.46,-0.73,-0.007,2.65
5,2023-09-22,0.95,0.973,0.974,0.947,2873561,276150845.0,2.83,2.1,0.02,3.43
6,2023-09-25,0.97,0.975,0.977,0.967,2607388,253327498.0,1.03,0.21,0.002,3.11
7,2023-09-26,0.972,0.972,0.98,0.968,2474191,241097618.0,1.23,-0.31,-0.003,2.95
8,2023-09-27,0.971,0.987,0.993,0.97,3265902,322251853.0,2.37,1.54,0.015,3.9
9,2023-09-28,0.987,0.994,0.996,0.985,4497633,445779200.0,1.11,0.71,0.007,5.37
10,2023-10-09,0.992,0.984,0.994,0.981,2640816,260341214.0,1.31,-1.01,-0.01,3.15
11,2023-10-10,0.987,0.978,0.988,0.974,2855218,279616558.0,1.42,-0.61,-0.006,3.41
12,2023-10-11,0.979,0.992,0.998,0.979,3359851,333035243.0,1.94,1.43,0.014,4.01
13,2023-10-12,0.998,0.997,1.0,0.986,2574531,255481125.0,1.41,0.5,0.005,3.07
14,2023-10-13,0.991,0.995,0.996,0.989,2738483,271651907.0,0.7,-0.2,-0.002,3.27
15,2023-10-16,0.994,0.977,0.997,0.974,3371792,330457525.0,2.31,-1.81,-0.018,4.02
16,2023-10-17,0.979,0.979,0.981,0.969,3308208,322641936.0,1.23,0.2,0.002,3.95
17,2023-10-18,0.974,0.96,0.978,0.959,3081805,297203989.0,1.94,-1.94,-0.019,3.68
18,2023-10-19,0.954,0.959,0.971,0.953,3264873,314860876.0,1.88,-0.1,-0.001,3.9
19,2023-10-20,0.959,0.949,0.963,0.947,3524621,336503408.0,1.67,-1.04,-0.01,4.21
20,2023-10-23,0.943,0.925,0.946,0.922,4086056,381077918.0,2.53,-2.53,-0.024,4.88
21,2023-10-24,0.928,0.938,0.943,0.918,3648386,339857505.0,2.7,1.41,0.013,4.35
22,2023-10-25,0.941,0.94,0.949,0.937,3484832,328228996.0,1.28,0.21,0.002,4.16
23,2023-10-26,0.934,0.942,0.945,0.928,3401739,317625114.0,1.81,0.21,0.002,4.06
24,2023-10-27,0.941,0.974,0.977,0.934,4613759,440084375.0,4.56,3.4,0.032,5.51
25,2023-10-30,0.969,0.999,1.001,0.969,4995630,495347365.0,3.29,2.57,0.025,5.96
26,2023-10-31,0.998,0.992,0.999,0.984,4444240,440016866.0,1.5,-0.7,-0.007,5.3
27,2023-11-01,0.992,0.984,0.993,0.981,4534541,446656408.0,1.21,-0.81,-0.008,5.41
28,2023-11-02,0.987,0.969,0.99,0.967,5210193,508608819.0,2.34,-1.52,-0.015,6.22
29,2023-11-03,0.97,0.991,0.994,0.969,5124861,505111727.0,2.58,2.27,0.022,6.12
30,2023-11-06,1.001,1.024,1.026,1.0,10423758,1058640639.0,2.62,3.33,0.033,12.44
31,2023-11-07,1.02,1.022,1.027,1.014,8952944,914581099.0,1.27,-0.2,-0.002,10.69
32,2023-11-08,1.022,1.035,1.042,1.021,10407716,1074971554.0,2.05,1.27,0.013,12.42
33,2023-11-09,1.035,1.031,1.046,1.028,8838276,914383634.0,1.74,-0.39,-0.004,10.55
34,2023-11-10,1.027,1.037,1.04,1.023,8621822,891868592.0,1.65,0.58,0.006,10.29
35,2023-11-13,1.045,1.04,1.045,1.033,8610833,894336436.0,1.16,0.29,0.003,10.28
36,2023-11-14,1.036,1.049,1.049,1.036,8744030,913757686.0,1.25,0.87,0.009,10.44
37,2023-11-15,1.062,1.045,1.062,1.043,9862858,1035332324.0,1.81,-0.38,-0.004,11.77
38,2023-11-16,1.043,1.028,1.043,1.025,9203683,949034717.0,1.72,-1.63,-0.017,10.98
39,2023-11-17,1.023,1.031,1.033,1.021,8078964,830774928.0,1.17,0.29,0.003,9.64
40,2023-11-20,1.032,1.038,1.04,1.024,8267106,853698563.0,1.55,0.68,0.007,9.87
41,2023-11-21,1.039,1.028,1.04,1.026,8377896,865309625.0,1.35,-0.96,-0.01,10.0
42,2023-11-22,1.023,1.01,1.03,1.008,10013022,1020285284.0,2.14,-1.75,-0.018,11.95
43,2023-11-23,1.007,1.025,1.025,1.004,8589780,870344089.0,2.08,1.49,0.015,10.25
44,2023-11-24,1.02,1.009,1.022,1.005,7746788,781895393.0,1.66,-1.56,-0.016,9.25
45,2023-11-27,1.005,1.017,1.018,1.004,9476730,958534056.0,1.39,0.79,0.008,11.31
46,2023-11-28,1.015,1.026,1.028,1.01,8739098,893379636.0,1.77,0.88,0.009,10.43
47,2023-11-29,1.024,1.025,1.033,1.022,8707391,894958733.0,1.07,-0.1,-0.001,10.39
48,2023-11-30,1.022,1.023,1.027,1.013,8497630,865869483.0,1.37,-0.2,-0.002,10.14
49,2023-12-01,1.023,1.025,1.026,1.012,9826217,1001001754.0,1.37,0.2,0.002,11.73
50,2023-12-04,1.023,1.012,1.025,1.011,8585531,872530606.0,1.37,-1.27,-0.013,10.25
51,2023-12-05,1.008,0.995,1.008,0.994,9257418,927799872.0,1.38,-1.68,-0.017,11.05
52,2023-12-06,0.993,0.998,1.009,0.992,8525592,852575357.0,1.71,0.3,0.003,10.18
53,2023-12-07,0.995,0.993,1.0,0.986,10198568,1012495186.0,1.4,-0.5,-0.005,12.17
54,2023-12-08,0.994,0.996,1.0,0.991,9081034,903070542.0,0.91,0.3,0.003,10.84
55,2023-12-11,0.992,1.012,1.013,0.987,10088040,1009274608.0,2.61,1.61,0.016,12.04
56,2023-12-12,1.012,1.006,1.012,1.002,8010004,806007377.0,0.99,-0.59,-0.006,9.56
57,2023-12-13,1.007,0.993,1.008,0.993,8427245,843906197.0,1.49,-1.29,-0.013,10.06
58,2023-12-14,0.998,0.996,1.006,0.993,8860460,884268502.0,1.31,0.3,0.003,10.57
59,2023-12-15,0.997,0.983,0.997,0.977,12414562,1225171830.0,2.01,-1.31,-0.013,14.82
60,2023-12-18,0.98,0.96,0.98,0.958,9975267,966665173.0,2.24,-2.34,-0.023,11.91
61,2023-12-19,0.961,0.963,0.968,0.954,9379030,900760832.0,1.46,0.31,0.003,11.19
62,2023-12-20,0.966,0.947,0.968,0.945,9453065,902215942.0,2.39,-1.66,-0.016,11.28
63,2023-12-21,0.941,0.948,0.955,0.932,11664606,1100904189.0,2.43,0.11,0.001,13.92
64,2023-12-22,0.945,0.94,0.951,0.934,9993750,940943307.0,1.79,-0.84,-0.008,11.93
65,2023-12-25,0.939,0.938,0.948,0.934,8923427,838046368.0,1.49,-0.21,-0.002,10.65
66,2023-12-26,0.939,0.923,0.939,0.916,9745966,900027211.0,2.45,-1.6,-0.015,11.63
67,2023-12-27,0.922,0.932,0.934,0.918,11639912,1079553757.0,1.73,0.98,0.009,13.89
68,2023-12-28,0.93,0.955,0.96,0.926,15596965,1478376540.0,3.65,2.47,0.023,18.61
69,2023-12-29,0.955,0.974,0.974,0.954,12127374,1173903628.0,2.09,1.99,0.019,14.47
70,2024-01-02,0.97,0.951,0.973,0.949,14382323,1374195537.0,2.46,-2.36,-0.023,17.17
71,2024-01-03,0.948,0.935,0.95,0.928,10172456,954454725.0,2.31,-1.68,-0.016,12.14
72,2024-01-04,0.934,0.924,0.935,0.918,9389001,867741967.0,1.82,-1.18,-0.011,11.21
73,2024-01-05,0.922,0.899,0.928,0.895,11750647,1070263037.0,3.57,-2.71,-0.025,14.02
74,2024-01-08,0.895,0.874,0.896,0.873,10730364,947253608.0,2.56,-2.78,-0.025,12.81
75,2024-01-09,0.877,0.88,0.89,0.871,12375876,1088431893.0,2.17,0.69,0.006,14.77
76,2024-01-10,0.875,0.875,0.891,0.865,11613252,1020109904.0,2.95,-0.57,-0.005,13.86
77,2024-01-11,0.875,0.893,0.899,0.873,12386551,1098469732.0,2.97,2.06,0.018,14.78
78,2024-01-12,0.888,0.88,0.898,0.879,11684141,1038103282.0,2.13,-1.46,-0.013,13.94
79,2024-01-15,0.876,0.875,0.886,0.868,9284156,813804116.0,2.05,-0.57,-0.005,11.08
80,2024-01-16,0.872,0.876,0.878,0.86,10452726,908469499.0,2.06,0.11,0.001,12.48
81,2024-01-17,0.871,0.84,0.872,0.839,10210790,872558488.0,3.77,-4.11,-0.036,12.19
82,2024-01-18,0.834,0.843,0.846,0.818,12244233,1014819620.0,3.33,0.36,0.003,14.61
83,2024-01-19,0.843,0.83,0.852,0.83,10008974,841095759.0,2.61,-1.54,-0.013,11.95
84,2024-01-22,0.827,0.786,0.83,0.777,11990079,968363394.0,6.39,-5.3,-0.044,14.31
85,2024-01-23,0.782,0.799,0.804,0.777,10654661,846098626.0,3.44,1.65,0.013,12.72
86,2024-01-24,0.803,0.794,0.808,0.768,11696909,919589717.0,5.01,-0.63,-0.005,13.96
87,2024-01-25,0.795,0.817,0.819,0.785,12731959,1022599938.0,4.28,2.9,0.023,15.2
88,2024-01-26,0.812,0.791,0.815,0.788,10533073,846558774.0,3.3,-3.18,-0.026,12.57
