,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-11-16,1.501,1.452,1.53,1.448,6228572,911261168.0,0.0,0.0,0.0,11.3
1,2020-11-17,1.452,1.436,1.454,1.431,1871451,268964880.0,1.58,-1.1,-0.016,3.4
2,2020-11-18,1.436,1.425,1.446,1.423,1600510,229255074.0,1.6,-0.77,-0.011,2.9
3,2020-11-19,1.424,1.44,1.44,1.413,1369387,196034420.0,1.89,1.05,0.015,2.48
4,2020-11-20,1.44,1.436,1.446,1.432,1173127,168660569.0,0.97,-0.28,-0.004,2.13
5,2020-11-23,1.435,1.422,1.435,1.417,1385794,197043457.0,1.25,-0.97,-0.014,2.51
6,2020-11-24,1.418,1.419,1.424,1.414,1114489,158127301.0,0.7,-0.21,-0.003,2.02
7,2020-11-25,1.417,1.394,1.419,1.393,1617642,227309254.0,1.83,-1.76,-0.025,2.94
8,2020-11-26,1.394,1.39,1.404,1.386,1030556,143404457.0,1.29,-0.29,-0.004,1.87
9,2020-11-27,1.39,1.394,1.402,1.386,1212971,168977270.0,1.15,0.29,0.004,2.2
10,2020-11-30,1.397,1.396,1.402,1.387,1244370,173803598.0,1.08,0.14,0.002,2.26
11,2020-12-01,1.392,1.41,1.412,1.388,1409811,198014554.0,1.72,1.0,0.014,2.56
12,2020-12-02,1.41,1.415,1.422,1.409,1367682,193647395.0,0.92,0.35,0.005,2.48
13,2020-12-03,1.415,1.418,1.424,1.404,1200906,169901446.0,1.41,0.21,0.003,2.18
14,2020-12-04,1.416,1.409,1.416,1.407,1168912,164923758.0,0.63,-0.63,-0.009,2.12
15,2020-12-07,1.41,1.411,1.421,1.409,1374783,194694730.0,0.85,0.14,0.002,2.49
16,2020-12-08,1.411,1.409,1.415,1.406,983596,138694812.0,0.64,-0.14,-0.002,1.78
17,2020-12-09,1.408,1.385,1.413,1.382,1435624,200659395.0,2.2,-1.7,-0.024,2.6
18,2020-12-10,1.385,1.389,1.396,1.375,978141,135736609.0,1.52,0.29,0.004,1.77
