,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-05-27,0.984,0.965,0.992,0.961,2625787,256989698.0,0.0,0.0,0.0,45.69
1,2022-05-30,0.967,0.984,0.989,0.959,1585149,155151799.0,3.11,1.97,0.019,27.58
2,2022-05-31,0.982,1.017,1.018,0.971,5565264,558809552.0,4.78,3.35,0.033,96.83
3,2022-06-01,1.015,1.029,1.04,1.011,2716200,279272560.0,2.85,1.18,0.012,47.26
4,2022-06-02,1.025,1.093,1.1,1.023,2664920,280943008.0,7.48,6.22,0.064,46.37
5,2022-06-06,1.111,1.127,1.138,1.092,1667646,186678421.0,4.21,3.11,0.034,29.02
6,2022-06-07,1.117,1.105,1.122,1.095,1269430,140427892.0,2.4,-1.95,-0.022,22.09
7,2022-06-08,1.105,1.104,1.116,1.085,864374,95071749.0,2.81,-0.09,-0.001,15.04
8,2022-06-09,1.095,1.065,1.1,1.059,870761,93768695.0,3.71,-3.53,-0.039,15.15
9,2022-06-10,1.06,1.084,1.087,1.055,667708,71626444.0,3.0,1.78,0.019,11.62
10,2022-06-13,1.064,1.065,1.077,1.058,801343,85399483.0,1.75,-1.75,-0.019,13.94
11,2022-06-14,1.057,1.049,1.057,1.018,848212,87663079.0,3.66,-1.5,-0.016,14.76
12,2022-06-15,1.049,1.045,1.069,1.042,1209992,127774903.0,2.57,-0.38,-0.004,21.05
13,2022-06-16,1.047,1.056,1.076,1.047,1434728,153187551.0,2.78,1.05,0.011,24.96
14,2022-06-17,1.048,1.056,1.061,1.033,762965,79920737.0,2.65,0.0,0.0,13.27
15,2022-06-20,1.056,1.049,1.07,1.047,598954,63219760.0,2.18,-0.66,-0.007,10.42
16,2022-06-21,1.048,1.034,1.052,1.023,1161455,120159265.0,2.76,-1.43,-0.015,20.21
17,2022-06-22,1.034,1.006,1.038,1.003,1450585,147333991.0,3.38,-2.71,-0.028,25.24
18,2022-06-23,1.006,1.028,1.029,1.001,836304,84862414.0,2.78,2.19,0.022,14.55
19,2022-06-24,1.031,1.035,1.045,1.024,673196,69605927.0,2.04,0.68,0.007,11.71
20,2022-06-27,1.035,1.034,1.047,1.032,640975,66710433.0,1.45,-0.1,-0.001,11.15
21,2022-06-28,1.033,1.047,1.049,1.014,649315,66824337.0,3.38,1.26,0.013,11.3
22,2022-06-29,1.042,1.035,1.063,1.031,720611,75604203.0,3.06,-1.15,-0.012,12.54
23,2022-06-30,1.034,1.045,1.054,1.03,705976,73669365.0,2.32,0.97,0.01,12.28
24,2022-07-01,1.046,1.03,1.046,1.024,1146951,118166827.0,2.11,-1.44,-0.015,19.96
25,2022-07-04,1.025,1.004,1.03,0.998,1052307,105727032.0,3.11,-2.52,-0.026,18.31
26,2022-07-05,1.003,0.994,1.015,0.984,747102,74494127.0,3.09,-1.0,-0.01,13.0
27,2022-07-06,0.995,1.011,1.029,0.993,899573,91325272.0,3.62,1.71,0.017,15.65
28,2022-07-07,1.012,1.001,1.012,0.995,758017,75820597.0,1.68,-0.99,-0.01,13.19
29,2022-07-08,1.0,1.007,1.02,0.998,747555,75347741.0,2.2,0.6,0.006,13.01
30,2022-07-11,1.003,0.986,1.004,0.978,574134,56574340.0,2.58,-2.09,-0.021,9.99
31,2022-07-12,0.986,0.954,0.989,0.954,730838,70756524.0,3.55,-3.25,-0.032,12.72
32,2022-07-13,0.957,0.946,0.96,0.942,543972,51529529.0,1.89,-0.84,-0.008,9.46
33,2022-07-14,0.947,0.957,0.964,0.943,621002,59312704.0,2.22,1.16,0.011,10.8
34,2022-07-15,0.951,0.957,0.974,0.951,633362,61095038.0,2.4,0.0,0.0,11.02
35,2022-07-18,0.952,0.958,0.963,0.944,539527,51361620.0,1.99,0.1,0.001,9.39
