,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-10-26,0.993,0.998,1.001,0.974,3269181,323770416.0,0.0,0.0,0.0,248.61
1,2022-10-27,1.001,0.981,1.007,0.979,2577001,257531431.0,2.81,-1.7,-0.017,195.98
2,2022-10-28,0.973,0.954,0.983,0.949,417866,40266478.0,3.47,-2.75,-0.027,31.78
3,2022-10-31,0.954,0.982,0.991,0.942,480758,47075358.0,5.14,2.94,0.028,36.56
4,2022-11-01,0.982,0.995,1.002,0.975,472733,47048288.0,2.75,1.32,0.013,35.95
5,2022-11-02,0.99,1.007,1.016,0.99,1031404,103758265.0,2.61,1.21,0.012,78.44
6,2022-11-03,1.002,1.025,1.027,0.998,487479,49742609.0,2.88,1.79,0.018,37.07
7,2022-11-04,1.024,1.052,1.052,1.023,476862,49700985.0,2.83,2.63,0.027,36.26
8,2022-11-07,1.051,1.044,1.06,1.038,307311,32165593.0,2.09,-0.76,-0.008,23.37
9,2022-11-08,1.039,1.036,1.054,1.029,268444,27875773.0,2.39,-0.77,-0.008,20.41
10,2022-11-09,1.036,1.035,1.048,1.03,447205,46436113.0,1.74,-0.1,-0.001,34.01
11,2022-11-10,1.035,1.005,1.035,1.004,339556,34435196.0,3.0,-2.9,-0.03,25.82
12,2022-11-11,1.023,1.013,1.039,1.011,198007,20183275.0,2.79,0.8,0.008,15.06
13,2022-11-14,1.011,1.008,1.023,0.999,195426,19700906.0,2.37,-0.49,-0.005,14.86
14,2022-11-15,1.006,1.041,1.041,0.999,262957,26965394.0,4.17,3.27,0.033,20.0
15,2022-11-16,1.037,1.022,1.039,1.017,119830,12283984.0,2.11,-1.83,-0.019,9.11
16,2022-11-17,1.015,1.014,1.015,0.994,179554,18017315.0,2.05,-0.78,-0.008,13.65
17,2022-11-18,1.014,1.005,1.023,1.002,254089,25673447.0,2.07,-0.89,-0.009,19.32
18,2022-11-21,1.007,1.017,1.018,0.997,185642,18733380.0,2.09,1.19,0.012,14.12
19,2022-11-22,1.013,1.003,1.015,1.0,210217,21127983.0,1.47,-1.38,-0.014,15.99
