,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-05,0.98,0.98,0.99,0.968,3348965,328088336.0,0.0,0.0,0.0,10.74
1,2021-07-06,0.981,0.954,0.985,0.94,3059224,292645104.0,4.59,-2.65,-0.026,9.81
2,2021-07-07,0.954,0.989,0.992,0.945,3142106,307292896.0,4.93,3.67,0.035,10.08
3,2021-07-08,0.989,0.991,1.001,0.987,3709130,368645824.0,1.42,0.2,0.002,11.9
4,2021-07-09,0.991,0.98,0.991,0.958,2721216,265212080.0,3.33,-1.11,-0.011,8.73
5,2021-07-12,0.983,1.004,1.01,0.978,4012624,401446560.0,3.27,2.45,0.024,12.87
6,2021-07-13,1.003,0.999,1.012,0.989,1636080,163489275.0,2.29,-0.5,-0.005,5.25
7,2021-07-14,0.998,0.998,1.007,0.985,1690902,169325321.0,2.2,-0.1,-0.001,5.42
8,2021-07-15,0.995,1.002,1.003,0.986,1245561,124037321.0,1.7,0.4,0.004,3.99
9,2021-07-16,1.002,0.976,1.003,0.973,2161639,213083528.0,2.99,-2.59,-0.026,6.93
10,2021-07-19,0.97,0.98,0.988,0.969,1164575,113978065.0,1.95,0.41,0.004,3.73
11,2021-07-20,0.974,0.982,0.987,0.97,1302691,127393337.0,1.73,0.2,0.002,4.18
12,2021-07-21,0.983,1.005,1.009,0.981,2495493,249304751.0,2.85,2.34,0.023,8.0
13,2021-07-22,1.002,1.0,1.011,0.994,1582486,158366969.0,1.69,-0.5,-0.005,5.07
14,2021-07-23,1.0,0.981,1.0,0.975,1675935,164539017.0,2.5,-1.9,-0.019,5.37
15,2021-07-26,0.98,0.948,0.98,0.92,2695164,254997407.0,6.12,-3.36,-0.033,8.64
16,2021-07-27,0.946,0.921,0.963,0.92,2134550,201746436.0,4.54,-2.85,-0.027,6.85
17,2021-07-28,0.922,0.927,0.935,0.894,1998636,183650098.0,4.45,0.65,0.006,6.41
18,2021-07-29,0.945,0.976,0.979,0.945,2764680,266064909.0,3.67,5.29,0.049,8.87
19,2021-07-30,0.975,0.976,0.986,0.962,1602984,156222323.0,2.46,0.0,0.0,5.14
20,2021-08-02,0.978,0.98,0.985,0.957,1849723,179971883.0,2.87,0.41,0.004,5.93
21,2021-08-03,0.977,0.98,0.989,0.97,1873048,183457081.0,1.94,0.0,0.0,6.01
22,2021-08-04,0.977,0.997,1.0,0.971,2227095,220949650.0,2.96,1.73,0.017,7.14
23,2021-08-05,0.995,0.998,1.009,0.987,2027300,202524933.0,2.21,0.1,0.001,6.5
24,2021-08-06,0.999,0.989,1.006,0.98,1525308,151224621.0,2.61,-0.9,-0.009,4.89
25,2021-08-09,0.981,0.975,0.989,0.961,1420051,137742106.0,2.83,-1.42,-0.014,4.55
26,2021-08-10,0.97,0.976,0.98,0.965,1453484,141252837.0,1.54,0.1,0.001,4.66
27,2021-08-11,0.975,0.965,0.977,0.963,1460486,141449517.0,1.43,-1.13,-0.011,4.68
28,2021-08-12,0.963,0.955,0.967,0.95,1653891,158162722.0,1.76,-1.04,-0.01,5.3
29,2021-08-13,0.952,0.931,0.955,0.927,2165683,203108205.0,2.93,-2.51,-0.024,6.95
30,2021-08-16,0.932,0.924,0.933,0.919,1675019,154776243.0,1.5,-0.75,-0.007,5.37
31,2021-08-17,0.926,0.899,0.929,0.896,2469221,225053692.0,3.57,-2.71,-0.025,7.92
32,2021-08-18,0.9,0.901,0.909,0.894,1917578,172674922.0,1.67,0.22,0.002,6.15
33,2021-08-19,0.901,0.909,0.915,0.899,1615853,146527481.0,1.78,0.89,0.008,5.18
34,2021-08-20,0.903,0.882,0.904,0.871,2659603,235475768.0,3.63,-2.97,-0.027,8.53
35,2021-08-23,0.882,0.911,0.913,0.882,2020862,182262510.0,3.51,3.29,0.029,6.48
36,2021-08-24,0.912,0.924,0.929,0.906,1718770,158299301.0,2.52,1.43,0.013,5.51
37,2021-08-25,0.923,0.919,0.927,0.91,1326485,121571941.0,1.84,-0.54,-0.005,4.25
38,2021-08-26,0.92,0.897,0.924,0.893,1786158,161505754.0,3.37,-2.39,-0.022,5.73
39,2021-08-27,0.892,0.892,0.906,0.887,1581259,141613227.0,2.12,-0.56,-0.005,5.07
40,2021-08-30,0.892,0.894,0.908,0.888,1493980,134062638.0,2.24,0.22,0.002,4.79
41,2021-08-31,0.89,0.87,0.894,0.865,2374436,207517688.0,3.24,-2.68,-0.024,7.61
42,2021-09-01,0.873,0.866,0.875,0.853,1496096,128976413.0,2.53,-0.46,-0.004,4.8
43,2021-09-02,0.864,0.848,0.869,0.844,2608482,222626338.0,2.89,-2.08,-0.018,8.37
44,2021-09-03,0.85,0.842,0.853,0.837,2461529,207817623.0,1.89,-0.71,-0.006,7.89
45,2021-09-06,0.842,0.873,0.874,0.837,2208582,190382292.0,4.39,3.68,0.031,7.08
46,2021-09-07,0.872,0.873,0.876,0.865,1500440,130567466.0,1.26,0.0,0.0,4.81
47,2021-09-08,0.873,0.863,0.88,0.861,1292382,112100977.0,2.18,-1.15,-0.01,4.14
48,2021-09-09,0.863,0.861,0.869,0.851,1378239,118149216.0,2.09,-0.23,-0.002,4.42
49,2021-09-10,0.855,0.866,0.868,0.851,1125754,96874600.0,1.97,0.58,0.005,3.61
50,2021-09-13,0.867,0.855,0.872,0.85,1429504,122422373.0,2.54,-1.27,-0.011,4.58
51,2021-09-14,0.854,0.859,0.87,0.851,1462700,126334684.0,2.22,0.47,0.004,4.69
52,2021-09-15,0.859,0.848,0.859,0.844,1515866,128825388.0,1.75,-1.28,-0.011,4.86
53,2021-09-16,0.847,0.835,0.852,0.835,1562652,131138179.0,2.0,-1.53,-0.013,5.01
54,2021-09-17,0.832,0.856,0.859,0.832,1452084,123224055.0,3.23,2.51,0.021,4.66
55,2021-09-22,0.842,0.856,0.864,0.84,1012255,86730309.0,2.8,0.0,0.0,3.25
56,2021-09-23,0.86,0.859,0.867,0.85,882627,75717634.0,1.99,0.35,0.003,2.83
57,2021-09-24,0.859,0.866,0.875,0.855,1279624,110988554.0,2.33,0.81,0.007,4.1
58,2021-09-27,0.866,0.877,0.888,0.866,1514619,133395112.0,2.54,1.27,0.011,4.86
59,2021-09-28,0.876,0.87,0.887,0.867,1118511,98045819.0,2.28,-0.8,-0.007,3.59
60,2021-09-29,0.86,0.864,0.871,0.851,1233504,106736209.0,2.3,-0.69,-0.006,3.96
61,2021-09-30,0.864,0.878,0.88,0.864,1295359,113197589.0,1.85,1.62,0.014,4.15
62,2021-10-08,0.881,0.875,0.887,0.872,1016400,89212721.0,1.71,-0.34,-0.003,3.26
63,2021-10-11,0.876,0.86,0.878,0.856,1187662,102940405.0,2.51,-1.71,-0.015,3.81
64,2021-10-12,0.859,0.845,0.862,0.837,1343483,114120960.0,2.91,-1.74,-0.015,4.31
65,2021-10-13,0.844,0.86,0.862,0.842,1183515,101037746.0,2.37,1.78,0.015,3.8
66,2021-10-14,0.86,0.858,0.866,0.855,1015148,87380786.0,1.28,-0.23,-0.002,3.26
67,2021-10-15,0.858,0.87,0.873,0.852,1394868,120937405.0,2.45,1.4,0.012,4.47
68,2021-10-18,0.87,0.863,0.871,0.855,1248875,107517346.0,1.84,-0.8,-0.007,4.01
69,2021-10-19,0.863,0.872,0.874,0.863,1185200,103071013.0,1.27,1.04,0.009,3.8
70,2021-10-20,0.873,0.866,0.878,0.861,1280422,111125250.0,1.95,-0.69,-0.006,4.11
71,2021-10-21,0.866,0.864,0.871,0.86,1445541,124990436.0,1.27,-0.23,-0.002,4.64
72,2021-10-22,0.865,0.871,0.876,0.864,1263592,109888037.0,1.39,0.81,0.007,4.05
73,2021-10-25,0.871,0.88,0.883,0.868,1538388,135309054.0,1.72,1.03,0.009,4.93
74,2021-10-26,0.884,0.881,0.89,0.88,953074,84398005.0,1.14,0.11,0.001,3.06
75,2021-10-27,0.88,0.87,0.88,0.866,1333248,116389973.0,1.59,-1.25,-0.011,4.28
76,2021-10-28,0.872,0.871,0.883,0.867,1233082,107784794.0,1.84,0.11,0.001,3.95
77,2021-10-29,0.87,0.888,0.89,0.865,1465952,128699345.0,2.87,1.95,0.017,4.7
78,2021-11-01,0.886,0.88,0.888,0.874,1139333,100287468.0,1.58,-0.9,-0.008,3.65
79,2021-11-02,0.88,0.883,0.892,0.876,1248202,110636311.0,1.82,0.34,0.003,4.0
80,2021-11-03,0.884,0.879,0.891,0.873,1246805,109813829.0,2.04,-0.45,-0.004,4.0
81,2021-11-04,0.878,0.886,0.89,0.878,1272597,112706019.0,1.37,0.8,0.007,4.08
82,2021-11-05,0.885,0.886,0.892,0.882,1205645,107178725.0,1.13,0.0,0.0,3.87
83,2021-11-08,0.883,0.885,0.89,0.878,938501,83013084.0,1.35,-0.11,-0.001,3.01
84,2021-11-09,0.884,0.895,0.896,0.884,1180607,105242059.0,1.36,1.13,0.01,3.79
85,2021-11-10,0.893,0.894,0.895,0.875,1264390,112062792.0,2.23,-0.11,-0.001,4.05
86,2021-11-11,0.891,0.898,0.901,0.89,1253764,112522037.0,1.23,0.45,0.004,4.02
87,2021-11-12,0.896,0.894,0.9,0.89,1007312,90149478.0,1.11,-0.45,-0.004,3.23
88,2021-11-15,0.89,0.892,0.896,0.887,1025151,91432274.0,1.01,-0.22,-0.002,3.29
89,2021-11-16,0.892,0.894,0.9,0.889,1271210,113839851.0,1.23,0.22,0.002,4.08
90,2021-11-17,0.894,0.899,0.9,0.892,1029640,92358524.0,0.89,0.56,0.005,3.3
91,2021-11-18,0.898,0.887,0.898,0.885,1121818,99794070.0,1.45,-1.33,-0.012,3.6
92,2021-11-19,0.886,0.891,0.892,0.885,1096621,97399460.0,0.79,0.45,0.004,3.52
93,2021-11-22,0.892,0.909,0.911,0.892,1726747,156274961.0,2.13,2.02,0.018,5.54
94,2021-11-23,0.91,0.908,0.912,0.905,1103341,100298987.0,0.77,-0.11,-0.001,3.54
95,2021-11-24,0.908,0.907,0.912,0.904,997231,90594681.0,0.88,-0.11,-0.001,3.2
96,2021-11-25,0.906,0.913,0.917,0.906,1290351,117771289.0,1.21,0.66,0.006,4.14
97,2021-11-26,0.913,0.909,0.918,0.907,882759,80462972.0,1.2,-0.44,-0.004,2.83
98,2021-11-29,0.898,0.91,0.92,0.897,1121608,102349787.0,2.53,0.11,0.001,3.6
99,2021-11-30,0.91,0.907,0.913,0.9,1033721,93582945.0,1.43,-0.33,-0.003,3.32
100,2021-12-01,0.907,0.9,0.907,0.896,1036504,93293900.0,1.21,-0.77,-0.007,3.32
101,2021-12-02,0.9,0.89,0.901,0.89,990919,88684580.0,1.22,-1.11,-0.01,3.18
102,2021-12-03,0.89,0.895,0.899,0.889,1007129,90054568.0,1.12,0.56,0.005,3.23
103,2021-12-06,0.894,0.88,0.894,0.878,1066635,94430461.0,1.79,-1.68,-0.015,3.42
104,2021-12-07,0.886,0.87,0.887,0.864,1220374,106257846.0,2.61,-1.14,-0.01,3.91
105,2021-12-08,0.87,0.884,0.884,0.87,1093979,96142177.0,1.61,1.61,0.014,3.51
106,2021-12-09,0.882,0.898,0.9,0.88,1171979,104678983.0,2.26,1.58,0.014,3.76
107,2021-12-10,0.895,0.9,0.902,0.891,1120422,100690230.0,1.22,0.22,0.002,3.59
108,2021-12-13,0.9,0.901,0.907,0.896,1001850,90353745.0,1.22,0.11,0.001,3.21
109,2021-12-14,0.9,0.899,0.905,0.897,1048368,94518473.0,0.89,-0.22,-0.002,3.36
110,2021-12-15,0.9,0.89,0.903,0.888,1023114,91729369.0,1.67,-1.0,-0.009,3.28
111,2021-12-16,0.887,0.894,0.897,0.887,892802,79666862.0,1.12,0.45,0.004,2.86
112,2021-12-17,0.892,0.88,0.895,0.879,1228412,108527156.0,1.79,-1.57,-0.014,3.94
113,2021-12-20,0.88,0.858,0.884,0.854,1342603,116199281.0,3.41,-2.5,-0.022,4.31
114,2021-12-21,0.858,0.864,0.864,0.851,1006620,86183270.0,1.52,0.7,0.006,3.23
115,2021-12-22,0.864,0.863,0.867,0.86,977941,84514988.0,0.81,-0.12,-0.001,3.14
116,2021-12-23,0.863,0.863,0.868,0.859,961629,82977318.0,1.04,0.0,0.0,3.08
